After minimisation    1385.30  1128     1.228

Chi2 Bartlett factor (rescales the chi2) =     0.992674
Confidence Intervals Bartlett factor (rescales PDF uncertainties) =     1.262771
  Partial chi2s 
Dataset    1    456.04( +7.88)   377  HERA1+2 NCep 920                                
Dataset    2     69.75( +0.02)    70  HERA1+2 NCep 820                                
Dataset    3    220.04( +1.05)   254  HERA1+2 NCep 575                                
Dataset    4    220.82( -0.88)   204  HERA1+2 NCep 460                                
Dataset    5    216.65( -0.22)   159  HERA1+2 NCem                                    
Dataset    6     44.22( +0.37)    39  HERA1+2 CCep                                    
Dataset    7     54.68( -2.12)    42  HERA1+2 CCem                                    

 Correlated Chi2    96.997824338518555     
 Log penalty Chi2    6.0921630229302863     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error  Bartlett      Type
   60  sysHZComb1017                         -0.3746   +/-   0.9704    1.0000        :N:M:D
   61  sysHZComb1018                          0.1841   +/-   0.8229    1.0000        :N:M:D
   62  sysHZComb1019                         -0.3118   +/-   0.9836    1.0000        :N:M:D
   63  sysHZComb1020                         -0.2670   +/-   0.9813    1.0000        :N:M:D
   64  sysHZComb1021                         -0.1564   +/-   0.9742    1.0000        :N:M:D
   65  sysHZComb1022                         -0.0733   +/-   0.9671    1.0000        :N:M:D
   66  sysHZComb1023                         -0.3666   +/-   0.9435    1.0000        :N:M:D
   67  sysHZComb1024                          0.0358   +/-   0.9879    1.0000        :N:M:D
   68  sysHZComb1025                          0.0250   +/-   0.9932    1.0000        :N:M:D
   69  sysHZComb1026                         -1.0550   +/-   0.9201    1.0000        :N:M:D
   70  sysHZComb1027                         -1.2691   +/-   0.9549    1.0000        :N:M:D
   71  sysHZComb1028                          0.9234   +/-   0.9750    1.0000        :N:M:D
   72  sysHZComb1029                         -0.7473   +/-   0.9152    1.0000        :N:M:D
   73  sysHZComb1031                         -0.9882   +/-   0.8357    1.0000        :N:M:D
   74  sysHZComb1032                          0.9299   +/-   0.9614    1.0000        :N:M:D
   75  sysHZComb1033                          1.0223   +/-   0.9694    1.0000        :N:M:D
   76  sysHZComb1034                         -0.4733   +/-   0.9839    1.0000        :N:M:D
   77  sysHZComb1035                         -0.0558   +/-   0.9780    1.0000        :N:M:D
   78  sysHZComb1037                          0.6899   +/-   0.9676    1.0000        :N:M:D
   79  sysHZComb1038                         -0.9139   +/-   0.9104    1.0000        :N:M:D
   80  sysHZComb1039                         -0.4717   +/-   0.9523    1.0000        :N:M:D
   81  sysHZComb1040                         -0.5034   +/-   0.9270    1.0000        :N:M:D
   82  sysHZComb1043                          0.0731   +/-   0.9063    1.0000        :N:M:D
   83  sysHZComb1057                          0.0756   +/-   0.9161    1.0000        :N:M:D
   84  sysHZComb1058                         -0.0286   +/-   0.9393    1.0000        :N:M:D
   85  sysHZComb1059                         -1.4216   +/-   0.8624    1.0000        :N:M:D
   86  sysHZComb1060                          0.2216   +/-   0.9787    1.0000        :N:M:D
   87  sysHZComb1061                          0.2702   +/-   0.9816    1.0000        :N:M:D
   88  sysHZComb1062                         -1.3392   +/-   0.8919    1.0000        :N:M:D
   89  sysHZComb1063                          0.1181   +/-   0.8297    1.0000        :N:M:D
   90  sysHZComb1064                         -0.1049   +/-   0.9155    1.0000        :N:M:D
   91  sysHZComb1065                         -0.7847   +/-   0.9455    1.0000        :N:M:D
   92  sysHZComb1066                         -1.4033   +/-   0.9191    1.0000        :N:M:D
   93  sysHZComb1067                          0.4366   +/-   0.9539    1.0000        :N:M:D
   94  sysHZComb1068                         -0.7386   +/-   0.9170    1.0000        :N:M:D
   95  sysHZComb1069                          0.0331   +/-   0.9096    1.0000        :N:M:D
   96  sysHZComb1070                          0.3295   +/-   0.9069    1.0000        :N:M:D
   97  sysHZComb1071                         -1.5421   +/-   0.8540    1.0000        :N:M:D
   98  sysHZComb1072                          0.0956   +/-   0.9695    1.0000        :N:M:D
   99  sysHZComb1073                          0.7100   +/-   0.8919    1.0000        :N:M:D
  100  sysHZComb1074                         -0.0031   +/-   0.9332    1.0000        :N:M:D
  101  sysHZComb1075                         -0.2432   +/-   0.8628    1.0000        :N:M:D
  102  sysHZComb1076                         -0.1195   +/-   0.9603    1.0000        :N:M:D
  103  sysHZComb1077                         -0.5540   +/-   0.9606    1.0000        :N:M:D
  104  sysHZComb1078                          0.2823   +/-   0.9733    1.0000        :N:M:D
  105  sysHZComb1079                         -0.1694   +/-   0.8833    1.0000        :N:M:D
  106  sysHZComb1080                         -0.5720   +/-   0.9239    1.0000        :N:M:D
  107  sysHZComb1081                         -0.2782   +/-   0.8862    1.0000        :N:M:D
  108  sysHZComb1082                         -0.9196   +/-   0.8357    1.0000        :N:M:D
  109  sysHZComb1083                         -1.5980   +/-   0.8861    1.0000        :N:M:D
  110  sysHZComb1084                          0.1801   +/-   0.9679    1.0000        :N:M:D
  111  sysHZComb1086                         -0.3737   +/-   0.7891    1.0000        :N:M:D
  112  sysHZComb1087                         -1.3171   +/-   0.8479    1.0000        :N:M:D
  113  sysHZComb1088                          0.5648   +/-   0.9893    1.0000        :N:M:D
  114  sysHZComb1090                          0.5340   +/-   0.9422    1.0000        :N:M:D
  115  sysHZComb1091                          0.6788   +/-   0.8868    1.0000        :N:M:D
  116  sysHZComb1092                          0.4909   +/-   0.8110    1.0000        :N:M:D
  117  sysHZComb1093                          0.1336   +/-   0.7918    1.0000        :N:M:D
  118  sysHZComb1095                         -0.5012   +/-   0.8450    1.0000        :N:M:D
  119  sysHZComb1096                          0.2033   +/-   0.8961    1.0000        :N:M:D
  120  sysHZComb1097                          0.4261   +/-   0.9881    1.0000        :N:M:D
  121  sysHZComb1098                          1.8365   +/-   0.7331    1.0000        :N:M:D
  122  sysHZComb1099                         -0.9814   +/-   0.6816    1.0000        :N:M:D
  123  sysHZComb1100                         -0.7085   +/-   0.6836    1.0000        :N:M:D
  124  sysHZComb1101                         -0.1919   +/-   0.7705    1.0000        :N:M:D
  125  sysHZComb1102                         -0.5318   +/-   0.9020    1.0000        :N:M:D
  126  sysHZComb1103                          0.3420   +/-   0.7898    1.0000        :N:M:D
