!
! This datafile is a successor of the Dataset 3.
! H1 Collaboration, DESY
!
&Data
   Name  = 'H1 NC High Q2 e+p 94-97'
   NData =  130                        ! Number of data points
   NColumn =  24                       ! Number of all columns
   ColumnType = 3*'Bin','Sigma',20*'Error'
   ColumnName = 'x','Q2','y','reduced x-section','stat','uncor',2*'ignore','h1_nc_high_beta_9','h1_nc_high_beta_10','h1_nc_high_beta_11','h1_nc_high_beta_5','B2',9*'ignore','xlum_3','corlum'

   NInfo    = 4
   DataInfo =  301.,	+1.,	1.,	0.
   CInfo    = 'sqrt(S)','e charge','reduced','e polarity'

   IndexDataset = 3

   Reaction = 'NC e+-p'

!x	Q2		y	sig_NC	stat	unc	cor	tot	c^E+	c^th+	c^h+	c^N+	c^B+	u^E+	u^th+	u^h+	F2	Dall	DF2	DF3	DFL	Dqed	xlum	corlum

   Percent = 20*true

&END
0.2500	800.		0.035	0.208	7.500	4.900	2.900	9.400	1.900	-0.700	-0.600	-2.000	0.000	2.100	1.400	1.100	0.208	0.200	0.800	-0.300	0.000	7.100	1.414	0.500
0.4000	800.		0.022	0.150	9.600	6.900	8.000	14.200	3.300	0.400	-2.600	-6.800	0.000	3.000	0.800	4.200	0.150	0.300	0.700	-0.200	0.000	4.900	1.414	0.500
0.6500	800.		0.014	0.018	19.600	9.800	15.500	26.900	4.800	-0.500	-2.900	-14.500	0.000	4.800	0.900	4.800	0.018	0.300	0.600	-0.200	0.000	-0.300	1.414	0.500
0.0200	1000.		0.552	0.754	5.400	3.700	1.200	6.600	-0.200	-0.600	0.700	0.600	-0.500	0.300	1.100	1.100	0.779	-3.200	1.400	-1.800	-2.500	9.400	1.414	0.500
0.0320	1000.		0.345	0.639	5.600	3.600	2.000	6.900	0.600	-0.300	0.700	1.700	-0.100	0.600	0.500	1.200	0.647	-1.200	1.300	-1.600	-0.700	9.200	1.414	0.500
0.0500	1000.		0.221	0.566	5.100	3.600	1.000	6.400	-0.600	-0.600	0.300	0.400	0.000	0.700	1.100	0.900	0.569	-0.500	1.300	-1.400	-0.200	9.100	1.414	0.500
0.0800	1000.		0.138	0.431	5.300	3.500	1.300	6.500	0.200	-0.400	0.700	1.000	0.000	0.200	0.700	0.600	0.432	-0.200	1.200	-1.100	-0.100	8.900	1.414	0.500
0.1300	1000.		0.085	0.385	6.100	4.200	2.100	7.700	1.800	-0.500	-0.800	-0.800	0.000	1.700	1.000	1.000	0.384	0.000	1.200	-0.900	0.000	8.500	1.414	0.500
0.1800	1000.		0.061	0.341	6.700	4.000	1.500	7.900	0.900	-0.200	-0.600	1.100	0.000	0.900	0.400	0.800	0.340	0.200	1.100	-0.700	0.000	8.100	1.414	0.500
0.2500	1000.		0.044	0.244	7.800	4.600	2.800	9.500	1.800	-0.500	-1.100	-1.800	0.000	1.500	0.900	1.700	0.243	0.300	1.000	-0.500	0.000	7.300	1.414	0.500
0.4000	1000.		0.028	0.111	12.100	9.100	9.900	18.100	5.300	-1.200	-2.300	-7.900	0.000	5.400	2.300	5.300	0.111	0.400	1.000	-0.300	0.000	5.000	1.414	0.500
0.6500	1000.		0.017	0.013	25.000	9.500	11.700	29.200	4.200	-1.300	-3.300	-10.300	0.000	4.100	2.600	4.600	0.013	0.500	0.900	-0.200	0.000	-0.200	1.414	0.500
0.0200	1200.		0.663	0.737	7.200	3.500	1.100	8.100	-0.400	-0.300	0.500	0.600	-0.600	0.600	0.600	1.000	0.774	-4.800	1.800	-2.500	-3.700	9.600	1.414	0.500
0.0320	1200.		0.414	0.645	6.400	3.500	1.500	7.400	-0.400	0.100	0.800	1.100	-0.200	0.400	0.300	1.400	0.657	-1.900	1.700	-2.300	-1.000	9.500	1.414	0.500
0.0500	1200.		0.265	0.531	6.000	3.400	0.800	6.900	-0.100	-0.300	0.300	0.700	0.000	0.200	0.700	1.000	0.536	-0.900	1.700	-2.000	-0.300	9.300	1.414	0.500
0.0800	1200.		0.166	0.448	5.900	3.400	1.300	6.900	0.800	-0.300	0.600	0.700	0.000	0.800	0.500	0.600	0.450	-0.400	1.600	-1.600	-0.100	9.100	1.414	0.500
