!
! This datafile is a successor of the Dataset 5.
! H1 Collaboration, DESY
!
&Data
   Name  = 'H1 NC High Q2 e-p 98-99'
   NData =  126                        ! Number of data points
   NColumn =  22                       ! Number of all columns
   ColumnType = 3*'Bin','Sigma',18*'Error'
   ColumnName = 'x','Q2','y','reduced x-section','stat','uncor',2*'ignore','h1_nc_high_beta_9','h1_nc_high_beta_15','h1_nc_high_beta_11','h1_nc_high_beta_5','B2',7*'ignore','xlum_4','corlum'

   NInfo    = 4
   DataInfo =  319.,	-1.,	1.,	0.
   CInfo    = 'sqrt(S)','e charge','reduced','e polarity'

   IndexDataset = 5

   Reaction = 'NC e+-p'          

!x	Q2		y	sig_NC	stat	unc	cor	tot	c^E	c^th	c^h	c^N	c^B	u^E	u^h	F2	dall	dF2	dF3	dFL	xlum	corlum

   Percent = 18*true

&END	
0.0032	150.		0.462	1.218	2.700	3.000	2.300	4.700	0.100	-1.800	1.300	0.100	-0.700	0.500	0.600	1.253	-2.800	0.100	0.100	-3.000	1.729	0.500
0.0050	150.		0.295	1.154	2.800	3.000	1.500	4.400	0.400	1.400	0.300	0.200	-0.100	0.200	0.500	1.164	-0.800	0.100	0.100	-1.000	1.729	0.500
0.0080	150.		0.185	0.968	4.100	5.400	6.100	9.100	-1.600	5.900	-0.700	0.100	0.000	4.000	1.000	0.969	-0.200	0.100	0.000	-0.300	1.729	0.500
0.0032	200.		0.615	1.271	4.100	3.500	2.900	6.100	-1.000	-2.500	0.500	0.200	-0.900	0.800	0.200	1.344	-5.400	0.200	0.100	-5.700	1.729	0.500
0.0050	200.		0.394	1.107	2.800	3.100	1.800	4.600	-0.500	-1.000	1.400	0.200	-0.300	0.700	0.900	1.125	-1.600	0.200	0.100	-1.800	1.729	0.500
0.0080	200.		0.246	0.915	3.000	3.200	0.900	4.500	0.400	-0.600	0.400	-0.200	-0.100	1.100	0.400	0.918	-0.400	0.200	0.100	-0.600	1.729	0.500
0.0130	200.		0.152	0.860	3.200	3.300	1.100	4.700	-0.300	0.800	-0.600	0.400	0.000	1.200	0.100	0.859	0.000	0.200	0.100	-0.200	1.729	0.500
0.0200	200.		0.099	0.677	3.800	4.500	2.900	6.500	-1.200	2.600	-0.400	0.100	0.000	3.100	0.100	0.676	0.200	0.200	0.100	-0.100	1.729	0.500
0.0320	200.		0.062	0.558	4.500	6.100	4.200	8.600	-2.000	3.500	-1.100	0.300	0.000	5.000	0.500	0.556	0.200	0.200	0.100	0.000	1.729	0.500
0.0500	200.		0.039	0.506	5.200	6.800	4.900	9.900	-1.600	4.500	-0.600	-1.100	0.000	5.700	0.700	0.505	0.200	0.200	0.100	0.000	1.729	0.500
0.0800	200.		0.025	0.407	5.900	8.400	6.900	12.400	-3.000	6.200	0.400	1.000	0.000	7.400	0.800	0.406	0.200	0.100	0.000	0.000	1.729	0.500
0.0050	250.		0.492	1.123	3.500	3.300	2.300	5.300	0.600	-1.700	1.300	0.200	-0.500	1.100	0.700	1.154	-2.700	0.200	0.100	-3.000	1.729	0.500
0.0080	250.		0.308	1.021	3.200	3.700	2.000	5.300	-0.800	-1.600	0.800	0.100	0.000	2.000	0.700	1.027	-0.600	0.200	0.100	-0.900	1.729	0.500
0.0130	250.		0.189	0.825	3.400	4.000	2.100	5.700	0.600	-2.000	0.300	0.300	0.000	2.600	0.500	0.825	0.000	0.200	0.100	-0.300	1.729	0.500
0.0200	250.		0.123	0.691	3.500	3.600	1.800	5.400	0.600	-1.700	-0.200	0.500	0.000	1.800	0.500	0.689	0.200	0.200	0.100	-0.100	1.729	0.500
0.0320	250.		0.077	0.569	3.800	3.900	2.600	6.100	1.000	-2.200	-0.900	-0.300	0.000	2.300	0.700	0.567	0.300	0.200	0.100	0.000	1.729	0.500
0.0500	250.		0.049	0.493	4.300	3.400	1.400	5.700	-0.200	-1.100	-0.600	0.600	0.000	0.800	0.500	0.492	0.300	0.200	0.100	0.000	1.729	0.500
0.0800	250.		0.031	0.407	4.700	3.500	1.600	6.100	-0.600	-0.400	0.300	1.400	0.000	1.000	0.600	0.406	0.300	0.200	0.100	0.000	1.729	0.500
0.1300	250.		0.019	0.311	5.300	5.200	2.600	7.800	1.600	-0.900	-1.400	-1.300	0.000	3.100	2.200	0.310	0.200	0.200	0.100	0.000	1.729	0.500
0.2500	250.		0.010	0.225	7.500	8.600	4.100	12.100	2.400	-1.500	-1.800	-2.300	0.000	6.900	2.800	0.224	0.200	0.200	0.000	0.000	1.729	0.500
0.4000	250.		0.006	0.138	9.300	6.800	2.300	11.800	0.400	-1.000	-0.400	-2.000	0.000	4.200	1.400	0.138	0.200	0.200	0.000	0.000	1.729	0.500
0.0050	300.		0.591	1.152	5.600	3.900	2.300	7.200	0.400	-2.200	0.200	0.100	-0.600	1.200	0.300	1.202	-4.100	0.300	0.200	-4.600	1.729	0.500
0.0080	300.		0.369	1.026	3.600	3.300	1.500	5.100	-0.600	-0.800	1.100	0.100	-0.100	0.200	1.000	1.036	-0.900	0.300	0.200	-1.400	1.729	0.500
0.0130	300.		0.227	0.878	3.800	3.300	1.700	5.300	-0.300	-1.500	0.700	0.200	0.000	0.700	0.800	0.878	0.000	0.300	0.200	-0.400	1.729	0.500
0.0200	300.		0.148	0.735	4.000	3.900	1.800	5.900	0.900	-1.500	-0.100	0.300	-0.100	2.100	0.300	0.733	0.300	0.300	0.100	-0.100	1.729	0.500
0.0320	300.		0.092	0.605	4.200	3.800	1.500	5.800	0.700	-1.300	-0.200	0.300	0.000	2.000	0.300	0.603	0.300	0.300	0.100	0.000	1.729	0.500
0.0500	300.		0.059	0.509	4.500	4.500	2.300	6.800	1.000	-2.000	0.200	0.600	0.000	3.100	0.100	0.507	0.400	0.300	0.100	0.000	1.729	0.500
0.0800	300.		0.037	0.390	5.200	4.100	2.000	6.900	0.900	-1.700	-0.300	0.500	0.000	2.300	0.300	0.389	0.300	0.200	0.100	0.000	1.729	0.500
0.1300	300.		0.023	0.332	5.400	6.700	2.100	8.800	1.100	-1.600	-0.700	-0.400	0.000	5.600	1.100	0.331	0.300	0.200	0.100	0.000	1.729	0.500
0.2500	300.		0.012	0.277	6.900	9.400	5.300	12.800	3.100	-2.600	-2.100	-2.700	0.000	7.700	3.400	0.277	0.300	0.200	0.000	0.000	1.729	0.500
0.4000	300.		0.007	0.143	10.300	8.900	4.200	14.200	2.800	-2.600	-0.800	-1.600	0.000	6.800	1.900	0.142	0.200	0.200	0.000	0.000	1.729	0.500
0.0080	400.		0.492	1.088	4.500	3.500	2.200	6.100	0.300	-1.800	1.300	0.100	-0.200	0.200	0.900	1.109	-1.900	0.400	0.300	-2.600	1.729	0.500
0.0130	400.		0.303	0.897	4.300	3.400	1.200	5.600	0.700	-0.800	0.600	0.200	0.000	0.300	0.800	0.898	-0.100	0.400	0.300	-0.800	1.729	0.500
0.0200	400.		0.197	0.732	4.500	3.500	1.100	5.800	0.200	-0.900	-0.500	0.200	0.000	1.000	0.400	0.729	0.400	0.400	0.300	-0.300	1.729	0.500
0.0320	400.		0.123	0.560	4.800	3.600	1.300	6.100	0.600	-1.100	0.500	0.100	-0.100	1.200	0.400	0.557	0.500	0.400	0.200	-0.100	1.729	0.500
0.0500	400.		0.079	0.514	5.000	3.600	1.000	6.300	0.400	0.600	-0.600	0.400	0.000	1.000	0.300	0.511	0.500	0.400	0.200	0.000	1.729	0.500
0.0800	400.		0.049	0.429	5.500	3.800	2.100	7.000	1.500	-1.200	-0.100	0.800	0.000	1.400	0.500	0.427	0.500	0.400	0.200	0.000	1.729	0.500
0.1300	400.		0.030	0.352	5.600	4.400	2.200	7.500	1.500	-1.400	-0.700	-0.100	0.000	2.400	1.100	0.351	0.500	0.300	0.100	0.000	1.729	0.500
0.2500	400.		0.016	0.240	7.600	6.700	3.200	10.600	2.100	-0.800	-1.600	-1.600	0.000	4.500	2.700	0.239	0.400	0.300	0.100	0.000	1.729	0.500
0.4000	400.		0.010	0.143	10.800	7.300	4.100	13.700	1.900	-1.800	-1.300	-2.800	0.000	4.100	2.400	0.143	0.300	0.300	0.100	0.000	1.729	0.500
0.0080	500.		0.615	1.044	7.800	4.600	2.000	9.300	-0.800	-1.600	0.900	-0.200	-0.500	1.300	0.500	1.080	-3.300	0.500	0.500	-4.300	1.729	0.500
0.0130	500.		0.379	1.003	5.100	3.900	2.300	6.800	0.600	-2.100	1.000	0.200	-0.100	1.200	1.100	1.006	-0.300	0.500	0.400	-1.200	1.729	0.500
0.0200	500.		0.246	0.765	5.100	4.200	2.300	7.000	0.900	-1.900	0.800	0.200	0.000	2.100	1.200	0.761	0.500	0.500	0.400	-0.400	1.729	0.500
0.0320	500.		0.154	0.604	5.300	3.800	2.500	7.000	1.300	-2.000	0.200	0.500	0.000	1.500	0.500	0.600	0.700	0.500	0.400	-0.100	1.729	0.500
0.0500	500.		0.099	0.517	5.600	3.800	1.400	6.900	0.500	-1.200	-0.200	0.500	0.000	1.300	0.600	0.513	0.800	0.500	0.300	0.000	1.729	0.500
0.0800	500.		0.062	0.392	6.400	5.800	3.000	9.200	2.000	-2.000	-0.800	-0.300	0.000	4.300	1.300	0.389	0.700	0.500	0.300	0.000	1.729	0.500
0.1300	500.		0.038	0.363	7.200	4.100	2.700	8.700	0.500	-1.700	-0.500	2.000	0.000	0.400	0.800	0.361	0.600	0.400	0.200	0.000	1.729	0.500
0.1800	500.		0.027	0.283	8.200	6.600	4.700	11.500	3.500	-2.100	-1.600	-1.500	0.000	4.500	2.400	0.281	0.600	0.400	0.200	0.000	1.729	0.500
0.2500	500.		0.020	0.254	10.500	8.400	4.500	14.200	3.300	-2.400	-1.600	-1.100	0.000	6.000	2.900	0.253	0.500	0.400	0.100	0.000	1.729	0.500
0.4000	500.		0.012	0.139	15.400	12.000	9.200	21.600	7.200	-3.500	-2.300	-3.900	0.000	8.500	3.900	0.138	0.500	0.400	0.100	0.000	1.729	0.500
0.6500	500.		0.008	0.026	19.600	10.500	3.000	22.400	-1.500	-0.800	-2.100	-1.300	0.000	2.800	2.400	0.026	0.400	0.400	0.100	0.000	1.729	0.500
0.0130	650.		0.492	0.988	6.000	4.000	1.100	7.300	-0.400	-0.300	0.900	0.100	-0.200	0.500	0.900	0.995	-0.700	0.700	0.800	-2.200	1.729	0.500
0.0200	650.		0.320	0.791	6.300	4.200	1.500	7.700	0.600	-0.900	1.000	-0.300	0.000	1.200	0.900	0.785	0.700	0.700	0.700	-0.700	1.729	0.500
0.0320	650.		0.200	0.684	6.100	4.000	1.600	7.400	0.500	-1.400	0.600	0.300	0.000	0.700	1.000	0.677	1.100	0.700	0.600	-0.200	1.729	0.500
0.0500	650.		0.128	0.538	6.500	4.500	2.700	8.300	1.900	-1.800	0.200	0.500	0.000	2.200	0.300	0.532	1.200	0.700	0.500	-0.100	1.729	0.500
0.0800	650.		0.080	0.436	7.100	5.000	3.100	9.200	2.200	-1.600	-1.200	-0.300	0.000	2.700	1.200	0.431	1.100	0.700	0.400	0.000	1.729	0.500
0.1300	650.		0.049	0.343	8.800	5.400	2.300	10.500	1.500	-0.600	1.000	1.200	0.000	2.100	2.200	0.339	1.000	0.600	0.300	0.000	1.729	0.500
0.1800	650.		0.036	0.330	9.100	6.800	3.200	11.800	2.100	-1.600	-1.700	-0.500	0.000	4.400	2.000	0.327	0.900	0.600	0.300	0.000	1.729	0.500
0.2500	650.		0.026	0.251	11.900	9.300	5.000	15.900	3.600	-1.100	-2.100	-2.700	0.000	6.300	3.900	0.249	0.800	0.600	0.200	0.000	1.729	0.500
0.4000	650.		0.016	0.090	22.900	9.300	2.400	24.900	1.900	0.900	1.200	0.200	0.000	3.200	1.600	0.090	0.700	0.500	0.100	0.000	1.729	0.500
0.0130	800.		0.606	0.842	10.200	5.200	2.500	11.700	1.300	-2.200	-0.300	0.000	-0.200	0.600	0.200	0.854	-1.400	1.000	1.100	-3.500	1.729	0.500
0.0200	800.		0.394	0.806	7.200	4.600	1.700	8.800	1.100	1.100	0.500	0.000	-0.500	1.300	0.900	0.799	0.900	1.000	1.000	-1.100	1.729	0.500
0.0320	800.		0.246	0.721	7.100	4.800	1.300	8.700	0.800	-0.200	1.100	0.200	0.000	1.900	1.200	0.709	1.600	1.000	0.900	-0.300	1.729	0.500
0.0500	800.		0.158	0.587	7.400	4.400	0.800	8.600	-0.300	0.100	-0.600	0.300	0.000	0.900	0.700	0.577	1.600	0.900	0.800	-0.100	1.729	0.500
0.0800	800.		0.099	0.518	7.800	4.900	1.600	9.400	1.100	0.600	-1.000	0.400	0.000	1.900	0.700	0.510	1.500	0.900	0.700	0.000	1.729	0.500
0.1300	800.		0.061	0.411	10.000	5.800	2.200	11.800	1.500	-1.400	-0.500	0.500	0.000	2.500	0.600	0.406	1.300	0.900	0.500	0.000	1.729	0.500
0.1800	800.		0.044	0.302	11.600	6.200	2.700	13.400	1.900	-1.400	-0.900	0.800	0.000	2.500	1.600	0.298	1.200	0.800	0.400	0.000	1.729	0.500
0.2500	800.		0.032	0.212	14.100	7.700	2.900	16.400	2.000	-0.900	-1.000	-1.500	0.000	4.300	2.000	0.210	1.100	0.800	0.300	0.000	1.729	0.500
0.4000	800.		0.020	0.117	20.900	11.600	5.100	24.400	3.700	-2.200	-2.100	-1.600	0.000	6.600	3.300	0.116	0.900	0.700	0.200	0.000	1.729	0.500
0.6500	800.		0.012	0.015	21.800	12.500	8.100	26.500	6.300	-3.900	-1.600	-3.100	0.000	9.000	3.900	0.015	0.800	0.700	0.100	0.000	1.729	0.500
0.0130	1000.		0.757	0.773	11.500	6.500	2.300	13.500	-0.700	-0.800	-1.500	-0.200	-1.500	2.600	1.800	0.795	-2.800	1.400	1.700	-5.800	1.729	0.500
