0.18	7	7	7	0.132	0.132	0.132	0.3059	0.0056	-0.0056	0.0044	-0.0044	2
0.225	7	7	7	0.118	0.118	0.118	0.2799	0.0056	-0.0056	0.0038	-0.0038	2
0.275	7	7	7	0.108	0.108	0.108	0.2481	0.0059	-0.0059	0.0033	-0.0033	2
0.35	7	7	7	0.099	0.099	0.099	0.2153	0.0049	-0.0049	0.0046	-0.0046	2
0.5	7	7	7	0.091	0.091	0.091	0.1237	0.0047	-0.0047	0.0102	-0.0102	2
0.025	9	9	9	0.099	0.099	0.099	0.4331	0.0047	-0.0047	0.0123	-0.0123	2
0.035	9	9	9	0.108	0.108	0.108	0.4008	0.0053	-0.0053	0.0089	-0.0089	2
0.05	9	9	9	0.117	0.117	0.117	0.3871	0.0045	-0.0045	0.0076	-0.0076	2
0.07	9	9	9	0.113	0.113	0.113	0.3717	0.0059	-0.0059	0.0073	-0.0073	2
0.09	9	9	9	0.096	0.096	0.096	0.3656	0.0077	-0.0077	0.0066	-0.0066	2
0.11	9	9	9	0.043	0.043	0.043	0.3412	0.0093	-0.0093	0.006	-0.006	2
0.14	9	9	9	0.129	0.129	0.129	0.341	0.0082	-0.0082	0.0054	-0.0054	2
0.18	9	9	9	0.113	0.113	0.113	0.3014	0.0084	-0.0084	0.0045	-0.0045	2
0.225	9	9	9	0.1	0.1	0.1	0.2798	0.0075	-0.0075	0.0038	-0.0038	2
0.275	9	9	9	0.091	0.091	0.091	0.2471	0.0083	-0.0083	0.0029	-0.0029	2
0.35	9	9	9	0.083	0.083	0.083	0.2014	0.0058	-0.0058	0.0027	-0.0027	2
0.5	9	9	9	0.075	0.075	0.075	0.1046	0.0039	-0.0039	0.0064	-0.0064	2
0.025	11.5	11.5	11.5	0.099	0.099	0.099	0.4552	0.0086	-0.0086	0.0152	-0.0152	2
0.035	11.5	11.5	11.5	0.108	0.108	0.108	0.4227	0.0046	-0.0046	0.0113	-0.0113	2
0.05	11.5	11.5	11.5	0.117	0.117	0.117	0.4034	0.0039	-0.0039	0.008	-0.008	2
0.07	11.5	11.5	11.5	0.113	0.113	0.113	0.3845	0.005	-0.005	0.0065	-0.0065	2
0.09	11.5	11.5	11.5	0.096	0.096	0.096	0.3673	0.0059	-0.0059	0.0064	-0.0064	2
0.11	11.5	11.5	11.5	0.043	0.043	0.043	0.348	0.007	-0.007	0.0063	-0.0063	2
0.14	11.5	11.5	11.5	0.114	0.114	0.114	0.328	0.0066	-0.0066	0.0059	-0.0059	2
0.18	11.5	11.5	11.5	0.098	0.098	0.098	0.3061	0.0078	-0.0078	0.0049	-0.0049	2
0.225	11.5	11.5	11.5	0.086	0.086	0.086	0.2876	0.0077	-0.0077	0.0041	-0.0041	2
0.275	11.5	11.5	11.5	0.078	0.078	0.078	0.2402	0.0079	-0.0079	0.003	-0.003	2
0.35	11.5	11.5	11.5	0.07	0.07	0.07	0.1842	0.0074	-0.0074	0.0019	-0.0019	2
0.5	11.5	11.5	11.5	0.063	0.063	0.063	0.1025	0.0046	-0.0046	0.0049	-0.0049	2
0.035	15	15	15	0.108	0.108	0.108	0.442	0.0077	-0.0077	0.0148	-0.0148	2
0.05	15	15	15	0.117	0.117	0.117	0.4129	0.0038	-0.0038	0.0102	-0.0102	2
0.07	15	15	15	0.113	0.113	0.113	0.3948	0.0044	-0.0044	0.0072	-0.0072	2
0.09	15	15	15	0.096	0.096	0.096	0.3698	0.0052	-0.0052	0.0057	-0.0057	2
0.11	15	15	15	0.043	0.043	0.043	0.3611	0.0061	-0.0061	0.0059	-0.0059	2
0.14	15	15	15	0.1	0.1	0.1	0.3326	0.0049	-0.0049	0.0061	-0.0061	2
0.18	15	15	15	0.085	0.085	0.085	0.3081	0.0061	-0.0061	0.0057	-0.0057	2
0.225	15	15	15	0.074	0.074	0.074	0.2614	0.0057	-0.0057	0.0043	-0.0043	2
0.275	15	15	15	0.066	0.066	0.066	0.2439	0.0078	-0.0078	0.0031	-0.0031	2
0.35	15	15	15	0.059	0.059	0.059	0.1716	0.0053	-0.0053	0.0022	-0.0022	2
0.5	15	15	15	0.052	0.052	0.052	0.1077	0.0061	-0.0061	0.004	-0.004	2
0.05	20	20	20	0.117	0.117	0.117	0.4316	0.0056	-0.0056	0.0139	-0.0139	2
0.07	20	20	20	0.113	0.113	0.113	0.3924	0.0042	-0.0042	0.0091	-0.0091	2
0.09	20	20	20	0.096	0.096	0.096	0.3742	0.0045	-0.0045	0.0068	-0.0068	2
0.11	20	20	20	0.043	0.043	0.043	0.3616	0.0051	-0.0051	0.0055	-0.0055	2
0.14	20	20	20	0.089	0.089	0.089	0.3307	0.0039	-0.0039	0.0059	-0.0059	2
0.18	20	20	20	0.075	0.075	0.075	0.2992	0.0043	-0.0043	0.0057	-0.0057	2
0.225	20	20	20	0.064	0.064	0.064	0.2695	0.0042	-0.0042	0.0046	-0.0046	2
0.275	20	20	20	0.056	0.056	0.056	0.2347	0.0046	-0.0046	0.0031	-0.0031	2
0.35	20	20	20	0.049	0.049	0.049	0.1819	0.0039	-0.0039	0.0028	-0.0028	2
0.5	20	20	20	0.043	0.043	0.043	0.0901	0.0037	-0.0037	0.0043	-0.0043	2
0.07	27	27	27	0.113	0.113	0.113	0.4279	0.0091	-0.0091	0.0142	-0.0142	2
0.09	27	27	27	0.096	0.096	0.096	0.3876	0.0058	-0.0058	0.0094	-0.0094	2
0.11	27	27	27	0.043	0.043	0.043	0.3583	0.0055	-0.0055	0.0067	-0.0067	2
0.14	27	27	27	0.079	0.079	0.079	0.3322	0.004	-0.004	0.006	-0.006	2
0.18	27	27	27	0.066	0.066	0.066	0.3021	0.0043	-0.0043	0.0061	-0.0061	2
0.225	27	27	27	0.056	0.056	0.056	0.2686	0.0041	-0.0041	0.0053	-0.0053	2
0.275	27	27	27	0.048	0.048	0.048	0.2284	0.0041	-0.0041	0.0035	-0.0035	2
0.35	27	27	27	0.042	0.042	0.042	0.1706	0.0028	-0.0028	0.0029	-0.0029	2
0.5	27	27	27	0.035	0.035	0.035	0.0864	0.0021	-0.0021	0.0045	-0.0045	2
0.11	36	36	36	0.043	0.043	0.043	0.3862	0.011	-0.011	0.01	-0.01	2
0.14	36	36	36	0.072	0.072	0.072	0.3421	0.0067	-0.0067	0.0071	-0.0071	2
0.18	36	36	36	0.059	0.059	0.059	0.3016	0.0053	-0.0053	0.0067	-0.0067	2
0.225	36	36	36	0.05	0.05	0.05	0.2599	0.0047	-0.0047	0.0058	-0.0058	2
0.275	36	36	36	0.042	0.042	0.042	0.2311	0.0047	-0.0047	0.0046	-0.0046	2
0.35	36	36	36	0.036	0.036	0.036	0.1728	0.003	-0.003	0.003	-0.003	2
0.5	36	36	36	0.03	0.03	0.03	0.0828	0.0017	-0.0017	0.0041	-0.0041	2
0.18	48	48	48	0.054	0.054	0.054	0.3207	0.0099	-0.0099	0.0081	-0.0081	2
0.225	48	48	48	0.045	0.045	0.045	0.2611	0.0075	-0.0075	0.0071	-0.0071	2
0.275	48	48	48	0.038	0.038	0.038	0.2347	0.0071	-0.0071	0.006	-0.006	2
0.35	48	48	48	0.032	0.032	0.032	0.1659	0.0038	-0.0038	0.0032	-0.0032	2
0.5	48	48	48	0.026	0.026	0.026	0.081	0.002	-0.002	0.0037	-0.0037	2
0.275	65	65	65	0.034	0.034	0.034	0.1704	0.0183	-0.0183	0.0057	-0.0057	2
0.35	65	65	65	0.028	0.028	0.028	0.158	0.0105	-0.0105	0.0047	-0.0047	2
0.5	65	65	65	0.022	0.022	0.022	0.0729	0.0047	-0.0047	0.0032	-0.0032	2
