* Theory file for str100 CC e-p
&Data 
   Name = "Theory for str100 CC e-p"
   NData =   114
   NColumn =    33
   ColumnType = 3*"Bin","Theory", 29*"Error"
   ColumnName = "x","Q2","y","theory","PDF_nuisance_param_1","PDF_nuisance_param_2","PDF_nuisance_param_3","PDF_nuisance_param_4","PDF_nuisance_param_5","PDF_nuisance_param_6","PDF_nuisance_param_7","PDF_nuisance_param_8","PDF_nuisance_param_9","PDF_nuisance_param_10","PDF_nuisance_param_11","PDF_nuisance_param_12","PDF_nuisance_param_13","PDF_nuisance_param_14","PDF_nuisance_param_15","PDF_nuisance_param_16","PDF_nuisance_param_17","PDF_nuisance_param_18","PDF_nuisance_param_19","PDF_nuisance_param_20","PDF_nuisance_param_21","PDF_nuisance_param_22","PDF_nuisance_param_23","PDF_nuisance_param_24","PDF_nuisance_param_25","PDF_nuisance_param_26","PDF_nuisance_param_27","PDF_nuisance_param_28","PDF_nuisance_param_29"
   Percent =  29*True
&End 
  0.1000E-03  0.1000E+03  0.5952E+00  0.2339E+01 -0.9934E-02  0.1776E-01  0.7772E-03 -0.1989E+00 -0.4028E+00  0.3501E+00 -0.9676E-01 -0.1331E+00 -0.2995E-01  0.2193E+00 -0.3650E-02 -0.6828E+00 -0.7220E+00  0.5351E+00  0.2657E+00  0.9843E-01 -0.1672E+00 -0.3543E-01  0.2239E+00  0.7688E-01 -0.2857E+00  0.5581E+00 -0.1481E+01 -0.7863E-01  0.1666E+00  0.6911E+00 -0.1969E+00  0.1568E+00 -0.3323E-01
  0.2500E-03  0.1000E+03  0.2381E+00  0.2735E+01 -0.4713E-02  0.6461E-02  0.9704E-03 -0.2402E+00 -0.1953E+00  0.5409E+00 -0.2071E+00 -0.6772E-01 -0.7717E-01  0.3147E+00  0.2066E-01 -0.1395E+01 -0.7823E+00  0.6365E+00  0.2859E+00  0.1357E+00 -0.1400E+00 -0.1741E-01  0.2558E+00  0.2848E+00 -0.5313E+00  0.9494E+00 -0.2434E+01 -0.1806E+00  0.1826E+00  0.1069E+01 -0.5951E+00  0.1065E+00  0.3807E-01
  0.3500E-03  0.1000E+03  0.1701E+00  0.2661E+01 -0.3915E-02  0.4307E-02  0.9992E-03 -0.2451E+00 -0.1493E+00  0.5733E+00 -0.2299E+00 -0.4823E-01 -0.9261E-01  0.3212E+00  0.2541E-01 -0.1444E+01 -0.7605E+00  0.6379E+00  0.2730E+00  0.1430E+00 -0.1354E+00 -0.1420E-01  0.2483E+00  0.3225E+00 -0.5565E+00  0.9628E+00 -0.2476E+01 -0.1957E+00  0.1608E+00  0.1081E+01 -0.6332E+00  0.9768E-01  0.3926E-01
  0.5000E-03  0.1000E+03  0.1190E+00  0.2511E+01 -0.3339E-02  0.2504E-02  0.1018E-02 -0.2477E+00 -0.1083E+00  0.5979E+00 -0.2495E+00 -0.2886E-01 -0.1082E+00  0.3205E+00  0.2928E-01 -0.1442E+01 -0.7258E+00  0.6300E+00  0.2541E+00  0.1491E+00 -0.1319E+00 -0.1196E-01  0.2355E+00  0.3513E+00 -0.5657E+00  0.9436E+00 -0.2441E+01 -0.2060E+00  0.1321E+00  0.1061E+01 -0.6421E+00  0.9209E-01  0.3337E-01
  0.1000E-02  0.1000E+03  0.5950E-01  0.2113E+01 -0.2579E-02 -0.3705E-03  0.1038E-02 -0.2485E+00 -0.3995E-01  0.6314E+00 -0.2810E+00  0.6423E-02 -0.1372E+00  0.3053E+00  0.3477E-01 -0.1340E+01 -0.6373E+00  0.5988E+00  0.2069E+00  0.1578E+00 -0.1271E+00 -0.1049E-01  0.2024E+00  0.3857E+00 -0.5514E+00  0.8500E+00 -0.2234E+01 -0.2159E+00  0.7092E-01  0.9656E+00 -0.5956E+00  0.9112E-01  0.8159E-02
  0.2500E-02  0.1000E+03  0.2380E-01  0.1554E+01 -0.1560E-02 -0.4154E-02  0.1056E-02 -0.2477E+00  0.4562E-01  0.6694E+00 -0.3198E+00  0.4867E-01 -0.1734E+00  0.2692E+00  0.3984E-01 -0.1104E+01 -0.4972E+00  0.5430E+00  0.1305E+00  0.1650E+00 -0.1219E+00 -0.1516E-01  0.1513E+00  0.3966E+00 -0.4915E+00  0.6763E+00 -0.1826E+01 -0.2191E+00  0.3931E-02  0.7888E+00 -0.4412E+00  0.1094E+00 -0.3971E-01
  0.3500E-02  0.1000E+03  0.1700E-01  0.1363E+01 -0.1055E-02 -0.5746E-02  0.1064E-02 -0.2482E+00  0.7857E-01  0.6855E+00 -0.3350E+00  0.6249E-01 -0.1864E+00  0.2525E+00  0.4135E-01 -0.9971E+00 -0.4409E+00  0.5207E+00  0.9871E-01  0.1666E+00 -0.1200E+00 -0.1954E-01  0.1315E+00  0.3897E+00 -0.4588E+00  0.6070E+00 -0.1656E+01 -0.2186E+00 -0.1052E-01  0.7174E+00 -0.3621E+00  0.1209E+00 -0.5790E-01
  0.5000E-02  0.1000E+03  0.1190E-01  0.1174E+01 -0.3893E-03 -0.7635E-02  0.1076E-02 -0.2496E+00  0.1153E+00  0.7052E+00 -0.3521E+00  0.7547E-01 -0.1997E+00  0.2327E+00  0.4278E-01 -0.8735E+00 -0.3792E+00  0.4968E+00  0.6258E-01  0.1674E+00 -0.1178E+00 -0.2620E-01  0.1101E+00  0.3747E+00 -0.4174E+00  0.5339E+00 -0.1468E+01 -0.2171E+00 -0.1681E-01  0.6411E+00 -0.2681E+00  0.1348E+00 -0.7501E-01
  0.1000E-01  0.1000E+03  0.6000E-02  0.8472E+00  0.1367E-02 -0.1207E-01  0.1113E-02 -0.2567E+00  0.1936E+00  0.7541E+00 -0.3893E+00  0.9376E-01 -0.2243E+00  0.1869E+00  0.4525E-01 -0.5923E+00 -0.2512E+00  0.4494E+00 -0.1720E-01  0.1651E+00 -0.1130E+00 -0.4640E-01  0.6536E-01  0.3178E+00 -0.3110E+00  0.3970E+00 -0.1085E+01 -0.2108E+00  0.4448E-02  0.4933E+00 -0.6505E-01  0.1602E+00 -0.9368E-01
  0.1200E-01  0.1000E+03  0.5000E-02  0.7701E+00  0.1949E-02 -0.1346E-01  0.1127E-02 -0.2598E+00  0.2161E+00  0.7698E+00 -0.4001E+00  0.9640E-01 -0.2302E+00  0.1730E+00  0.4588E-01 -0.5072E+00 -0.2156E+00  0.4367E+00 -0.4077E-01  0.1632E+00 -0.1116E+00 -0.5350E-01  0.5231E-01  0.2960E+00 -0.2762E+00  0.3641E+00 -0.9822E+00 -0.2081E+00  0.1884E-01  0.4558E+00 -0.1132E-01  0.1643E+00 -0.9300E-01
