   4.00000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.251180E-02   4.14891      0.532780      0.757655      0.479659      0.739381      0.531212E-01  0.182738E-01   1.21904      0.428459      0.424355      0.315047      0.512000E-01   0.00000       0.00000    
  0.275413E-02   4.11702      0.528938      0.745647      0.472086      0.725806      0.568521E-01  0.198406E-01   1.19789      0.421192      0.416772      0.309049      0.508939E-01   0.00000       0.00000    
  0.301984E-02   4.08218      0.525496      0.733887      0.464543      0.712282      0.609527E-01  0.216055E-01   1.17682      0.413981      0.409211      0.303080      0.505625E-01   0.00000       0.00000    
  0.331118E-02   4.04605      0.522246      0.722245      0.457011      0.698775      0.652358E-01  0.234703E-01   1.15579      0.406792      0.401656      0.297121      0.502185E-01   0.00000       0.00000    
  0.363064E-02   4.00765      0.519349      0.710816      0.449494      0.685295      0.698550E-01  0.255210E-01   1.13479      0.399643      0.394110      0.291181      0.498515E-01   0.00000       0.00000    
  0.398091E-02   3.96723      0.516810      0.699598      0.441985      0.671826      0.748246E-01  0.277717E-01   1.11381      0.392525      0.386564      0.285251      0.494602E-01   0.00000       0.00000    
  0.436498E-02   3.92564      0.514484      0.688505      0.434478      0.658361      0.800057E-01  0.301441E-01   1.09284      0.385424      0.379015      0.279326      0.490542E-01   0.00000       0.00000    
  0.478610E-02   3.88149      0.512671      0.677707      0.426967      0.644886      0.857039E-01  0.328213E-01   1.07185      0.378355      0.371453      0.273407      0.486122E-01   0.00000       0.00000    
  0.524785E-02   3.83604      0.511151      0.667076      0.419447      0.631394      0.917046E-01  0.356828E-01   1.05084      0.371298      0.363874      0.267486      0.481490E-01   0.00000       0.00000    
  0.575415E-02   3.78924      0.509938      0.656620      0.411916      0.617882      0.980224E-01  0.387375E-01   1.02980      0.364252      0.356279      0.261561      0.476635E-01   0.00000       0.00000    
  0.630929E-02   3.74016      0.509296      0.646484      0.404352      0.604311      0.104944      0.421727E-01   1.00866      0.357216      0.348639      0.255622      0.471358E-01   0.00000       0.00000    
  0.691799E-02   3.69007      0.508924      0.636499      0.396768      0.590704      0.112156      0.457957E-01  0.987471      0.350180      0.340974      0.249673      0.465876E-01   0.00000       0.00000    
  0.758542E-02   3.63823      0.509033      0.626785      0.389144      0.577027      0.119889      0.497582E-01  0.966171      0.343141      0.333260      0.243702      0.460028E-01   0.00000       0.00000    
  0.831724E-02   3.58468      0.509647      0.617355      0.381468      0.563258      0.128179      0.540970E-01  0.944726      0.336089      0.325483      0.237702      0.453791E-01   0.00000       0.00000    
  0.911966E-02   3.53016      0.510555      0.608089      0.373760      0.549432      0.136795      0.586577E-01  0.923191      0.329027      0.317669      0.231682      0.447327E-01   0.00000       0.00000    
  0.999950E-02   3.47349      0.512126      0.599191      0.365964      0.535450      0.146162      0.637412E-01  0.901414      0.321929      0.309754      0.225608      0.440352E-01   0.00000       0.00000    
  0.109642E-01   3.41586      0.514013      0.590482      0.358126      0.521398      0.155887      0.690838E-01  0.879524      0.314814      0.301793      0.219510      0.433124E-01   0.00000       0.00000    
  0.120220E-01   3.35639      0.516505      0.582128      0.350201      0.507197      0.166303      0.749307E-01  0.857399      0.307660      0.293734      0.213360      0.425413E-01   0.00000       0.00000    
  0.131819E-01   3.29524      0.519547      0.574102      0.342185      0.492843      0.177362      0.812593E-01  0.835028      0.300459      0.285578      0.207156      0.417264E-01   0.00000       0.00000    
  0.144536E-01   3.23241      0.523148      0.566415      0.334070      0.478321      0.189078      0.880944E-01  0.812391      0.293203      0.277314      0.200891      0.408667E-01   0.00000       0.00000    
  0.158481E-01   3.16794      0.527279      0.559057      0.325853      0.463631      0.201426      0.954263E-01  0.789484      0.285889      0.268944      0.194565      0.399645E-01   0.00000       0.00000    
  0.173770E-01   3.10179      0.531948      0.552041      0.317528      0.448762      0.214420      0.103279      0.766289      0.278509      0.260461      0.188174      0.390192E-01   0.00000       0.00000    
  0.190535E-01   3.03372      0.537213      0.545416      0.309073      0.433684      0.228140      0.111732      0.742758      0.271048      0.251846      0.181706      0.380258E-01   0.00000       0.00000    
  0.208917E-01   2.96369      0.543065      0.539189      0.300483      0.418393      0.242582      0.120796      0.718876      0.263498      0.243097      0.175159      0.369852E-01   0.00000       0.00000    
  0.229073E-01   2.89174      0.549464      0.533346      0.291759      0.402894      0.257705      0.130452      0.694654      0.255859      0.234217      0.168536      0.359005E-01   0.00000       0.00000    
  0.251174E-01   2.81779      0.556406      0.527898      0.282894      0.387184      0.273512      0.140715      0.670078      0.248122      0.225204      0.161836      0.347719E-01   0.00000       0.00000    
  0.275406E-01   2.74154      0.563936      0.522897      0.273865      0.371236      0.290071      0.151662      0.645101      0.240270      0.216042      0.155048      0.335958E-01   0.00000       0.00000    
  0.301976E-01   2.66296      0.572017      0.518335      0.264673      0.355060      0.307345      0.163275      0.619733      0.232298      0.206736      0.148176      0.323748E-01   0.00000       0.00000    
  0.331110E-01   2.58210      0.580595      0.514187      0.255321      0.338676      0.325274      0.175512      0.593996      0.224207      0.197298      0.141229      0.311134E-01   0.00000       0.00000    
  0.363055E-01   2.49890      0.589642      0.510451      0.245806      0.322090      0.343836      0.188361      0.567896      0.215993      0.187732      0.134209      0.298133E-01   0.00000       0.00000    
  0.398081E-01   2.41300      0.599170      0.507161      0.236109      0.305298      0.363061      0.201863      0.541407      0.207635      0.178033      0.127117      0.284731E-01   0.00000       0.00000    
  0.436487E-01   2.32447      0.609107      0.504276      0.226236      0.288332      0.382871      0.215944      0.514569      0.199138      0.168222      0.119964      0.270982E-01   0.00000       0.00000    
  0.478598E-01   2.23343      0.619379      0.501745      0.216201      0.271229      0.403178      0.230516      0.487430      0.190507      0.158319      0.112766      0.256941E-01   0.00000       0.00000    
