* info from hepdata: 
*EXPeriment     = CERN-NA-4                      
*REACtion       = muon P --> muon X 
*Plab           = 280 GeV                                   
*Collaboration  = BCDMS                   
*Author         = Benvenuti et al 
*REFerence      = Phys. Lett. 223B (1989) 485    
*Additional info: The combined energy proton structure function as measured 
*                 by the BCDMS Collaboration in muon-proton deep inelastic 
*                 scattering.
*
* additional info:
*REFerence 	= Cern-ep-89-170.pdf, Cern-ep-89-06.pdf
*Data measured at 280 GeV beam energy
*The columns are: x, Q^2, inelastisity Y, reduced c.s.=F_2*(1-Y....,
*uncorrelated error, the number of syst. errors, correlated errors (all
*errors in percent):*
*  due to the beam momentum calibration, due to the spectrometer magnetic
*field calibration, uncertainty in the spectrometer resolution,
*uncertainty in the detector and trigger inefficiencies, uncertainty in
*the relative normalization of data from external and internal targets,
*the absolute normalization of the data taken at the beam energy of 200
*GeV, the relative normalization of the data taken at other energies 
*(100, 120, and 280 GeV).
* the last column corresponds to 1.3sigma systematic shift due to the 
*beam energy or spectrometer resolution.
*and was not included in the original table
&Data
	 Name = 'BCDMS F2p 280GeV'

	 Reaction = 'muon p'

         NDATA = 75

         NColumn = 17
	 ColumnType = 3*'Bin','Sigma','Error','Dummy',11*'Error'
	 ColumnName = 'x','Q2','y','reduced x-section',
                      'stat','ignore','bcdms_b','bcdms_s','bcdms_r',
		      'bcdms_d', 'bcdms_nt','bcdms_na','bcdms_nr1',
		      'bcdms_nr2','ignore','bcdms_nr3', 'bcdms_sh'

         Percent  = 11*true

         NInfo 	  = 3
         DataInfo =     -1.,	    1.,        0.
	 CInfo 	  = 'e charge',	'reduced', 'e polarity'
	 IndexDataset = 93
&End
 0.350    43.00  0.233889  0.20759  2.27 10 -0.20 0.20 -0.50 0.00 0.50 3.00 0.00 0.00 0.00 1.00 4.2285
 0.350    49.50  0.269244  0.21481  2.23 10 -0.20 0.20 -0.30 0.00 0.50 3.00 0.00 0.00 0.00 1.00 4.1964
 0.350    57.00  0.310039  0.21242  1.55 10 -0.20 0.20 -0.50 0.00 0.20 3.00 0.00 0.00 0.00 1.00 4.18632
 0.350    65.50  0.356273  0.20092  1.66 10 -0.20 0.20 -0.40 0.00 0.20 3.00 0.00 0.00 0.00 1.00 4.16812
 0.350    75.00  0.407946  0.20936  1.72 10 -0.20 0.20 -0.30 0.00 0.20 3.00 0.00 0.00 0.00 1.00 4.1539
 0.350    86.00  0.467778  0.20583  1.74 10 -0.20 0.20 -0.50 0.00 0.20 3.00 0.00 0.00 0.00 1.00 4.18632
 0.350    99.00  0.538488  0.20313  1.85 10 -0.20 0.20 -0.40 0.00 0.20 3.00 0.00 0.00 0.00 1.00 4.16812
 0.350   115.50  0.628236  0.20358  2.17 10 -0.20 0.20 -0.20 0.00 0.00 3.00 0.00 0.00 0.00 1.00 4.13555
 0.350   137.50  0.7479    0.20044  2.36 10 -0.20 0.20 -0.20 0.00 0.00 3.00 0.00 0.00 0.00 1.00 4.13555
 0.450    43.00  0.181914  0.12927  3.41 10 0.30 1.10 -1.10 0.00 0.50 3.00 0.00 0.00 0.00 1.00 4.64375
 0.450    49.50  0.209412  0.13776  3.29 10 0.20 1.00 -1.10 0.00 0.50 3.00 0.00 0.00 0.00 1.00 4.59619
