* info from hepdata: 
*EXPeriment     = CERN-NA-4                      
*REACtion       = muon P --> muon X 
*Plab           = 200 GeV                                   
*Collaboration  = BCDMS                   
*Author         = Benvenuti et al 
*REFerence      = Phys. Lett. 223B (1989) 485    
*Additional info: The combined energy proton structure function as measured 
*                 by the BCDMS Collaboration in muon-proton deep inelastic 
*                 scattering.
*
* additional info:
*REFerence 	= Cern-ep-89-170.pdf, Cern-ep-89-06.pdf
*Data measured at 200 GeV beam energy
*The columns are: x, Q^2, inelastisity Y, reduced c.s.=F_2*(1-Y....,
*uncorrelated error, the number of syst. errors, correlated errors (all
*errors in percent):*
*  due to the beam momentum calibration, due to the spectrometer magnetic
*field calibration, uncertainty in the spectrometer resolution,
*uncertainty in the detector and trigger inefficiencies, uncertainty in
*the relative normalization of data from external and internal targets,
*the absolute normalization of the data taken at the beam energy of 200
*GeV, the relative normalization of the data taken at other energies 
*(100, 120, and 280 GeV).
* the last column corresponds to 1.3sigma systematic shift due to the 
*beam energy or spectrometer resolution.
*and was not included in the original table
&Data
	 Name = 'BCDMS F2p 200GeV'

	 Reaction = 'muon p'

         NDATA = 79

         NColumn = 17
	 ColumnType = 3*'Bin','Sigma','Error','Dummy',11*'Error'
	 ColumnName = 'x','Q2','y','reduced x-section',
                      'stat','ignore','bcdms_b','bcdms_s','bcdms_r',
		      'bcdms_d', 'bcdms_nt','bcdms_na','bcdms_nr1',
		      'bcdms_nr2','ignore','bcdms_nr3', 'bcdms_sh'

         Percent  = 11*true

         NInfo 	  = 3
         DataInfo =     -1.,	    1.,        0.
	 CInfo 	  = 'e charge',	'reduced', 'e polarity'
	 IndexDataset = 92
&End
0.275    65.50 0.634813  0.26985  1.34 10 -0.20 0.10 0.40 0.00 0.00 3.00 0.00 0.00 0.00 0.00 3.94524
0.275    75.00 0.726885  0.26068  1.48 10 -0.20 0.10 0.70 0.00 0.00 3.00 0.00 0.00 0.00 0.00 4.0153
0.350    32.50 0.247487  0.22221  1.24 10 -0.20 0.20 -0.20 0.00 0.50 3.00 0.00 0.00 0.00 0.00 3.97936
0.350    37.50 0.285562  0.21985  0.95 10 -0.20 0.20 0.20 0.00 0.30 3.00 0.00 0.00 0.00 0.00 3.94524
0.350    43.00 0.327444  0.21666  0.93 10 -0.20 0.20 0.40 0.00 0.20 3.00 0.00 0.00 0.00 0.00 3.9602
0.350    49.50 0.376942  0.21473  0.91 10 -0.20 0.20 0.30 0.00 0.20 3.00 0.00 0.00 0.00 0.00 3.94524
0.350    57.00 0.434054  0.21410  0.95 10 -0.20 0.20 0.50 0.00 0.20 3.00 0.00 0.00 0.00 0.00 3.97936
0.350    65.50 0.498782  0.20758  1.01 10 -0.20 0.20 -0.20 0.00 0.10 3.00 0.00 0.00 0.00 0.00 3.92807
0.350    75.00 0.571124  0.20193  1.28 10 -0.20 0.20 0.10 0.00 0.00 3.00 0.00 0.00 0.00 0.00 3.91945
0.350    86.00 0.654889  0.20554  1.33 10 -0.20 0.20 0.60 0.00 0.00 3.00 0.00 0.00 0.00 0.00 3.9942
0.350    99.00 0.753884  0.20033  1.48 10 -0.20 0.20 0.30 0.00 0.00 3.00 0.00 0.00 0.00 0.00 3.93666
0.450    32.50 0.19249   0.14298  1.86 10 0.20 1.00 0.60 0.00 0.50 3.00 0.00 0.00 0.00 0.00 4.24246
0.450    37.50 0.222104  0.13689  2.02 10 0.20 0.90 0.30 0.00 0.50 3.00 0.00 0.00 0.00 0.00 4.14983
0.450    43.00 0.254679  0.13873  1.32 10 0.10 0.80 0.40 0.00 0.20 3.00 0.00 0.00 0.00 0.00 4.08001
0.450    49.50 0.293177  0.13676  1.31 10 0.00 0.70 0.10 0.00 0.20 3.00 0.00 0.00 0.00 0.00 4.0153
0.450    57.00 0.337598  0.13594  1.36 10 0.00 0.60 -0.30 0.00 0.20 3.00 0.00 0.00 0.00 0.00 4.00476
0.450    65.50 0.387941  0.13030  1.40 10 -0.10 0.60 0.30 0.00 0.20 3.00 0.00 0.00 0.00 0.00 4.00687
0.450    75.00 0.444208  0.12735  1.77 10 -0.10 0.50 0.20 0.00 0.00 3.00 0.00 0.00 0.00 0.00 3.96447
0.450    86.00 0.509358  0.13085  1.80 10 -0.10 0.50 0.50 0.00 0.00 3.00 0.00 0.00 0.00 0.00 4.00898
0.450    99.00 0.586354  0.12724  1.91 10 -0.10 0.50 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 3.95593
0.450   115.50 0.68408   0.12334  1.94 10 -0.20 0.40 0.30 0.00 0.00 3.00 0.00 0.00 0.00 0.00 3.96234
0.550    32.50 0.157492  0.07733  2.61 10 1.10 2.50 2.10 0.00 0.50 3.00 0.00 0.00 0.00 0.00 5.97435
0.550    37.50 0.181721  0.08019  2.83 10 0.90 2.20 1.70 0.00 0.50 3.00 0.00 0.00 0.00 0.00 5.48317
0.550    43.00 0.208374  0.07591  1.78 10 0.70 1.90 1.20 0.00 0.20 3.00 0.00 0.00 0.00 0.00 4.96389
0.550    49.50 0.239872  0.07558  1.80 10 0.60 1.70 1.10 0.00 0.20 3.00 0.00 0.00 0.00 0.00 4.7765
0.550    57.00 0.276216  0.07589  1.91 10 0.40 1.50 0.60 0.00 0.20 3.00 0.00 0.00 0.00 0.00 4.46754
0.550    65.50 0.317406  0.07090  2.00 10 0.30 1.30 0.20 0.00 0.10 3.00 0.00 0.00 0.00 0.00 4.27817
0.550    75.00 0.363443  0.07022  2.21 10 0.20 1.20 0.20 0.00 0.10 3.00 0.00 0.00 0.00 0.00 4.21849
0.550    86.00 0.416747  0.07299  2.62 10 0.10 1.10 0.40 0.00 0.50 3.00 0.00 0.00 0.00 0.00 4.23848
0.550    99.00 0.479744  0.06683  2.81 10 0.00 1.00 0.10 0.00 0.00 3.00 0.00 0.00 0.00 0.00 4.11302
