   4.000000             101          13  9.9999997E-05  0.9999000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.331119E-02   4.36935      0.530322      0.606593      0.427941      0.552318      0.102381      0.542757E-01  0.980259      0.354206      0.351879      0.200439      0.737350E-01   0.00000    
  0.363064E-02   4.30847      0.527774      0.599223      0.419660      0.541887      0.108114      0.573363E-01  0.961548      0.348012      0.345504      0.196383      0.716479E-01   0.00000    
  0.398091E-02   4.24754      0.525640      0.592115      0.411464      0.531538      0.114176      0.605763E-01  0.943003      0.341883      0.339178      0.192360      0.695813E-01   0.00000    
  0.436498E-02   4.18657      0.523752      0.585161      0.403317      0.521237      0.120435      0.639240E-01  0.924554      0.335790      0.332880      0.188357      0.675268E-01   0.00000    
  0.478610E-02   4.12540      0.522443      0.578563      0.395278      0.511034      0.127165      0.675294E-01  0.906312      0.329779      0.326640      0.184394      0.654991E-01   0.00000    
  0.524785E-02   4.06407      0.521454      0.572160      0.387293      0.500878      0.134162      0.712817E-01  0.888170      0.323807      0.320426      0.180452      0.634853E-01   0.00000    
  0.575415E-02   4.00255      0.520803      0.565959      0.379364      0.490771      0.141439      0.751880E-01  0.870135      0.317878      0.314241      0.176529      0.614861E-01   0.00000    
  0.630929E-02   3.94058      0.520759      0.560116      0.371529      0.480737      0.149230      0.793792E-01  0.852266      0.312017      0.308097      0.172640      0.595118E-01   0.00000    
  0.691799E-02   3.87834      0.520996      0.554436      0.363734      0.470732      0.157262      0.837047E-01  0.834466      0.306185      0.301969      0.168763      0.575485E-01   0.00000    
  0.758542E-02   3.81562      0.521731      0.549043      0.356008      0.460774      0.165723      0.882689E-01  0.816782      0.300403      0.295866      0.164908      0.556043E-01   0.00000    
  0.831724E-02   3.75227      0.522970      0.543935      0.348345      0.450854      0.174625      0.930813E-01  0.799198      0.294666      0.289782      0.161072      0.536787E-01   0.00000    
  0.911966E-02   3.68853      0.524499      0.538990      0.340716      0.440952      0.183783      0.980378E-01  0.781668      0.288953      0.283706      0.157245      0.517631E-01   0.00000    
  0.999950E-02   3.62378      0.526669      0.534396      0.333153      0.431076      0.193516      0.103320      0.764229      0.283286      0.277642      0.153434      0.498667E-01   0.00000    
  0.109642E-01   3.55854      0.529135      0.529964      0.325624      0.421212      0.203511      0.108752      0.746836      0.277642      0.271581      0.149631      0.479822E-01   0.00000    
  0.120220E-01   3.49232      0.532157      0.525834      0.318153      0.411365      0.214004      0.114469      0.729518      0.272035      0.265523      0.145841      0.461185E-01   0.00000    
  0.131819E-01   3.42505      0.535669      0.521963      0.310726      0.401519      0.224943      0.120444      0.712245      0.266455      0.259461      0.142058      0.442712E-01   0.00000    
  0.144536E-01   3.35662      0.539663      0.518344      0.303339      0.391667      0.236324      0.126677      0.695006      0.260899      0.253388      0.138279      0.424401E-01   0.00000    
  0.158481E-01   3.28701      0.544101      0.514952      0.295987      0.381802      0.248114      0.133150      0.677789      0.255363      0.247300      0.134502      0.406242E-01   0.00000    
  0.173770E-01   3.21611      0.548973      0.511779      0.288665      0.371918      0.260308      0.139861      0.660583      0.249842      0.241193      0.130725      0.388234E-01   0.00000    
  0.190535E-01   3.14366      0.554311      0.508836      0.281375      0.362005      0.272936      0.146831      0.643380      0.244335      0.235060      0.126945      0.370397E-01   0.00000    
  0.208917E-01   3.06955      0.560085      0.506101      0.274111      0.352055      0.285974      0.154046      0.626166      0.238838      0.228894      0.123160      0.352728E-01   0.00000    
  0.229073E-01   2.99377      0.566247      0.503546      0.266870      0.342063      0.299378      0.161483      0.608933      0.233347      0.222694      0.119369      0.335223E-01   0.00000    
  0.251174E-01   2.91621      0.572776      0.501153      0.259648      0.332024      0.313128      0.169128      0.591672      0.227859      0.216455      0.115569      0.317888E-01   0.00000    
  0.275406E-01   2.83652      0.579675      0.498912      0.252445      0.321924      0.327230      0.176987      0.574369      0.222370      0.210166      0.111759      0.300749E-01   0.00000    
  0.301976E-01   2.75465      0.586893      0.496788      0.245257      0.311759      0.341636      0.185029      0.557016      0.216876      0.203824      0.107935      0.283811E-01   0.00000    
  0.331110E-01   2.67060      0.594371      0.494743      0.238082      0.301526      0.356290      0.193217      0.539608      0.211374      0.197427      0.104099      0.267075E-01   0.00000    
  0.363055E-01   2.58427      0.602066      0.492742      0.230917      0.291221      0.371150      0.201522      0.522137      0.205861      0.190972      0.100248      0.250555E-01   0.00000    
