   10.0000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   11.2364       1.25405       1.48859       1.24853       1.48569      0.551710E-02  0.290163E-02   2.73422      0.881825      0.881637      0.604051      0.366706       0.00000       0.00000    
  0.109648E-03   11.2303       1.23912       1.47075       1.23321       1.46764      0.590403E-02  0.310865E-02   2.70085      0.871119      0.870916      0.596723      0.362096       0.00000       0.00000    
  0.120226E-03   11.1961       1.22364       1.45235       1.21731       1.44901      0.633548E-02  0.333997E-02   2.66632      0.860157      0.859938      0.589077      0.357148       0.00000       0.00000    
  0.131825E-03   11.1521       1.20799       1.43379       1.20121       1.43021      0.678752E-02  0.358253E-02   2.63142      0.849118      0.848881      0.581329      0.352089       0.00000       0.00000    
  0.144543E-03   11.0940       1.19211       1.41499       1.18484       1.41114      0.726903E-02  0.384121E-02   2.59598      0.837968      0.837711      0.573433      0.346868       0.00000       0.00000    
  0.158489E-03   11.0197       1.17598       1.39594       1.16819       1.39182      0.779600E-02  0.412479E-02   2.56000      0.826712      0.826434      0.565383      0.341474       0.00000       0.00000    
  0.173779E-03   10.9380       1.15977       1.37680       1.15142       1.37238      0.834686E-02  0.442147E-02   2.52380      0.815415      0.815114      0.557268      0.336003       0.00000       0.00000    
  0.190545E-03   10.8433       1.14341       1.35752       1.13446       1.35278      0.894641E-02  0.474488E-02   2.48724      0.804056      0.803730      0.549046      0.330404       0.00000       0.00000    
  0.208928E-03   10.7401       1.12699       1.33818       1.11741       1.33309      0.958900E-02  0.509197E-02   2.45049      0.792675      0.792322      0.540766      0.324731       0.00000       0.00000    
  0.229085E-03   10.6313       1.11055       1.31880       1.10029       1.31335      0.102597E-01  0.545454E-02   2.41364      0.781279      0.780899      0.532449      0.319010       0.00000       0.00000    
  0.251186E-03   10.5116       1.09410       1.29941       1.08309       1.29355      0.110059E-01  0.585872E-02   2.37664      0.769885      0.769473      0.524079      0.313207       0.00000       0.00000    
  0.275420E-03   10.3880       1.07768       1.28004       1.06589       1.27376      0.117888E-01  0.628318E-02   2.33965      0.758504      0.758059      0.515699      0.307383       0.00000       0.00000    
  0.301992E-03   10.2592       1.06129       1.26070       1.04867       1.25397      0.126211E-01  0.673493E-02   2.30264      0.747141      0.746660      0.507307      0.301529       0.00000       0.00000    
  0.331127E-03   10.1244       1.04502       1.24146       1.03148       1.23422      0.135329E-01  0.723072E-02   2.26571      0.735826      0.735306      0.498919      0.295656       0.00000       0.00000    
  0.363073E-03   9.98720       1.02880       1.22227       1.01432       1.21452      0.144858E-01  0.774934E-02   2.22883      0.724540      0.723978      0.490538      0.289778       0.00000       0.00000    
  0.398101E-03   9.84571       1.01273       1.20320      0.997214       1.19489      0.155207E-01  0.831342E-02   2.19210      0.713313      0.712707      0.482179      0.283900       0.00000       0.00000    
  0.436509E-03   9.70158      0.996814       1.18426      0.980183       1.17534      0.166311E-01  0.891951E-02   2.15553      0.702149      0.701493      0.473850      0.278034       0.00000       0.00000    
  0.478622E-03   9.55584      0.980989       1.16541      0.963199       1.15586      0.177900E-01  0.955254E-02   2.11906      0.691023      0.690316      0.465541      0.272176       0.00000       0.00000    
  0.524798E-03   9.40727      0.965432       1.14679      0.946356       1.13653      0.190759E-01  0.102564E-01   2.08289      0.680004      0.679240      0.457292      0.266352       0.00000       0.00000    
  0.575429E-03   9.25785      0.950015       1.12829      0.929589       1.11729      0.204267E-01  0.109965E-01   2.04688      0.669039      0.668214      0.449076      0.260550       0.00000       0.00000    
  0.630945E-03   9.10737      0.934775       1.10994      0.912916       1.09815      0.218596E-01  0.117825E-01   2.01107      0.658141      0.657252      0.440902      0.254775       0.00000       0.00000    
