1.0 11.0 0.4 0.7 0.2 0.4 116.0 150.0 0.028643 2.0128 0.769341136363 1.191 -0.128 0.026 -0.026 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 0.005 -0.005 0.0 0.01 0.005 0.01 -0.005 0.005 -0.005 -0.0 0.005 0.005 -0.005 -0.0 -0.005 0.0 0.005 -0.0 -0.0 0.005 0.0 -0.0 0.005 0.005 -0.005 0.0 -0.005 -0.005 0.005 0.005 -0.0 0.01 0.0 -0.005 -0.178 -0.219 -0.031 -0.02 -0.0 0.0 -0.0 0.0 0.046 0.066 0.34 -0.0 0.0 0.0 -0.03 -0.01 -0.005 0.066 0.076 -0.03 -0.066 0.01 0.02 0.0 0.035 0.025 -0.132 0.029 0.005 0.005 0.005 0.01 0.0 0.024 0.005 0.01 0.005 0.01 0.005 0.005 -0.0 -0.014 0.005 0.01 0.005 0.0 -0.0 0.019 0.005 0.005 -0.139 -0.019 -0.115 -0.009 0.005 0.009 -0.009 -0.0 -0.004 -0.0 0.07 -0.004 -0.004 0.0 0.004 0.0 -0.004 0.008 -0.008 -0.008 -0.0 0.0 0.0 -0.004 0.004 -0.0 -0.0 -0.003 0.003 -0.01 -0.003 0.0 0.006 0.003 -0.005 0.013 -0.002 -0.0 -0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 -0.033 0.005 0.031 0.0 0.002 0.0 0.003 0.008 0.002 2.0 
1.0 12.0 0.7 1.0 0.2 0.4 116.0 150.0 0.025655 2.5424 1.380526798 0.326 -0.122 0.013 -0.058 -0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 -0.0 0.006 0.0 0.019 0.006 0.0 -0.0 0.006 -0.026 0.026 -0.006 0.0 0.006 0.006 -0.0 -0.0 -0.006 -0.006 0.006 0.006 -0.006 0.0 -0.0 -0.0 -0.006 0.006 0.0 0.0 -0.0 0.006 0.013 -0.0 -0.0 -0.006 0.0 -0.268 -0.605 -0.057 -0.019 0.0 -0.057 0.0 0.0 0.083 0.089 -1.367 0.0 -0.038 -0.044 -0.032 0.044 0.108 0.013 0.032 -0.006 -0.038 -0.057 0.127 0.013 0.057 0.063 -0.062 -0.01 -0.035 0.014 0.021 -0.083 -0.034 -0.031 -0.017 -0.007 -0.01 0.027 0.034 0.017 0.007 0.119 0.061 0.02 0.013 0.017 -0.01 -0.04 0.017 -0.023 -0.062 -0.056 -0.019 -0.029 -0.042 0.016 -0.022 0.003 -0.032 -0.006 0.198 -0.003 -0.015 0.006 0.012 0.003 -0.012 0.032 -0.057 -0.045 0.003 -0.005 0.0 -0.008 0.005 -0.003 -0.003 -0.007 0.007 -0.019 -0.002 0.0 0.006 0.002 -0.006 0.014 -0.002 0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 0.0 -0.019 0.005 0.035 -0.0 0.002 -0.0 0.004 0.014 0.007 2.0 
1.0 13.0 -1.0 -0.7 0.4 0.6 116.0 150.0 0.02153 2.8084 1.12510551061 3.645 -0.146 0.111 -0.063 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 -0.0 -0.0 -0.021 -0.014 -0.007 0.0 -0.007 -0.014 0.042 -0.042 -0.007 0.014 0.0 0.007 -0.0 -0.0 -0.007 0.021 0.007 -0.0 0.007 -0.007 -0.0 -0.007 0.007 0.007 0.0 0.0 -0.0 -0.014 0.014 -0.0 -0.0 -0.014 -0.007 -0.326 -0.803 -0.069 -0.035 -0.007 0.014 -0.0 0.0 0.097 0.124 -0.657 0.007 -0.048 0.041 -0.083 0.062 -0.041 0.048 -0.041 0.124 0.048 -0.09 0.227 0.014 0.11 0.041 -0.231 -0.066 -0.086 0.026 0.026 -0.072 -0.109 -0.074 -0.029 -0.037 -0.04 0.043 0.02 0.042 0.017 0.056 0.104 0.05 0.022 0.044 0.033 -0.149 0.03 -0.063 -0.104 0.063 -0.073 0.032 -0.005 -0.029 0.048 0.005 -0.016 0.0 0.194 -0.005 -0.013 0.005 0.01 0.002 -0.007 0.024 -0.043 -0.032 0.002 -0.004 0.0 -0.007 0.004 -0.002 -0.002 -0.006 0.006 -0.016 -0.002 0.0 0.007 0.002 -0.006 0.015 -0.001 0.0 -0.001 0.001 0.0 -0.0 -0.0 -0.0 0.0 0.058 0.004 0.036 -0.0 0.003 0.0 0.004 0.017 0.004 2.0 
1.0 14.0 -0.7 -0.4 0.4 0.6 116.0 150.0 0.024552 2.3333 0.837229085078 0.748 -0.158 0.066 -0.025 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 -0.005 0.01 0.005 -0.01 0.0 -0.0 0.0 0.02 -0.01 -0.0 -0.01 0.005 -0.005 -0.01 -0.0 0.005 -0.005 -0.0 -0.0 0.015 0.005 0.005 0.005 0.0 -0.0 0.0 0.005 -0.0 0.0 0.01 -0.0 -0.0 -0.005 0.005 -0.208 -0.243 -0.035 -0.02 -0.0 0.005 -0.0 0.0 0.051 0.086 0.298 -0.0 -0.005 0.01 0.05 -0.05 -0.02 0.066 0.061 -0.005 0.066 -0.03 0.025 0.0 0.045 0.035 -0.126 0.034 0.005 0.015 -0.0 0.044 0.01 -0.029 -0.005 0.005 0.005 0.005 -0.019 0.0 -0.0 -0.029 -0.005 0.005 0.0 0.0 -0.0 0.009 -0.0 -0.005 -0.078 0.06 -0.119 -0.073 -0.005 -0.036 -0.0 -0.0 -0.004 -0.0 0.078 -0.0 -0.004 0.0 0.004 0.0 -0.004 0.008 -0.016 -0.012 -0.0 -0.004 0.0 -0.004 0.004 -0.0 0.0 -0.003 0.007 -0.013 -0.003 0.0 0.006 0.003 -0.005 0.013 -0.002 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.002 0.002 0.037 -0.0 0.0 0.002 0.004 0.012 0.006 2.0 
1.0 15.0 -0.4 0.0 0.4 0.6 116.0 150.0 0.020891 1.9858 0.895090753164 1.052 -0.12 0.019 -0.029 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 -0.005 -0.005 0.0 -0.005 -0.005 -0.005 0.0 0.0 -0.019 0.005 0.0 0.0 0.0 -0.0 -0.0 -0.005 -0.005 -0.005 -0.005 -0.0 0.0 -0.0 -0.005 -0.005 0.005 0.0 -0.005 -0.005 -0.005 -0.005 -0.0 0.005 0.005 0.01 -0.167 -0.162 -0.029 -0.024 -0.0 -0.029 -0.0 0.0 0.038 0.062 0.166 -0.0 0.0 0.0 0.005 -0.081 -0.066 0.009 -0.052 -0.071 -0.014 0.0 -0.009 0.0 0.038 0.038 -0.088 0.109 -0.0 -0.052 -0.0 0.072 0.0 0.093 0.0 0.062 0.0 -0.02 0.0 0.0 -0.0 -0.091 0.005 -0.061 0.0 0.0 -0.0 0.179 -0.03 0.059 -0.049 -0.039 -0.088 -0.019 0.0 -0.014 -0.029 -0.0 -0.005 0.009 0.102 -0.005 -0.009 -0.005 0.004 -0.004 -0.0 0.004 -0.0 -0.004 -0.0 0.0 -0.004 -0.008 0.004 0.0 0.0 -0.004 0.004 -0.014 -0.003 0.003 0.006 0.003 -0.006 0.017 -0.002 -0.0 -0.002 0.0 0.0 -0.0 -0.002 -0.0 0.0 -0.012 0.008 0.035 -0.0 0.001 0.001 0.003 0.008 0.002 2.0 
1.0 16.0 0.0 0.4 0.4 0.6 116.0 150.0 0.022721 1.7857 0.71616482244 0.504 -0.129 0.015 -0.03 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 -0.005 0.005 0.0 0.01 0.005 0.005 -0.015 0.025 -0.035 -0.01 0.0 0.0 -0.005 0.005 -0.0 -0.005 -0.0 -0.01 -0.005 0.005 0.0 -0.0 0.005 -0.005 -0.0 -0.005 -0.005 0.005 -0.005 0.0 -0.0 -0.0 -0.005 0.0 -0.167 -0.153 -0.034 -0.02 -0.0 0.005 -0.0 0.0 0.039 0.059 0.157 -0.0 0.0 0.0 0.0 -0.034 0.064 0.039 -0.029 -0.069 0.044 -0.0 -0.01 0.0 0.044 0.024 -0.075 0.085 -0.0 0.02 -0.0 0.035 0.0 0.035 0.0 0.03 0.0 -0.02 0.0 0.0 -0.0 -0.049 -0.0 0.024 0.0 0.0 -0.0 0.139 -0.005 0.019 -0.081 0.014 -0.056 0.019 0.0 0.028 0.014 -0.0 -0.005 0.009 0.099 -0.004 -0.009 -0.004 0.004 -0.004 -0.0 0.004 -0.0 -0.004 -0.0 0.0 -0.004 -0.008 0.004 0.0 0.0 -0.007 0.003 -0.014 -0.003 0.003 0.006 0.003 -0.005 0.016 -0.002 -0.0 -0.002 0.0 0.0 -0.0 -0.002 -0.0 0.0 0.001 0.006 0.033 -0.0 0.0 0.001 0.002 0.009 0.002 2.0 
1.0 17.0 0.4 0.7 0.4 0.6 116.0 150.0 0.028174 2.1927 0.825182769149 0.439 -0.16 0.05 -0.025 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 0.01 0.005 0.005 0.025 0.005 -0.005 0.005 -0.035 0.045 0.005 0.005 -0.005 -0.01 0.005 -0.005 0.005 0.005 0.005 -0.005 0.005 0.01 -0.005 -0.005 0.0 -0.0 0.005 0.0 -0.005 -0.005 -0.01 -0.005 -0.005 0.005 0.005 -0.169 -0.209 -0.03 -0.015 -0.0 0.0 0.0 0.0 0.05 0.06 0.263 -0.0 -0.0 -0.015 0.059 -0.015 -0.025 -0.069 0.03 0.01 -0.045 0.005 -0.005 0.0 0.03 0.049 -0.138 0.059 -0.0 -0.034 -0.0 0.03 0.015 -0.059 0.015 -0.029 0.0 -0.024 -0.029 0.0 -0.0 -0.058 -0.014 -0.043 0.0 0.0 -0.0 -0.028 0.014 -0.019 -0.061 0.014 -0.083 -0.055 0.018 -0.069 -0.018 -0.0 -0.005 -0.0 0.08 -0.0 -0.004 0.0 0.004 0.0 -0.004 0.008 -0.016 -0.012 -0.0 -0.004 0.0 -0.004 0.004 -0.0 -0.0 -0.003 0.007 -0.013 -0.003 0.0 0.006 0.003 -0.005 0.014 -0.002 -0.0 0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 0.004 0.003 0.03 -0.0 0.001 0.001 0.004 0.01 0.006 2.0 
1.0 18.0 0.7 1.0 0.4 0.6 116.0 150.0 0.026142 2.6132 1.2860746518 1.3 -0.168 0.0 -0.072 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 -0.0 0.008 -0.008 0.0 -0.016 -0.0 -0.048 0.104 -0.104 0.008 0.008 0.0 -0.016 -0.0 -0.0 0.016 -0.0 -0.0 -0.0 -0.008 -0.016 -0.0 -0.0 0.008 -0.008 0.0 0.0 -0.0 0.0 -0.008 0.008 -0.008 0.008 -0.008 -0.272 -0.727 -0.072 -0.024 -0.0 -0.008 -0.0 0.0 0.096 0.104 -0.63 0.008 -0.056 0.072 -0.048 0.04 0.056 -0.0 -0.04 0.072 0.032 -0.032 -0.199 -0.024 0.04 0.111 -0.059 -0.017 -0.015 0.017 -0.0 0.031 -0.031 -0.011 -0.011 0.009 -0.015 0.007 0.013 0.007 -0.011 0.02 0.042 0.014 0.002 -0.014 -0.009 -0.094 0.004 -0.018 -0.068 0.042 -0.045 0.014 -0.016 -0.022 0.003 0.003 -0.012 0.0 0.123 -0.003 -0.008 0.003 0.006 0.002 -0.005 0.015 -0.027 -0.021 0.001 -0.003 0.0 -0.004 0.003 -0.001 -0.001 -0.004 0.004 -0.009 -0.001 0.0 0.004 0.001 -0.004 0.009 -0.001 0.0 -0.001 0.001 0.0 -0.0 0.0 0.0 0.0 0.015 0.003 0.02 0.006 0.004 0.0 0.002 0.011 0.003 2.0 
1.0 19.0 -1.0 -0.7 0.6 0.8 116.0 150.0 0.021219 2.7576 1.09800000114 3.105 -0.153 0.116 -0.049 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 -0.0 -0.006 -0.018 -0.012 0.006 0.006 0.006 0.0 0.006 -0.012 -0.0 0.0 0.018 0.0 -0.0 0.006 -0.006 -0.006 -0.0 -0.006 0.012 0.0 -0.0 0.006 0.0 -0.006 0.0 0.0 -0.0 -0.012 -0.006 -0.012 -0.0 0.006 0.012 -0.256 -0.579 -0.073 -0.018 -0.0 0.006 -0.0 0.0 0.097 0.097 -1.881 0.0 0.024 -0.012 0.055 -0.036 0.073 -0.043 -0.03 -0.097 -0.012 0.061 -0.055 -0.079 0.061 0.061 -0.155 -0.011 -0.037 0.026 0.004 -0.026 -0.033 0.026 0.011 0.022 0.026 0.018 0.004 -0.004 0.014 0.025 0.036 0.025 -0.004 0.014 -0.004 -0.24 0.018 0.021 -0.143 0.084 -0.038 0.038 -0.038 0.062 0.037 0.007 -0.024 0.0 0.178 -0.003 -0.01 0.003 0.013 0.003 -0.003 0.021 -0.033 -0.024 0.003 -0.006 0.0 -0.008 0.005 -0.003 -0.003 -0.005 0.008 -0.018 0.0 0.0 0.009 0.002 -0.008 0.017 -0.002 0.0 -0.0 0.001 0.0 -0.0 -0.001 -0.0 0.0 -0.033 0.005 0.032 -0.0 0.001 0.001 0.006 0.023 0.001 2.0 
1.0 20.0 -0.7 -0.4 0.6 0.8 116.0 150.0 0.023244 2.4672 0.870942095894 0.374 -0.184 0.112 -0.028 -0.0 0.0 -0.0 0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 0.0 0.006 0.011 -0.011 -0.022 -0.006 -0.006 0.011 -0.011 -0.006 0.011 -0.006 -0.006 0.0 -0.0 -0.006 -0.006 -0.0 -0.006 -0.006 -0.006 0.0 -0.017 0.006 0.006 0.011 0.0 0.006 0.006 -0.011 0.006 -0.0 -0.0 0.0 -0.006 -0.211 -0.267 -0.044 -0.028 0.0 -0.0 0.0 0.0 0.067 0.089 0.305 -0.0 -0.006 0.039 -0.072 -0.061 0.011 0.039 -0.122 0.011 0.011 0.006 -0.028 -0.011 0.022 0.033 -0.163 -0.075 0.009 -0.066 0.004 0.136 -0.052 0.07 -0.013 0.017 0.004 -0.022 -0.052 0.004 0.004 -0.039 0.03 -0.073 0.0 0.004 0.004 -0.109 -0.029 0.025 -0.304 0.075 -0.103 -0.045 -0.012 -0.033 0.053 -0.0 -0.008 -0.004 0.071 -0.0 -0.008 -0.0 0.004 0.004 -0.004 0.011 -0.022 -0.018 -0.0 -0.003 0.0 -0.007 0.0 0.0 0.0 -0.003 0.003 -0.009 -0.0 0.0 0.008 0.002 -0.007 0.014 -0.002 -0.0 -0.0 0.002 0.0 0.0 0.0 0.0 0.0 0.0 0.004 0.036 0.0 0.001 0.0 0.004 0.011 0.007 2.0 
1.0 21.0 -0.4 0.0 0.6 0.8 116.0 150.0 0.020607 1.9462 0.781770388861 2.636 -0.099 0.015 -0.03 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 -0.0 0.005 -0.005 -0.01 -0.015 -0.0 -0.005 -0.01 0.02 -0.005 -0.005 -0.01 0.0 -0.0 -0.005 0.0 0.005 -0.0 0.005 0.005 0.005 -0.0 -0.0 -0.005 -0.0 0.005 -0.005 -0.0 -0.005 0.005 -0.005 -0.0 -0.005 0.01 -0.152 -0.147 -0.029 -0.015 -0.0 0.005 -0.0 0.0 0.039 0.054 0.181 -0.0 0.0 -0.005 0.01 -0.064 -0.068 0.005 0.024 -0.044 -0.024 0.01 -0.01 0.0 0.039 0.029 -0.111 0.121 -0.0 -0.075 -0.0 0.105 0.0 0.115 0.0 0.09 0.0 -0.074 0.015 0.0 -0.0 -0.123 -0.0 -0.083 0.0 0.0 -0.0 0.178 -0.029 0.086 -0.1 0.038 -0.061 -0.052 0.0 -0.075 0.028 0.0 -0.009 0.009 0.104 -0.004 -0.009 -0.004 0.004 0.0 0.0 0.004 -0.004 -0.004 -0.0 0.0 0.0 -0.008 0.004 0.0 -0.004 -0.007 0.007 -0.017 -0.003 0.0 0.006 0.003 -0.006 0.016 -0.002 0.0 -0.002 0.002 0.0 -0.0 -0.0 -0.0 0.0 0.018 0.004 0.032 0.0 0.0 0.002 0.004 0.009 0.001 2.0 
1.0 22.0 0.0 0.4 0.6 0.8 116.0 150.0 0.023708 1.7905 0.690834585194 0.551 -0.098 0.014 -0.028 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 0.005 0.0 0.0 0.005 0.005 -0.009 0.014 -0.009 0.014 0.005 -0.005 0.0 0.005 0.005 -0.005 0.0 -0.0 -0.0 -0.0 -0.0 0.005 -0.0 -0.005 -0.009 -0.0 0.005 0.0 -0.0 -0.005 0.0 -0.0 -0.0 0.009 0.005 -0.13 -0.13 -0.019 -0.014 -0.0 0.0 -0.0 0.0 0.032 0.042 0.144 -0.0 0.0 0.0 0.009 -0.051 -0.042 0.023 -0.019 0.019 0.037 -0.009 -0.005 0.0 0.023 0.023 -0.085 0.058 -0.0 -0.026 -0.0 0.084 0.0 0.053 0.0 0.037 0.0 -0.026 0.005 0.0 -0.0 -0.052 0.005 -0.036 0.0 0.0 -0.0 0.167 -0.015 0.03 -0.116 0.035 -0.02 -0.02 0.0 -0.039 0.024 -0.0 -0.01 0.005 0.109 -0.005 -0.009 -0.005 0.005 0.0 -0.0 0.004 -0.004 -0.004 -0.0 -0.0 0.0 -0.008 0.004 -0.0 -0.004 -0.007 0.007 -0.018 -0.004 0.0 0.006 0.003 -0.006 0.017 -0.002 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 -0.008 0.004 0.029 0.0 0.0 0.0 0.003 0.007 0.001 2.0 
1.0 23.0 0.4 0.7 0.6 0.8 116.0 150.0 0.029056 2.2539 0.972594310543 0.857 -0.214 0.057 -0.032 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 -0.0 -0.013 0.006 0.019 -0.006 -0.006 -0.006 0.013 -0.013 0.006 -0.006 0.006 0.006 -0.006 0.006 0.006 -0.006 -0.0 -0.0 -0.013 -0.006 -0.0 -0.006 0.0 -0.006 0.0 0.006 -0.013 0.006 0.006 0.006 0.006 -0.006 0.0 -0.182 -0.207 -0.044 -0.019 -0.0 0.0 -0.0 0.0 0.063 0.075 0.276 -0.0 0.013 0.019 -0.063 -0.038 0.019 -0.056 0.081 -0.037 -0.062 0.037 -0.044 0.0 0.031 0.044 -0.114 0.033 -0.011 0.018 0.011 0.062 -0.044 0.025 -0.025 0.011 0.0 -0.0 0.036 0.004 -0.0 0.029 0.032 0.018 0.004 0.0 -0.0 -0.06 0.01 0.024 -0.038 -0.017 -0.017 0.021 -0.048 0.017 0.02 -0.0 -0.003 -0.003 0.059 -0.0 -0.006 0.0 0.003 0.003 -0.003 0.009 -0.021 -0.015 -0.0 -0.003 0.0 -0.003 0.0 -0.0 -0.0 -0.003 0.003 -0.007 -0.0 0.0 0.007 0.002 -0.006 0.013 -0.002 -0.0 -0.0 0.001 0.0 -0.0 -0.0 -0.0 0.0 -0.014 0.003 0.024 0.0 0.004 0.003 0.003 0.006 0.006 2.0 
1.0 24.0 0.7 1.0 0.6 0.8 116.0 150.0 0.027151 2.2903 0.938070127496 3.318 -0.16 0.018 -0.049 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 -0.0 0.012 0.025 0.012 0.0 0.0 -0.0 0.018 -0.012 0.012 -0.0 0.006 -0.006 0.012 0.006 -0.0 -0.006 -0.0 -0.0 -0.0 -0.0 0.012 -0.0 0.006 0.0 0.006 -0.012 -0.006 0.006 -0.006 0.012 -0.0 0.006 0.006 0.006 -0.196 -0.496 -0.049 -0.018 -0.0 0.006 -0.0 0.0 0.073 0.085 -1.447 0.0 0.061 0.012 -0.03 -0.012 0.061 -0.037 0.043 0.006 -0.055 -0.024 0.061 0.03 0.036 0.036 -0.108 -0.033 -0.022 0.026 -0.0 -0.056 0.022 -0.03 -0.007 -0.022 0.007 0.007 0.004 0.007 -0.011 0.044 0.022 0.025 0.0 0.004 -0.014 -0.175 0.014 -0.028 -0.067 -0.011 -0.077 -0.017 -0.045 0.066 -0.014 0.007 -0.017 0.0 0.187 -0.003 -0.01 0.003 0.013 0.003 -0.003 0.022 -0.034 -0.027 0.003 -0.006 0.0 -0.008 0.003 -0.003 -0.003 -0.005 0.008 -0.018 -0.002 0.0 0.009 0.002 -0.008 0.019 -0.002 0.0 -0.0 0.001 0.0 -0.0 -0.001 -0.0 0.0 -0.036 0.003 0.026 -0.0 0.0 0.0 0.004 0.015 0.001 2.0 
1.0 25.0 -1.0 -0.7 0.8 1.0 116.0 150.0 0.017433 3.0093 1.31524607964 2.072 -0.165 0.114 -0.036 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 -0.026 -0.015 0.01 -0.005 -0.005 -0.005 0.021 -0.052 0.062 0.01 -0.005 -0.031 0.0 0.005 -0.015 0.0 -0.0 0.005 0.01 -0.015 -0.005 -0.015 -0.01 0.005 -0.01 0.0 0.015 -0.005 0.005 -0.005 -0.01 0.005 -0.01 0.005 -0.232 -0.55 -0.067 -0.015 -0.0 -0.026 -0.0 0.0 0.098 0.082 -0.205 -0.0 0.139 0.113 -0.005 -0.005 -0.092 -0.133 0.026 0.01 -0.02 0.026 -0.148 0.077 0.066 0.036 -0.216 -0.029 -0.019 -0.019 0.005 -0.038 0.043 -0.067 0.01 -0.043 -0.024 -0.009 -0.019 0.014 0.005 -0.08 -0.042 -0.037 0.005 0.023 -0.009 -0.161 -0.0 -0.041 -0.319 -0.055 -0.185 -0.054 -0.031 -0.067 -0.057 0.004 -0.022 0.004 0.172 -0.004 -0.008 0.004 0.012 0.0 -0.004 0.012 -0.028 -0.023 -0.0 -0.004 0.0 -0.011 0.007 -0.004 -0.0 -0.007 0.01 -0.023 -0.003 0.0 0.009 0.003 -0.011 0.022 -0.002 0.0 -0.0 0.002 0.0 -0.0 -0.0 -0.0 0.0 -0.033 0.006 0.041 -0.0 0.001 0.002 0.006 0.018 0.018 2.0 
1.0 26.0 -0.7 -0.4 0.8 1.0 116.0 150.0 0.021939 2.6471 1.0436135691 0.416 -0.178 0.139 -0.033 -0.0 0.0 -0.0 0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 0.0 0.026 -0.02 -0.033 -0.007 0.02 0.007 -0.033 0.053 -0.073 -0.007 0.007 0.026 0.0 -0.0 0.007 0.0 0.013 -0.0 -0.0 0.013 0.0 -0.013 0.007 0.007 -0.007 0.02 -0.0 -0.0 0.013 -0.007 0.013 -0.0 -0.013 0.0 -0.204 -0.309 -0.072 -0.026 0.0 0.0 -0.0 0.0 0.085 0.098 0.092 -0.0 0.02 0.039 0.007 -0.052 -0.039 0.111 -0.052 0.046 -0.007 -0.085 0.02 0.007 0.052 0.052 -0.211 0.034 -0.023 -0.003 0.003 0.047 -0.03 0.023 -0.013 0.02 -0.017 0.013 -0.007 0.023 -0.0 -0.046 0.043 -0.003 -0.003 -0.016 -0.016 -0.077 -0.01 0.01 -0.194 -0.016 -0.104 -0.009 -0.041 -0.037 -0.015 -0.0 -0.006 -0.006 0.048 -0.0 -0.006 0.003 0.006 0.003 -0.006 0.014 -0.022 -0.019 0.003 -0.003 0.0 -0.005 0.0 -0.002 0.0 -0.002 0.002 -0.005 -0.0 0.0 0.006 0.002 -0.006 0.014 -0.002 -0.0 -0.001 0.001 0.0 -0.0 0.0 0.0 0.0 -0.002 0.003 0.026 -0.0 0.005 0.0 0.003 0.01 0.003 2.0 
1.0 27.0 -0.4 0.0 0.8 1.0 116.0 150.0 0.020852 1.9739 0.756989491076 0.941 -0.109 0.052 -0.031 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 0.005 0.005 0.0 0.0 0.005 0.016 -0.01 0.021 -0.021 -0.0 -0.005 0.01 0.005 0.005 -0.005 0.0 0.01 -0.005 -0.0 0.005 0.005 -0.0 -0.005 0.0 0.005 0.0 0.0 -0.0 -0.005 0.0 -0.005 -0.0 0.005 0.0 -0.149 -0.144 -0.026 -0.021 -0.005 -0.005 -0.0 0.0 0.041 0.057 0.175 -0.0 0.0 0.0 0.046 -0.113 -0.026 0.0 0.01 -0.118 0.041 -0.051 -0.01 0.0 0.051 0.056 -0.178 0.11 -0.0 -0.091 -0.0 0.172 0.01 0.177 0.0 0.071 0.0 -0.057 -0.033 0.0 -0.0 -0.127 -0.0 -0.089 0.0 0.0 -0.0 0.074 -0.037 0.068 -0.096 0.041 0.072 -0.045 0.0 0.045 0.022 -0.0 -0.009 -0.0 0.099 -0.004 -0.008 0.0 0.004 0.0 -0.004 0.008 -0.012 -0.012 -0.0 -0.004 0.0 -0.007 0.004 0.0 -0.003 -0.007 0.007 -0.016 -0.003 0.0 0.006 0.003 -0.008 0.018 -0.002 0.0 -0.002 0.002 0.0 -0.0 -0.0 -0.0 0.0 -0.03 0.004 0.027 0.0 0.0 0.0 0.003 0.007 0.001 2.0 
1.0 28.0 0.0 0.4 0.8 1.0 116.0 150.0 0.022969 1.8343 0.761278453393 1.583 -0.113 0.027 -0.032 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 0.005 0.011 0.005 0.011 -0.005 -0.022 0.011 -0.054 0.048 -0.0 0.0 -0.011 0.005 -0.0 -0.005 -0.005 -0.005 0.005 -0.0 0.005 0.005 -0.0 0.011 0.011 -0.0 0.0 -0.011 -0.0 0.0 0.0 -0.005 -0.0 0.005 0.005 -0.134 -0.129 -0.032 -0.021 -0.0 0.0 -0.0 0.0 0.043 0.059 0.155 -0.0 0.0 0.0 -0.011 -0.085 0.032 0.005 -0.011 -0.043 -0.043 -0.027 0.011 0.0 0.048 0.064 -0.177 0.059 -0.0 -0.045 -0.0 0.163 -0.009 0.077 -0.0 0.018 0.0 -0.027 -0.022 0.0 -0.0 -0.093 -0.0 -0.044 0.0 0.0 -0.0 0.056 -0.022 0.017 0.146 0.034 0.021 -0.03 -0.008 0.004 0.008 0.0 -0.008 -0.0 0.089 -0.004 -0.008 0.0 0.004 0.0 -0.004 0.008 -0.011 -0.011 -0.0 -0.004 0.0 -0.007 0.003 -0.0 -0.0 -0.006 0.006 -0.015 -0.003 0.0 0.008 0.002 -0.007 0.017 -0.002 -0.0 -0.002 0.002 0.0 -0.0 -0.0 -0.0 0.0 0.008 0.003 0.023 0.0 0.003 0.0 0.002 0.006 0.001 2.0 
