LHAPDF set=                         CT10nlo
 27
  1 -0.5883  0.9587
  2  0.0472  0.9862
  3  0.0439  0.9940
  4  0.2911  0.9650
  5  0.2496  0.7975
  6  0.0948  0.9739
  7 -0.0092  0.9903
  8 -0.2121  0.8550
  9 -0.0091  0.9782
 10 -0.0029  0.9236
 11 -0.2181  0.9784
 12  0.1765  0.8966
 13 -0.2746  0.4469
 14  0.1121  0.9842
 15  0.0339  0.9979
 16 -0.2346  0.9448
 17  0.5497  0.8463
 18  0.7266  0.5823
 19  0.5090  0.8030
 20  0.1911  0.9406
 21  0.4767  0.8121
 22  0.0901  0.9942
 23  0.1348  0.9932
 24 -0.0419  0.9806
 25  0.2932  0.5035
 26  0.2024  0.9517
 27  0.5979  0.9580
