* Theory file for ATLAS W+ lepton rapidity 2011
&Data 
   Name = "Theory for ATLAS W+ lepton rapidity 2011"
   NData =    11
   NColumn =     5
   ColumnType = 2*"Bin","Theory",  2*"Error"
   ColumnName = "eta_min","eta_max","theory","alphas+","alphas-"
   Percent =   2*True
&End 
  0.000000E+00  0.210000E+00  0.598124E+03  0.260085E+01 -0.249799E+01
  0.210000E+00  0.420000E+00  0.599918E+03  0.259501E+01 -0.249269E+01
  0.420000E+00  0.630000E+00  0.602368E+03  0.258246E+01 -0.248129E+01
  0.630000E+00  0.840000E+00  0.606721E+03  0.256387E+01 -0.246443E+01
  0.840000E+00  0.105000E+01  0.612183E+03  0.254071E+01 -0.244347E+01
  0.105000E+01  0.137000E+01  0.618830E+03  0.250424E+01 -0.241044E+01
  0.137000E+01  0.152000E+01  0.624052E+03  0.246636E+01 -0.237619E+01
  0.152000E+01  0.174000E+01  0.626539E+03  0.243086E+01 -0.234411E+01
  0.174000E+01  0.195000E+01  0.625901E+03  0.238439E+01 -0.230212E+01
  0.195000E+01  0.218000E+01  0.617314E+03  0.232446E+01 -0.224779E+01
  0.218000E+01  0.250000E+01  0.588452E+03  0.222611E+01 -0.215823E+01
