   8317.00000             101          14   9.99999978E-03  0.999899983    
            x          g             U             D           u^+           d^+         u_val         d_val           sea         u_sea         d_sea             s^+         c^+           b^+               ph 
  0.575418E-01   2.65695       5.08069       6.21787       5.70669       5.70669       0.00000       0.00000       11.2986       2.85334       2.85334       1.73570       4.45469       4.99335       0.00000    
  0.602536E-01   2.57893       4.93504       6.04068       5.55283       5.55283       0.00000       0.00000       10.9757       2.77642       2.77642       1.69310       4.31726       4.83542       0.00000    
  0.630932E-01   2.50022       4.78914       5.86259       5.39818       5.39818       0.00000       0.00000       10.6517       2.69909       2.69909       1.65179       4.18010       4.67522       0.00000    
  0.660666E-01   2.42066       4.64302       5.68378       5.24274       5.24274       0.00000       0.00000       10.3268       2.62137       2.62137       1.61220       4.04330       4.51261       0.00000    
  0.691802E-01   2.34032       4.49684       5.50448       5.08668       5.08668       0.00000       0.00000       10.0013       2.54334       2.54334       1.57431       3.90699       4.34796       0.00000    
  0.724405E-01   2.25933       4.35074       5.32495       4.93020       4.93020       0.00000       0.00000       9.67570       2.46510       2.46510       1.53800       3.77129       4.18170       0.00000    
  0.758544E-01   2.17781       4.20490       5.14544       4.77348       4.77348       0.00000       0.00000       9.35034       2.38674       2.38674       1.50311       3.63632       4.01429       0.00000    
  0.794292E-01   2.09566       4.05940       4.96622       4.61660       4.61660       0.00000       0.00000       9.02562       2.30830       2.30830       1.47001       3.50221       3.84583       0.00000    
  0.831725E-01   2.01299       3.91441       4.78755       4.45976       4.45976       0.00000       0.00000       8.70196       2.22988       2.22988       1.43856       3.36906       3.67677       0.00000    
  0.870923E-01   1.93000       3.77009       4.60962       4.30315       4.30315       0.00000       0.00000       8.37970       2.15158       2.15158       1.40849       3.23702       3.50759       0.00000    
  0.911967E-01   1.84679       3.62658       4.43271       4.14697       4.14697       0.00000       0.00000       8.05929       2.07349       2.07349       1.37974       3.10619       3.33870       0.00000    
  0.954946E-01   1.76333       3.48404       4.25716       3.99136       3.99136       0.00000       0.00000       7.74120       1.99568       1.99568       1.35246       2.97673       3.17050       0.00000    
  0.999950E-01   1.67981       3.34262       4.08319       3.83651       3.83651       0.00000       0.00000       7.42581       1.91826       1.91826       1.32641       2.84874       3.00346       0.00000    
  0.104708       1.59647       3.20249       3.91090       3.68266       3.68266       0.00000       0.00000       7.11339       1.84133       1.84133       1.30123       2.72233       2.83792       0.00000    
