   25.0000000             101          14   9.99999978E-03  0.999899983    
            x          g             U             D           u^+           d^+         u_val         d_val           sea         u_sea         d_sea             s^+         c^+           b^+               ph 
  0.100000E-01  0.417023       6.26750       5.70597       6.84397       6.84397       0.00000       0.00000       11.9735       3.42199       3.42199      0.271974E-01   5.69102       4.54077       0.00000    
  0.104713E-01  0.438640       6.23332       5.71331       6.81824       6.81824       0.00000       0.00000       11.9466       3.40912       3.40912      0.295884E-01   5.64841       4.57880       0.00000    
  0.109648E-01  0.461231       6.19865       5.71995       6.79175       6.79175       0.00000       0.00000       11.9186       3.39587       3.39587      0.322069E-01   5.60555       4.61594       0.00000    
  0.114815E-01  0.484855       6.16348       5.72587       6.76450       6.76450       0.00000       0.00000       11.8893       3.38225       3.38225      0.350363E-01   5.56246       4.65221       0.00000    
  0.120226E-01  0.509537       6.12778       5.73103       6.73645       6.73645       0.00000       0.00000       11.8588       3.36823       3.36823      0.381004E-01   5.51910       4.68751       0.00000    
  0.125892E-01  0.535290       6.09152       5.73536       6.70758       6.70758       0.00000       0.00000       11.8269       3.35379       3.35379      0.414304E-01   5.47546       4.72171       0.00000    
  0.131825E-01  0.562137       6.05467       5.73880       6.67783       6.67783       0.00000       0.00000       11.7935       3.33892       3.33892      0.450499E-01   5.43151       4.75473       0.00000    
  0.138037E-01  0.590145       6.01722       5.74133       6.64720       6.64720       0.00000       0.00000       11.7586       3.32360       3.32360      0.489595E-01   5.38725       4.78651       0.00000    
  0.144543E-01  0.619325       5.97914       5.74288       6.61563       6.61563       0.00000       0.00000       11.7220       3.30782       3.30782      0.531894E-01   5.34265       4.81694       0.00000    
  0.151355E-01  0.649658       5.94039       5.74338       6.58309       6.58309       0.00000       0.00000       11.6838       3.29155       3.29155      0.577825E-01   5.29769       4.84588       0.00000    
  0.158488E-01  0.681193       5.90095       5.74277       6.54955       6.54955       0.00000       0.00000       11.6437       3.27477       3.27477      0.627554E-01   5.25236       4.87324       0.00000    
  0.165957E-01  0.713986       5.86080       5.74101       6.51496       6.51496       0.00000       0.00000       11.6018       3.25748       3.25748      0.681226E-01   5.20664       4.89893       0.00000    
  0.173778E-01  0.748030       5.81990       5.73803       6.47930       6.47930       0.00000       0.00000       11.5579       3.23965       3.23965      0.739212E-01   5.16050       4.92283       0.00000    
  0.181968E-01  0.783252       5.77821       5.73374       6.44250       6.44250       0.00000       0.00000       11.5120       3.22125       3.22125      0.802050E-01   5.11391       4.94478       0.00000    
  0.190543E-01  0.819750       5.73571       5.72811       6.40455       6.40455       0.00000       0.00000       11.4638       3.20227       3.20227      0.869863E-01   5.06687       4.96468       0.00000    
  0.199523E-01  0.857545       5.69237       5.72105       6.36539       6.36539       0.00000       0.00000       11.4134       3.18269       3.18269      0.942955E-01   5.01935       4.98243       0.00000    
  0.208926E-01  0.896605       5.64816       5.71251       6.32498       6.32498       0.00000       0.00000       11.3607       3.16249       3.16249      0.102177       4.97133       4.99786       0.00000    
  0.218772E-01  0.936777       5.60303       5.70240       6.28328       6.28328       0.00000       0.00000       11.3054       3.14164       3.14164      0.110690       4.92277       5.01084       0.00000    
  0.229083E-01  0.978232       5.55696       5.69066       6.24024       6.24024       0.00000       0.00000       11.2476       3.12012       3.12012      0.119852       4.87367       5.02123       0.00000    
  0.239879E-01   1.02093       5.50991       5.67722       6.19582       6.19582       0.00000       0.00000       11.1871       3.09791       3.09791      0.129707       4.82399       5.02891       0.00000    
  0.251184E-01   1.06479       5.46185       5.66200       6.14998       6.14998       0.00000       0.00000       11.1238       3.07499       3.07499      0.140306       4.77371       5.03371       0.00000    
  0.263021E-01   1.10957       5.41274       5.64494       6.10266       6.10266       0.00000       0.00000       11.0577       3.05133       3.05133      0.151704       4.72281       5.03551       0.00000    
  0.275417E-01   1.15553       5.36254       5.62595       6.05382       6.05382       0.00000       0.00000       10.9885       3.02691       3.02691      0.163939       4.67126       5.03414       0.00000    
  0.288396E-01   1.20252       5.31122       5.60496       6.00342       6.00342       0.00000       0.00000       10.9162       3.00171       3.00171      0.177064       4.61903       5.02944       0.00000    
  0.301988E-01   1.25035       5.25875       5.58191       5.95140       5.95140       0.00000       0.00000       10.8407       2.97570       2.97570      0.191125       4.56610       5.02130       0.00000    
  0.316220E-01   1.29885       5.20509       5.55674       5.89772       5.89772       0.00000       0.00000       10.7618       2.94886       2.94886      0.206171       4.51245       5.00958       0.00000    
  0.331122E-01   1.34818       5.15019       5.52933       5.84233       5.84233       0.00000       0.00000       10.6795       2.92117       2.92117      0.222276       4.45804       4.99406       0.00000    
  0.346727E-01   1.39813       5.09402       5.49964       5.78518       5.78518       0.00000       0.00000       10.5937       2.89259       2.89259      0.239487       4.40286       4.97461       0.00000    
