LHAPDF set=                    PDF4LHC21_40
 40
  1  0.0774  0.2487
  2 -0.2127  0.5416
  3  0.2500  0.8023
  4 -0.3890  0.7185
  5 -0.1022  0.9140
  6  0.2775  0.6035
  7 -0.4364  0.9206
  8 -0.0682  0.8299
  9 -0.3277  0.4022
 10  0.5199  0.8909
 11  0.4829  0.8949
 12 -0.3120  0.7467
 13 -0.1295  0.7128
 14  0.2025  0.7694
 15  0.2201  0.9127
 16 -0.2855  0.4843
 17  0.1993  0.6625
 18  0.0629  0.7862
 19 -0.4993  0.7542
 20  0.3748  0.9287
 21 -0.3685  0.7635
 22 -0.3937  0.9117
 23  0.1916  0.9235
 24  0.3527  0.7325
 25  0.1546  0.6379
 26 -0.3929  0.7669
 27  0.6399  0.6107
 28  0.0373  0.5888
 29  0.4991  0.5265
 30  0.4612  0.8815
 31 -0.1923  0.9166
 32 -0.6855  0.5378
 33 -0.0026  0.9599
 34 -0.3017  0.9073
 35 -0.0356  0.9570
 36  0.0173  0.9173
 37 -0.1939  0.9297
 38  0.3182  0.8714
 39 -0.2670  0.6798
 40  0.7525  0.7239
