   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -1.63042      0.523829      0.867868      0.520647      0.867391      0.318239E-02  0.477740E-03   1.38804      0.520647      0.520434      0.346956       0.00000       0.00000       0.00000    
  0.109648E-03  -1.45443      0.517954      0.857692      0.514531      0.857168      0.342324E-02  0.523857E-03   1.37170      0.514531      0.514301      0.342867       0.00000       0.00000       0.00000    
  0.120226E-03  -1.28896      0.512218      0.847701      0.508524      0.847123      0.369425E-02  0.577438E-03   1.35565      0.508524      0.508274      0.338849       0.00000       0.00000       0.00000    
  0.131825E-03  -1.12761      0.506540      0.837785      0.502560      0.837150      0.397934E-02  0.634618E-03   1.33971      0.502560      0.502290      0.334860       0.00000       0.00000       0.00000    
  0.144543E-03  -.972163      0.500945      0.827977      0.496660      0.827280      0.428460E-02  0.696951E-03   1.32394      0.496660      0.496368      0.330912       0.00000       0.00000       0.00000    
  0.158489E-03  -.824410      0.495467      0.818315      0.490846      0.817547      0.462126E-02  0.767575E-03   1.30839      0.490846      0.490528      0.327019       0.00000       0.00000       0.00000    
  0.173779E-03  -.680352      0.490047      0.808724      0.485073      0.807882      0.497453E-02  0.842664E-03   1.29295      0.485073      0.484729      0.323153       0.00000       0.00000       0.00000    
  0.190545E-03  -.543276      0.484741      0.799272      0.479380      0.798345      0.536178E-02  0.927019E-03   1.27772      0.479380      0.479007      0.319338       0.00000       0.00000       0.00000    
  0.208928E-03  -.411421      0.479528      0.789927      0.473748      0.788907      0.577936E-02  0.101992E-02   1.26266      0.473748      0.473344      0.315563       0.00000       0.00000       0.00000    
  0.229085E-03  -.282948      0.474374      0.780652      0.468157      0.779533      0.621679E-02  0.111842E-02   1.24769      0.468157      0.467720      0.311813       0.00000       0.00000       0.00000    
  0.251186E-03  -.162228      0.469368      0.771543      0.462660      0.770310      0.670797E-02  0.123256E-02   1.23297      0.462660      0.462186      0.308124       0.00000       0.00000       0.00000    
  0.275420E-03  -.447032E-01  0.464429      0.762505      0.457204      0.761150      0.722557E-02  0.135464E-02   1.21835      0.457204      0.456690      0.304460       0.00000       0.00000       0.00000    
