LHAPDF set=                        CT14nnlo
 28
  1 -0.1709  0.9775
  2  0.0363  0.9859
  3  0.3834  0.8391
  4 -0.0458  0.9183
  5 -0.5356  0.9459
  6 -0.0387  0.9897
  7 -0.6178  0.6444
  8  0.2005  0.9092
  9  0.1145  0.9454
 10 -0.5722  0.9110
 11  0.1799  0.9909
 12  0.1765  0.8928
 13 -0.4118  0.9461
 14  0.2275  0.9553
 15 -0.2725  0.9331
 16 -0.0976  0.9551
 17 -0.1626  0.9725
 18 -0.4223  0.9035
 19  0.4022  0.8972
 20 -0.0457  0.9827
 21  0.4129  0.9424
 22 -0.1046  0.6822
 23 -0.4206  0.8346
 24 -0.5929  0.8403
 25 -0.0902  0.9897
 26  0.1029  0.9946
 27 -0.6091  0.7490
 28 -0.1239  0.9740
