   6464.000             101          13  9.9999997E-05  0.9999000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.100000E-03   81.4959       6.23501       8.70806       6.21365       8.69565      0.213605E-01  0.124162E-01   14.9093       3.33572       3.33588       3.08646       2.87794       2.27331    
  0.109648E-03   78.4838       6.03672       8.42384       6.01419       8.41075      0.225335E-01  0.130956E-01   14.4249       3.23249       3.23265       2.98706       2.78170       2.19103    
  0.120226E-03   75.6178       5.84706       8.15212       5.82326       8.13828      0.238078E-01  0.138335E-01   13.9615       3.13360       3.13378       2.89191       2.68965       2.11259    
  0.131825E-03   72.8099       5.66085       7.88537       5.63572       7.87077      0.251275E-01  0.145975E-01   13.5065       3.03645       3.03664       2.79846       2.59927       2.03567    
  0.144543E-03   70.0850       5.47958       7.62576       5.45307       7.61036      0.265124E-01  0.153990E-01   13.0634       2.94179       2.94197       2.70744       2.51128       1.96094    
  0.158489E-03   67.4703       5.30488       7.37563       5.27688       7.35937      0.279945E-01  0.162564E-01   12.6363       2.85042       2.85061       2.61966       2.42647       1.88911    
  0.173779E-03   64.9087       5.13336       7.13010       5.10384       7.11296      0.295269E-01  0.171428E-01   12.2168       2.76065       2.76085       2.53344       2.34319       1.81867    
  0.190545E-03   62.4485       4.96793       6.89334       4.93677       6.87525      0.311604E-01  0.180873E-01   11.8120       2.67392       2.67413       2.45020       2.26285       1.75092    
  0.208928E-03   60.0652       4.80715       6.66326       4.77427       6.64418      0.328802E-01  0.190814E-01   11.4184       2.58953       2.58974       2.36924       2.18474       1.68519    
  0.229085E-03   57.7317       4.64938       6.43751       4.61472       6.41740      0.346566E-01  0.201079E-01   11.0321       2.50663       2.50686       2.28975       2.10809       1.62078    
  0.251186E-03   55.5140       4.49864       6.22186       4.46206       6.20064      0.365796E-01  0.212186E-01   10.6627       2.42725       2.42749       2.21371       2.03481       1.55945    
  0.275420E-03   53.3447       4.35087       6.01046       4.31230       5.98809      0.385717E-01  0.223690E-01   10.3004       2.34935       2.34959       2.13910       1.96295       1.49939    
