   8317.000             101          13  9.9999997E-05  0.9999000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.331119E-02   16.1544       1.73780       2.24814       1.58550       2.16075      0.152296      0.873961E-01   3.74625      0.916846      0.917508      0.781972      0.668658      0.461266    
  0.363064E-02   15.3378       1.67790       2.15916       1.51833       2.06765      0.159572      0.915136E-01   3.58598      0.881058      0.881744      0.748581      0.637271      0.437323    
  0.398091E-02   14.5555       1.62052       2.07354       1.45336       1.97774      0.167156      0.957979E-01   3.43110      0.846390      0.847102      0.716293      0.606974      0.414343    
  0.436498E-02   13.7932       1.56462       1.98988       1.38969       1.88970      0.174923      0.100181       3.27939      0.812377      0.813116      0.684652      0.577316      0.391927    
  0.478610E-02   13.0747       1.51196       1.91052       1.32885       1.80573      0.183110      0.104790       3.13458      0.779796      0.780564      0.654424      0.549056      0.370744    
  0.524785E-02   12.3782       1.46098       1.83336       1.26945       1.72384      0.191525      0.109519       2.99330      0.747943      0.748740      0.624916      0.521510      0.350187    
  0.575415E-02   11.7049       1.41174       1.75850       1.21156       1.64413      0.200176      0.114373       2.85570      0.716853      0.717680      0.596163      0.494711      0.330289    
  0.630929E-02   11.0698       1.36543       1.68748       1.15619       1.56804      0.209241      0.119442       2.72422      0.687028      0.687888      0.568665      0.469157      0.311482    
  0.691799E-02   10.4513       1.32040       1.61812       1.10191       1.49352      0.218490      0.124605       2.59543      0.657757      0.658650      0.541717      0.444150      0.293152    
  0.758542E-02   9.86157       1.27759       1.55167       1.04953       1.42173      0.228061      0.129931       2.47126      0.629441      0.630369      0.515718      0.420087      0.275647    
  0.831724E-02   9.29864       1.23688       1.48794      0.998944       1.35253      0.237939      0.135408       2.35147      0.602025      0.602991      0.490618      0.396919      0.258921    
  0.911966E-02   8.74932       1.19727       1.42561      0.949277       1.28464      0.247989      0.140969       2.23392      0.575069      0.576073      0.465975      0.374208      0.242591    
  0.999950E-02   8.21763       1.15922       1.36521      0.900840       1.21851      0.258380      0.146699       2.11935      0.548730      0.549773      0.441948      0.352110      0.226786    
  0.109642E-01   7.70805       1.12282       1.30700      0.853881       1.15450      0.268944      0.152502       2.00838      0.523127      0.524212      0.418661      0.330753      0.211624    
  0.120220E-01   7.23207       1.08900       1.25218      0.809196       1.09375      0.279805      0.158429       1.90294      0.498658      0.499787      0.396512      0.310537      0.197448    
  0.131819E-01   6.77748       1.05689       1.19957      0.766004       1.03513      0.290889      0.164442       1.80113      0.474931      0.476105      0.375111      0.291073      0.183913    
  0.144536E-01   6.34330       1.02642       1.14908      0.724253      0.978565      0.302169      0.170520       1.70282      0.451917      0.453139      0.354432      0.272336      0.170994    
  0.158481E-01   5.92741      0.997416       1.10050      0.683810      0.923862      0.313605      0.176637       1.60767      0.429550      0.430821      0.334409      0.254261      0.158632    
  0.173770E-01   5.52924      0.969823       1.05375      0.644653      0.870984      0.325170      0.182771       1.51564      0.407816      0.409139      0.315031      0.236838      0.146815    
  0.190535E-01   5.14982      0.943716       1.00896      0.606880      0.820064      0.336837      0.188892       1.42694      0.386762      0.388139      0.296346      0.220118      0.135580    
  0.208917E-01   4.78811      0.918996      0.965988      0.570435      0.771021      0.348560      0.194968       1.34146      0.366359      0.367792      0.278329      0.204076      0.124900    
  0.229073E-01   4.44240      0.895507      0.924663      0.535214      0.723698      0.360294      0.200965       1.25891      0.346554      0.348045      0.260925      0.188659      0.114727    
  0.251174E-01   4.11220      0.873193      0.884918      0.501201      0.678070      0.371991      0.206847       1.17927      0.327339      0.328890      0.244129      0.173863      0.105052    
  0.275406E-01   3.79859      0.852097      0.846840      0.468509      0.634286      0.383588      0.212554       1.10280      0.308765      0.310378      0.227996      0.159744      0.959124E-01
  0.301976E-01   3.50049      0.832100      0.810295      0.437080      0.592259      0.395020      0.218036       1.02934      0.290804      0.292481      0.212498      0.146275      0.872802E-01
  0.331110E-01   3.21655      0.813063      0.775118      0.406830      0.551864      0.406233      0.223254      0.958694      0.273414      0.275156      0.197593      0.133416      0.791152E-01
  0.363055E-01   2.94642      0.794914      0.741242      0.377754      0.513088      0.417160      0.228154      0.890842      0.256591      0.258400      0.183278      0.121163      0.714092E-01
  0.398081E-01   2.69119      0.777658      0.708720      0.349977      0.476091      0.427681      0.232629      0.826069      0.240395      0.242272      0.169617      0.109583      0.642027E-01
  0.436487E-01   2.44984      0.761159      0.677403      0.323438      0.440782      0.437721      0.236621      0.764220      0.224794      0.226741      0.156578      0.986439E-01  0.574637E-01
  0.478598E-01   2.22130      0.745285      0.647141      0.298066      0.407057      0.447219      0.240084      0.705123      0.209755      0.211772      0.144127      0.883110E-01  0.511584E-01
  0.524772E-01   2.00532      0.729946      0.617853      0.273863      0.374907      0.456084      0.242946      0.648769      0.195278      0.197365      0.132263      0.785843E-01  0.452789E-01
  0.575400E-01   1.80309      0.715086      0.589546      0.250961      0.344504      0.464124      0.245042      0.595465      0.181428      0.183585      0.121054      0.695334E-01  0.398648E-01
  0.630913E-01   1.61357      0.700555      0.562058      0.229288      0.315736      0.471267      0.246322      0.545024      0.168168      0.170394      0.110462      0.611190E-01  0.348797E-01
  0.691782E-01   1.43594      0.686220      0.535252      0.208777      0.288512      0.477443      0.246741      0.497289      0.155470      0.157763      0.100456      0.533074E-01  0.302929E-01
  0.758523E-01   1.27002      0.671965      0.509032      0.189427      0.262816      0.482538      0.246217      0.452242      0.143331      0.145690      0.910313E-01  0.460952E-01  0.260947E-01
  0.831703E-01   1.11702      0.657636      0.483347      0.171367      0.238812      0.486269      0.244534      0.410179      0.131818      0.134238      0.822550E-01  0.395488E-01  0.223195E-01
  0.911943E-01  0.975845      0.643073      0.458042      0.154497      0.216360      0.488576      0.241682      0.370858      0.120884      0.123360      0.740754E-01  0.336137E-01  0.189245E-01
