   5.00000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   4.43416      0.906114       1.39185      0.900967       1.39053      0.514635E-02  0.131900E-02   2.29150      0.780141      0.779864      0.610752      0.120826       0.00000       0.00000    
  0.109648E-03   4.55503      0.895460       1.37355      0.889960       1.37214      0.549959E-02  0.141417E-02   2.26210      0.769966      0.769666      0.602562      0.119995       0.00000       0.00000    
  0.120226E-03   4.66089      0.884790       1.35528      0.878897       1.35376      0.589320E-02  0.152164E-02   2.23266      0.759815      0.759489      0.594359      0.119082       0.00000       0.00000    
  0.131825E-03   4.76091      0.874126       1.33703      0.867820       1.33539      0.630547E-02  0.163492E-02   2.20321      0.749679      0.749326      0.586157      0.118141       0.00000       0.00000    
  0.144543E-03   4.85258      0.863469       1.31881      0.856724       1.31705      0.674449E-02  0.175652E-02   2.17377      0.739567      0.739184      0.577956      0.117158       0.00000       0.00000    
  0.158489E-03   4.93340      0.852845       1.30064      0.845620       1.29875      0.722477E-02  0.189124E-02   2.14437      0.729494      0.729079      0.569765      0.116126       0.00000       0.00000    
  0.173779E-03   5.00903      0.842242       1.28252      0.834516       1.28048      0.772677E-02  0.203296E-02   2.11500      0.719444      0.718994      0.561583      0.115072       0.00000       0.00000    
  0.190545E-03   5.07489      0.831692       1.26447      0.823419       1.26228      0.827304E-02  0.218908E-02   2.08570      0.709441      0.708953      0.553420      0.113978       0.00000       0.00000    
  0.208928E-03   5.13351      0.821197       1.24649      0.812339       1.24414      0.885848E-02  0.235823E-02   2.05647      0.699481      0.698953      0.545278      0.112858       0.00000       0.00000    
  0.229085E-03   5.18743      0.810740       1.22857      0.801271       1.22603      0.946954E-02  0.253592E-02   2.02730      0.689549      0.688978      0.537151      0.111722       0.00000       0.00000    
  0.251186E-03   5.23067      0.800395       1.21078      0.790245       1.20804      0.101494E-01  0.273704E-02   1.99829      0.679694      0.679075      0.529067      0.110551       0.00000       0.00000    
  0.275420E-03   5.26955      0.790108       1.19306      0.779245       1.19011      0.108628E-01  0.294987E-02   1.96936      0.669875      0.669205      0.521004      0.109370       0.00000       0.00000    
  0.301992E-03   5.30257      0.779899       1.17543      0.768278       1.17225      0.116213E-01  0.317841E-02   1.94053      0.660106      0.659381      0.512971      0.108172       0.00000       0.00000    
  0.331127E-03   5.32766      0.769823       1.15795      0.757370       1.15452      0.124525E-01  0.343298E-02   1.91189      0.650413      0.649627      0.504988      0.106957       0.00000       0.00000    
  0.363073E-03   5.34906      0.759815       1.14054      0.746494       1.13684      0.133214E-01  0.370123E-02   1.88333      0.640759      0.639909      0.497029      0.105735       0.00000       0.00000    
