*
* dSigma/d eta_l+ cross section.
*
* Data from  arXiv:1109.5141, theory from arXiv:1203.4051
*
&DATA
 Name = 'ATLAS W lepton pseudorapidity, 2010 data'
 Ndata  = 11
 NColumn   = 36
 ColumnType = 2*'Bin','Sigma',33*'Error'
 ColumnName = 'eta1','eta2','Sigma', 'stat','uncor','a1','a2','a3','a4','a5','a6','a7','a8','a9','a10',
         'a11','a12','a13','a14','a15','a16','a17','a18','a19','a20',
         'a21','a22','a23','a24','a25','a26','a27','a28','a29','a30','atlas_lumi2010'

 NInfo    = 6 
 DataInfo =   7000.,   -1,      20.,       25,          0., 100000. 
 CInfo    = 'sqrt(S)','e charge','pte cut', 'ptnu cut', 'asymmetry', 'theoryunit'
 IndexDataset = 93
 Reaction = 'CC pp'
 NKfactor = 2
 TheoryType     = 'applgrid', 'kfactor'
 
 TheoryInfoFile = 'theoryfiles/atlas/WZ2010/WM-applgrid.root',
                  'theoryfiles/atlas/WZ2010/KF-Wm-nnlo2nlo-ew.txt'
         
 PERCENT = F, 32*T
&END
    0.00     0.21       446.32         5.16    1.29  0.101   0.178   0.228   0.190   0.030  -0.009   0.039   0.052   0.070   0.112   0.168   0.059  -0.419   0.080  -0.180  -0.294  -0.573   0.391   0.301   0.341  -0.410  -0.112   0.117  -0.112  -0.025   0.509  -0.082   0.113   0.066  -0.156 3.4 
    0.21     0.42       440.26         4.75    1.13  0.101   0.178   0.228   0.190   0.030  -0.001   0.045   0.057   0.067   0.111   0.175   0.092  -0.423   0.047  -0.202  -0.294  -0.480   0.440   0.371   0.342  -0.380  -0.080   0.173  -0.177  -0.156   0.405  -0.151   0.208   0.075  -0.101 3.4 
    0.42     0.63       455.06         4.71    1.10  0.101   0.178   0.228   0.190   0.038  -0.006   0.059   0.030   0.068   0.088   0.160   0.063  -0.445   0.054  -0.198  -0.312  -0.517   0.501   0.321   0.319  -0.285  -0.076   0.187  -0.141  -0.137   0.499  -0.183   0.118   0.055  -0.103 3.4 
    0.63     0.84       439.81         4.93    1.30  0.101   0.178   0.228   0.190   0.038  -0.006   0.045   0.057   0.076   0.096   0.182   0.090  -0.489   0.077  -0.217  -0.312  -0.490   0.562   0.376   0.440  -0.365  -0.030   0.137  -0.092  -0.067   0.324  -0.085   0.210   0.073  -0.130 3.4 
    0.84     1.05       428.07         4.79    1.30  0.101   0.178   0.228   0.190   0.031  -0.011   0.038   0.060   0.046   0.108   0.214   0.066  -0.458   0.086  -0.231  -0.273  -0.612   0.526   0.260   0.291  -0.475  -0.092   0.072  -0.223  -0.122   0.362  -0.070   0.208   0.063  -0.135 3.4 
    1.05     1.37       418.89         3.75    0.95  0.101   0.178   0.228   0.190   0.040   0.001   0.045   0.033   0.109   0.125   0.182   0.127  -0.489   0.112  -0.318  -0.340  -0.595   0.368   0.330   0.454  -0.466  -0.024   0.032  -0.151  -0.107   0.246  -0.022   0.273   0.088  -0.096 3.4 
    1.37     1.52       387.27         6.94    1.35  0.101   0.178   0.228   0.190   0.048  -0.017   0.036   0.063   0.121   0.186   0.197   0.090  -0.617   0.140  -0.248  -0.378  -0.805   0.520   0.253   0.582  -0.527  -0.053   0.013  -0.002   0.129   0.190  -0.246   0.339   0.122   0.307 3.4 
    1.52     1.74       384.03         4.27    0.93  0.101   0.178   0.228   0.190   0.042   0.000   0.059   0.036   0.107   0.150   0.198   0.127  -0.526   0.108  -0.357  -0.355  -0.740   0.348   0.234   0.398  -0.432  -0.015   0.012  -0.294  -0.218   0.261  -0.094   0.322   0.083   0.028 3.4 
    1.74     1.95       375.29         4.38    1.03  0.101   0.178   0.228   0.190   0.046  -0.004   0.044   0.027   0.101   0.108   0.193   0.128  -0.538   0.132  -0.353  -0.374  -0.612   0.468   0.331   0.481  -0.440  -0.013   0.105  -0.232  -0.096   0.360  -0.085   0.250   0.083  -0.012 3.4 
    1.95     2.18       357.39         4.05    0.98  0.101   0.178   0.228   0.190   0.041  -0.006   0.035   0.054   0.099   0.102   0.197   0.138  -0.516   0.146  -0.362  -0.322  -0.645   0.356   0.146   0.532  -0.559  -0.017   0.064  -0.316  -0.042   0.421  -0.005   0.247   0.089  -0.038 3.4 
    2.18     2.50       330.99         3.90    1.10  0.101   0.178   0.228   0.190   0.064   0.000   0.137   0.013   0.021   0.141   0.346   0.115  -0.492   0.156  -0.360  -0.312  -0.839   0.402   0.081   0.584  -0.552  -0.102  -0.010  -0.449  -0.040   0.240   0.089   0.288   0.090   0.005 3.4 
