&StatCorr

  ! Matrix of systematic uncertainties correlation for LHCb-PAPER-2015-049
  ! Numbers from http://lhcbproject.web.cern.ch/lhcbproject/Publications/LHCbProjectPublic/Directory_LHCb-PAPER-2015-049/Table_4.pdf

   Name1 = 'LHCb 8TeV Zmm Boson Rapidity'
   Name2 = 'LHCb 8TeV Zmm Boson Rapidity'

   NIdColumns1 = 2
   NIdColumns2 = 2

   IdColumns1 = 'y1','y2'
   IdColumns2 = 'y1','y2'

   NCorr = 289

  ! Matrix Type: 
  !   'Statistical correlations':     Given are correlation factors that need to be applied to statistical errors
  !                                   needs 'stat' column in data files
  !   'Systematic correlations' :     Given are correlation factors that need to be applied to systematic errors
  !                                   needs 'uncor' column in data files
  !   'Systematic covariance matrix': Given is a systematic covariance matrix  
  !
  !   'Full covariance matrix':       Given is a full covariance matrix including stat and syst parts

   MatrixType = 'Systematic correlations'
&End
2.750 2.875 3.125 3.250 0.27
2.750 2.875 3.250 3.375 0.22
2.750 2.875 3.375 3.500 0.21
2.750 2.875 3.500 3.625 0.18
2.750 2.875 3.625 3.750 0.15
2.750 2.875 3.750 3.875 0.11
2.750 2.875 3.875 4.000 0.08
2.750 2.875 4.000 4.250 0.06
2.750 2.875 4.250 4.500 0.0
2.875 3.000 2.000 2.125 0.14
2.875 3.000 2.125 2.250 0.21
2.875 3.000 2.250 2.375 0.25
2.875 3.000 2.375 2.500 0.27
2.875 3.000 2.500 2.625 0.29
2.875 3.000 2.625 2.750 0.30
2.875 3.000 2.750 2.875	0.30
2.875 3.000 2.875 3.000 1.00
2.875 3.000 3.000 3.125 0.29
2.875 3.000 3.125 3.250 0.28
2.875 3.000 3.250 3.375 0.23
2.875 3.000 3.375 3.500 0.22
2.875 3.000 3.500 3.625 0.19
2.875 3.000 3.625 3.750 0.16
2.875 3.000 3.750 3.875 0.12
2.875 3.000 3.875 4.000 0.09
2.875 3.000 4.000 4.250 0.06
2.875 3.000 4.250 4.500 0.01
3.000 3.125 2.000 2.125 0.13
3.000 3.125 2.125 2.250 0.20
