   100.0000             101          13  9.9999997E-05  0.9999000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.331119E-02   11.0168       1.12876       1.33674       1.00407       1.26458      0.124694      0.721602E-01   2.26864      0.633845      0.634357      0.490509      0.370223      0.139712    
  0.363064E-02   10.6141       1.10283       1.29982      0.971562       1.22388      0.131265      0.759379E-01   2.19544      0.615359      0.615894      0.474455      0.356203      0.133531    
  0.398091E-02   10.2222       1.07791       1.26398      0.939740       1.18408      0.138171      0.799045E-01   2.12382      0.597234      0.597792      0.458742      0.342505      0.127542    
  0.436498E-02   9.83663       1.05359       1.22878      0.908318       1.14480      0.145276      0.839839E-01   2.05311      0.579320      0.579903      0.443227      0.328997      0.121666    
  0.478610E-02   9.46503       1.03062       1.19499      0.877774       1.10667      0.152850      0.883274E-01   1.98444      0.561868      0.562476      0.428150      0.315906      0.116039    
  0.524785E-02   9.10057       1.00837       1.16194      0.847680       1.06912      0.160685      0.928168E-01   1.91680      0.544650      0.545286      0.413297      0.303030      0.110540    
  0.575415E-02   8.74359      0.986851       1.12966      0.818057       1.03220      0.168794      0.974592E-01   1.85025      0.527679      0.528343      0.398679      0.290378      0.105174    
  0.630929E-02   8.39908      0.966614       1.09867      0.789221      0.996297      0.177393      0.102375       1.78552      0.511116      0.511811      0.384453      0.278105      0.100033    
  0.691799E-02   8.06003      0.946948       1.06826      0.760729      0.960848      0.186219      0.107416       1.72158      0.494731      0.495458      0.370399      0.265998      0.949909E-01
  0.758542E-02   7.73044      0.928279       1.03885      0.732834      0.926178      0.195444      0.112677       1.65901      0.478655      0.479415      0.356643      0.254180      0.901205E-01
  0.831724E-02   7.40975      0.910575       1.01040      0.705506      0.892247      0.205070      0.118156       1.59775      0.462868      0.463663      0.343169      0.242638      0.854139E-01
  0.911966E-02   7.09370      0.893395      0.982461      0.678474      0.858702      0.214921      0.123758       1.53718      0.447232      0.448065      0.329844      0.231242      0.807928E-01
  0.999950E-02   6.78453      0.877147      0.955372      0.651899      0.825753      0.225248      0.129619       1.47765      0.431830      0.432703      0.316748      0.220068      0.763021E-01
  0.109642E-01   6.48217      0.861567      0.928966      0.625751      0.793360      0.235816      0.135606       1.41911      0.416643      0.417556      0.303866      0.209108      0.719377E-01
  0.120220E-01   6.19050      0.847108      0.903675      0.600286      0.761853      0.246822      0.141821       1.36214      0.401797      0.402753      0.291326      0.198489      0.677742E-01
  0.131819E-01   5.90607      0.833490      0.879188      0.575299      0.730967      0.258191      0.148221       1.30627      0.387187      0.388190      0.279026      0.188112      0.637508E-01
  0.144536E-01   5.62858      0.820684      0.855474      0.550777      0.700680      0.269907      0.154793       1.25146      0.372806      0.373857      0.266959      0.177971      0.598636E-01
  0.158481E-01   5.35733      0.808612      0.832454      0.526680      0.670942      0.281932      0.161513       1.19762      0.358632      0.359734      0.255107      0.168048      0.561007E-01
  0.173770E-01   5.09213      0.797254      0.810109      0.503004      0.641744      0.294251      0.168365       1.14475      0.344660      0.345816      0.243467      0.158344      0.524607E-01
  0.190535E-01   4.83337      0.786652      0.788474      0.479786      0.613132      0.306866      0.175343       1.09292      0.330908      0.332120      0.232058      0.148879      0.489537E-01
  0.208917E-01   4.58072      0.776759      0.767506      0.457015      0.585089      0.319743      0.182417       1.04210      0.317366      0.318638      0.220875      0.139649      0.455753E-01
  0.229073E-01   4.33362      0.767496      0.747129      0.434662      0.557574      0.332833      0.189555      0.992236      0.304020      0.305354      0.209904      0.130642      0.423161E-01
