   3.00000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.251180E-02   3.27956      0.458286      0.688421      0.408792      0.672005      0.494948E-01  0.164158E-01   1.08080      0.395084      0.391208      0.280814      0.137080E-01   0.00000       0.00000    
  0.275413E-02   3.27651      0.456590      0.678620      0.403540      0.660744      0.530504E-01  0.178752E-01   1.06428      0.388965      0.384786      0.275972      0.145745E-01   0.00000       0.00000    
  0.301984E-02   3.27031      0.455245      0.669022      0.398278      0.649497      0.569671E-01  0.195250E-01   1.04777      0.382883      0.378367      0.271138      0.153949E-01   0.00000       0.00000    
  0.331118E-02   3.26271      0.454071      0.659520      0.393008      0.638249      0.610624E-01  0.212713E-01   1.03126      0.376815      0.371946      0.266307      0.161932E-01   0.00000       0.00000    
  0.363064E-02   3.25267      0.453210      0.650194      0.387722      0.626997      0.654873E-01  0.231970E-01   1.01472      0.370771      0.365520      0.261477      0.169512E-01   0.00000       0.00000    
  0.398091E-02   3.24040      0.452669      0.641043      0.382412      0.615726      0.702567E-01  0.253168E-01  0.998139      0.364744      0.359078      0.256643      0.176685E-01   0.00000       0.00000    
  0.436498E-02   3.22684      0.452320      0.631997      0.377086      0.604442      0.752342E-01  0.275546E-01  0.981528      0.358725      0.352626      0.251806      0.183614E-01   0.00000       0.00000    
  0.478610E-02   3.21042      0.452436      0.623198      0.371715      0.593109      0.807217E-01  0.300892E-01  0.964824      0.352718      0.346140      0.246953      0.189964E-01   0.00000       0.00000    
  0.524785E-02   3.19253      0.452820      0.614541      0.366312      0.581736      0.865087E-01  0.328041E-01  0.948048      0.346713      0.339628      0.242088      0.195984E-01   0.00000       0.00000    
  0.575415E-02   3.17310      0.453485      0.606031      0.360875      0.570323      0.926097E-01  0.357081E-01  0.931198      0.340709      0.333089      0.237208      0.201660E-01   0.00000       0.00000    
  0.630929E-02   3.15104      0.454676      0.597796      0.355365      0.558811      0.993105E-01  0.389857E-01  0.914176      0.334695      0.326486      0.232294      0.206699E-01   0.00000       0.00000    
  0.691799E-02   3.12780      0.456118      0.589693      0.349817      0.547245      0.106301      0.424486E-01  0.897062      0.328674      0.319848      0.227360      0.211437E-01   0.00000       0.00000    
  0.758542E-02   3.10251      0.458009      0.581825      0.344199      0.535578      0.113811      0.462464E-01  0.879777      0.322634      0.313147      0.222389      0.215642E-01   0.00000       0.00000    
  0.831724E-02   3.07519      0.460376      0.574206      0.338497      0.523789      0.121879      0.504176E-01  0.862285      0.316568      0.306368      0.217373      0.219291E-01   0.00000       0.00000    
  0.911966E-02   3.04671      0.463020      0.566734      0.332745      0.511925      0.130274      0.548098E-01  0.844670      0.310483      0.299543      0.212328      0.222621E-01   0.00000       0.00000    
  0.999950E-02   3.01567      0.466306      0.559599      0.326872      0.499870      0.139433      0.597296E-01  0.826742      0.304347      0.292600      0.207212      0.225257E-01   0.00000       0.00000    
  0.109642E-01   2.98345      0.469887      0.552629      0.320937      0.487723      0.148950      0.649055E-01  0.808661      0.298184      0.285599      0.202061      0.227533E-01   0.00000       0.00000    
  0.120220E-01   2.94897      0.474040      0.545976      0.314880      0.475392      0.159160      0.705836E-01  0.790272      0.291966      0.278484      0.196840      0.229139E-01   0.00000       0.00000    
  0.131819E-01   2.91245      0.478725      0.539623      0.308702      0.462876      0.170023      0.767471E-01  0.771578      0.285687      0.271254      0.191548      0.230150E-01   0.00000       0.00000    
  0.144536E-01   2.87384      0.483952      0.533582      0.302396      0.450159      0.181556      0.834228E-01  0.752555      0.279340      0.263901      0.186180      0.230560E-01   0.00000       0.00000    
  0.158481E-01   2.83321      0.489695      0.527847      0.295961      0.437244      0.193734      0.906029E-01  0.733205      0.272921      0.256426      0.180736      0.230400E-01   0.00000       0.00000    
  0.173770E-01   2.79050      0.495965      0.522433      0.289390      0.424118      0.206576      0.983144E-01  0.713508      0.266423      0.248822      0.175210      0.229663E-01   0.00000       0.00000    
  0.190535E-01   2.74540      0.502823      0.517387      0.282658      0.410748      0.220165      0.106640      0.693405      0.259829      0.241068      0.169590      0.228284E-01   0.00000       0.00000    
  0.208917E-01   2.69786      0.510261      0.512720      0.275759      0.397125      0.234502      0.115595      0.672884      0.253132      0.233159      0.163873      0.226271E-01   0.00000       0.00000    
  0.229073E-01   2.64792      0.518245      0.508421      0.268697      0.383258      0.249548      0.125162      0.651955      0.246330      0.225100      0.158062      0.223664E-01   0.00000       0.00000    
  0.251174E-01   2.59548      0.526771      0.504502      0.261462      0.369140      0.265310      0.135362      0.630601      0.239415      0.216888      0.152154      0.220462E-01   0.00000       0.00000    
  0.275406E-01   2.54014      0.535890      0.501017      0.254027      0.354739      0.281862      0.146278      0.608766      0.232367      0.208502      0.146137      0.216606E-01   0.00000       0.00000    
  0.301976E-01   2.48187      0.545566      0.497960      0.246392      0.340062      0.299174      0.157898      0.586454      0.225179      0.199947      0.140013      0.212124E-01   0.00000       0.00000    
  0.331110E-01   2.42071      0.555748      0.495312      0.238561      0.325129      0.317187      0.170183      0.563690      0.217855      0.191235      0.133792      0.207064E-01   0.00000       0.00000    
  0.363055E-01   2.35655      0.566412      0.493071      0.230530      0.309944      0.335882      0.183127      0.540474      0.210386      0.182367      0.127474      0.201438E-01   0.00000       0.00000    
  0.398081E-01   2.28893      0.577574      0.491276      0.222271      0.294493      0.355303      0.196783      0.516764      0.202750      0.173336      0.121055      0.195203E-01   0.00000       0.00000    
  0.436487E-01   2.21790      0.589165      0.489889      0.213791      0.278806      0.375374      0.211083      0.492597      0.194950      0.164158      0.114547      0.188411E-01   0.00000       0.00000    
  0.478598E-01   2.14357      0.601110      0.488863      0.205101      0.262920      0.396009      0.225943      0.468021      0.186989      0.154855      0.107965      0.181120E-01   0.00000       0.00000    
  0.524772E-01   2.06588      0.613356      0.488162      0.196203      0.246863      0.417153      0.241298      0.443066      0.178867      0.145445      0.101320      0.173360E-01   0.00000       0.00000    
  0.575400E-01   1.98442      0.625855      0.487761      0.187076      0.230661      0.438780      0.257100      0.417737      0.170564      0.135942      0.946238E-01  0.165120E-01   0.00000       0.00000    
  0.630913E-01   1.89943      0.638506      0.487562      0.177741      0.214374      0.460765      0.273188      0.392115      0.162093      0.126381      0.879009E-01  0.156476E-01   0.00000       0.00000    
  0.691782E-01   1.81115      0.651211      0.487462      0.168219      0.198063      0.482992      0.289399      0.366282      0.153469      0.116799      0.811756E-01  0.147495E-01   0.00000       0.00000    
  0.758523E-01   1.71970      0.663876      0.487348      0.158524      0.181791      0.505353      0.305557      0.340315      0.144701      0.107233      0.744733E-01  0.138230E-01   0.00000       0.00000    
  0.831703E-01   1.62494      0.676363      0.487044      0.148656      0.165651      0.527707      0.321393      0.314308      0.135784      0.977382E-01  0.678333E-01  0.128717E-01   0.00000       0.00000    
  0.911943E-01   1.52736      0.688544      0.486364      0.138656      0.149731      0.549888      0.336632      0.288387      0.126751      0.883662E-01  0.612901E-01  0.119047E-01   0.00000       0.00000    
  0.999925E-01   1.42744      0.700303      0.485119      0.128556      0.134105      0.571747      0.351015      0.262661      0.117627      0.791619E-01  0.548730E-01  0.109288E-01   0.00000       0.00000    
  0.109639       1.32559      0.711481      0.483070      0.118395      0.118878      0.593085      0.364192      0.237273      0.108443      0.701881E-01  0.486256E-01  0.995183E-02   0.00000       0.00000    
  0.120217       1.22217      0.721793      0.479787      0.108216      0.104226      0.613577      0.375561      0.212442      0.992333E-01  0.615476E-01  0.426193E-01  0.898273E-02   0.00000       0.00000    
  0.131815       1.11794      0.731079      0.475028      0.980744E-01  0.902154E-01  0.633005      0.384813      0.188290      0.900450E-01  0.532818E-01  0.368804E-01  0.802931E-02   0.00000       0.00000    
  0.144533       1.01363      0.739000      0.468339      0.880368E-01  0.769988E-01  0.650964      0.391340      0.165036      0.809356E-01  0.454809E-01  0.314705E-01  0.710117E-02   0.00000       0.00000    
  0.158477      0.910000      0.745271      0.459414      0.781677E-01  0.646523E-01  0.667103      0.394762      0.142820      0.719622E-01  0.381908E-01  0.264198E-01  0.620549E-02   0.00000       0.00000    
  0.173766      0.808000      0.749343      0.447720      0.685565E-01  0.533272E-01  0.680787      0.394393      0.121884      0.632041E-01  0.315016E-01  0.217894E-01  0.535243E-02   0.00000       0.00000    
  0.190530      0.708453      0.750762      0.432996      0.592743E-01  0.430637E-01  0.691488      0.389933      0.102338      0.547267E-01  0.254378E-01  0.175949E-01  0.454763E-02   0.00000       0.00000    
  0.208912      0.612495      0.748628      0.414710      0.504322E-01  0.339892E-01  0.698196      0.380721      0.844214E-01  0.466311E-01  0.200755E-01  0.138877E-01  0.380108E-02   0.00000       0.00000    
  0.229067      0.520909      0.742222      0.392758      0.420989E-01  0.260864E-01  0.700124      0.366672      0.681854E-01  0.389829E-01  0.154050E-01  0.106599E-01  0.311600E-02   0.00000       0.00000    
  0.251167      0.434963      0.730135      0.366765      0.343987E-01  0.194320E-01  0.695736      0.347333      0.538307E-01  0.318975E-01  0.114723E-01  0.794242E-02  0.250117E-02   0.00000       0.00000    
  0.275399      0.355277      0.711374      0.336944      0.273827E-01  0.139366E-01  0.683991      0.323008      0.413193E-01  0.254262E-01  0.822470E-02  0.569826E-02  0.195654E-02   0.00000       0.00000    
