   6464.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   78.2767       6.36947       9.07863       6.35528       9.07346      0.141950E-01  0.517749E-02   15.4287       3.47542       3.47469       3.31954       2.87985       2.27944       0.00000    
  0.109648E-03   75.5330       6.17400       8.79632       6.15896       8.79082      0.150409E-01  0.549757E-02   14.9498       3.37284       3.37205       3.21880       2.78612       2.20018       0.00000    
  0.120226E-03   72.9039       5.98576       8.52451       5.96979       8.51866      0.159685E-01  0.585141E-02   14.4885       3.27389       3.27303       3.12166       2.69591       2.12418       0.00000    
  0.131825E-03   70.3211       5.80046       8.25697       5.78353       8.25074      0.169332E-01  0.622078E-02   14.0343       3.17641       3.17549       3.02597       2.60712       2.04949       0.00000    
  0.144543E-03   67.8044       5.61938       7.99552       5.60143       7.98891      0.179510E-01  0.661240E-02   13.5903       3.08104       3.08005       2.93238       2.52039       1.97669       0.00000    
  0.158489E-03   65.3769       5.44401       7.74234       5.42496       7.73530      0.190491E-01  0.703816E-02   13.1603       2.98853       2.98747       2.84162       2.43643       1.90641       0.00000    
  0.173779E-03   62.9927       5.27144       7.49320       5.25125       7.48571      0.201890E-01  0.748182E-02   12.7370       2.89743       2.89629       2.75225       2.35382       1.83738       0.00000    
  0.190545E-03   60.6918       5.10425       7.25181       5.08284       7.24384      0.214133E-01  0.796192E-02   12.3267       2.80901       2.80779       2.66555       2.27383       1.77071       0.00000    
  0.208928E-03   58.4549       4.94125       7.01642       4.91854       7.00794      0.227109E-01  0.847406E-02   11.9265       2.72268       2.72138       2.58091       2.19585       1.70586       0.00000    
  0.229085E-03   56.2595       4.78095       6.78492       4.75689       6.77592      0.240564E-01  0.900717E-02   11.5328       2.63771       2.63631       2.49761       2.11918       1.64220       0.00000    
  0.251186E-03   54.1618       4.62708       6.56264       4.60156       6.55304      0.255278E-01  0.959626E-02   11.1546       2.55594       2.55443       2.41749       2.04562       1.58132       0.00000    
  0.275420E-03   52.1056       4.47596       6.34428       4.44891       6.33407      0.270593E-01  0.102125E-01   10.7830       2.47554       2.47392       2.33872       1.97337       1.52162       0.00000    
