   8317.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.275413E-02   17.7723       1.85482       2.45225       1.74440       2.39165      0.110418      0.605953E-01   4.13606       1.02031       1.01552      0.858616      0.724089      0.517523       0.00000    
  0.301984E-02   16.9004       1.79056       2.35660       1.67371       2.29244      0.116854      0.641594E-01   3.96615      0.982598      0.977499      0.823289      0.691111      0.491652       0.00000    
  0.331118E-02   16.0499       1.72786       2.26300       1.60436       2.19516      0.123503      0.678415E-01   3.79952      0.945550      0.940142      0.788629      0.658811      0.466389       0.00000    
  0.363064E-02   15.2374       1.66792       2.17303       1.53739       2.10129      0.130539      0.717386E-01   3.63868      0.909681      0.903946      0.755148      0.627704      0.442200       0.00000    
  0.398091E-02   14.4590       1.61051       2.08635       1.47255       2.01050      0.137963      0.758502E-01   3.48305      0.874871      0.868790      0.722729      0.597678      0.418979       0.00000    
  0.436498E-02   13.7005       1.55458       2.00159       1.40896       1.92150      0.145617      0.800898E-01   3.33046      0.840680      0.834243      0.690931      0.568283      0.396325       0.00000    
  0.478610E-02   12.9853       1.50193       1.92105       1.34811       1.83642      0.153819      0.846313E-01   3.18453      0.807838      0.801021      0.660490      0.540275      0.374910       0.00000    
  0.524785E-02   12.2922       1.45098       1.84267       1.28865       1.75333      0.162325      0.893406E-01   3.04198      0.775679      0.768467      0.630738      0.512974      0.354127       0.00000    
  0.575415E-02   11.6221       1.40180       1.76656       1.23065       1.67233      0.171151      0.942259E-01   2.90298      0.744235      0.736616      0.601710      0.486414      0.334006       0.00000    
  0.630929E-02   10.9899       1.35562       1.69422       1.17507       1.59479      0.180556      0.994278E-01   2.76986      0.713975      0.705922      0.573883      0.461092      0.314985       0.00000    
  0.691799E-02   10.3744       1.31077       1.62353       1.12054       1.51876      0.190228      0.104775       2.63930      0.684230      0.675732      0.546580      0.436313      0.296445       0.00000    
  0.758542E-02   9.78730       1.26822       1.55571       1.06785       1.44533      0.200372      0.110379       2.51318      0.655373      0.646412      0.520185      0.412473      0.278738       0.00000    
  0.831724E-02   9.22693       1.22787       1.49061       1.01688       1.37437      0.210991      0.116239       2.39125      0.627352      0.617907      0.494647      0.389526      0.261817       0.00000    
  0.911966E-02   8.68010       1.18866       1.42690      0.966788       1.30466      0.221876      0.122242       2.27144      0.599753      0.589814      0.469545      0.367034      0.245297       0.00000    
  0.999950E-02   8.15083       1.15115       1.36510      0.917856       1.23657      0.233295      0.128534       2.15443      0.572701      0.562246      0.445015      0.345155      0.229309       0.00000    
  0.109642E-01   7.64356       1.11538       1.30552      0.870358       1.17053      0.245024      0.134987       2.04089      0.546341      0.535361      0.421200      0.324017      0.213972       0.00000    
  0.120220E-01   7.16974       1.08236       1.24935      0.825061       1.10763      0.257295      0.141721       1.93269      0.521038      0.509515      0.398481      0.304023      0.199634       0.00000    
  0.131819E-01   6.71724       1.05120       1.19544      0.781202       1.04676      0.270003      0.148678       1.82796      0.496417      0.484336      0.376478      0.284785      0.185946       0.00000    
  0.144536E-01   6.28512       1.02186       1.14370      0.738732      0.987858      0.283128      0.155844       1.72659      0.472451      0.459801      0.355169      0.266281      0.172887       0.00000    
  0.158481E-01   5.87126      0.994150       1.09393      0.697527      0.930740      0.296623      0.163191       1.62827      0.449078      0.435852      0.334493      0.248449      0.160396       0.00000    
  0.173770E-01   5.47513      0.968036       1.04608      0.657566      0.875379      0.310470      0.170701       1.53294      0.426288      0.412479      0.314440      0.231278      0.148461       0.00000    
  0.190535E-01   5.09782      0.943617       1.00028      0.618947      0.821911      0.324670      0.178369       1.44086      0.404123      0.389727      0.295061      0.214824      0.137122       0.00000    
  0.208917E-01   4.73828      0.920799      0.956426      0.581622      0.770264      0.339177      0.186162       1.35189      0.382558      0.367576      0.276335      0.199064      0.126353       0.00000    
  0.229073E-01   4.39485      0.899421      0.914340      0.545490      0.720300      0.353931      0.194040       1.26579      0.361546      0.345982      0.258213      0.183945      0.116105       0.00000    
  0.251174E-01   4.06709      0.879425      0.873973      0.510542      0.672002      0.368884      0.201971       1.18254      0.341079      0.324942      0.240692      0.169463      0.106368       0.00000    
  0.275406E-01   3.75611      0.860880      0.835441      0.476889      0.625529      0.383991      0.209912       1.10242      0.321210      0.304514      0.223832      0.155679      0.971829E-01   0.00000    
  0.301976E-01   3.46088      0.843651      0.798619      0.444479      0.580809      0.399173      0.217810       1.02529      0.301913      0.284680      0.207609      0.142566      0.885201E-01   0.00000    
  0.331110E-01   3.18006      0.827577      0.763341      0.413231      0.537731      0.414346      0.225610      0.950962      0.283151      0.265407      0.191986      0.130080      0.803383E-01   0.00000    
  0.363055E-01   2.91331      0.812569      0.729547      0.383143      0.496294      0.429426      0.233253      0.879437      0.264923      0.246701      0.176964      0.118220      0.726288E-01   0.00000    
  0.398081E-01   2.66180      0.798627      0.697318      0.354339      0.456677      0.444288      0.240641      0.811016      0.247288      0.228633      0.162612      0.107051      0.654322E-01   0.00000    
  0.436487E-01   2.42448      0.785571      0.666497      0.326757      0.418802      0.458814      0.247695      0.745559      0.230220      0.211185      0.148902      0.965375E-01  0.587145E-01   0.00000    
  0.478598E-01   2.20028      0.773225      0.636921      0.300329      0.382575      0.472896      0.254346      0.682904      0.213688      0.194333      0.135803      0.866408E-01  0.524391E-01   0.00000    
  0.524772E-01   1.98894      0.761453      0.608504      0.275052      0.348003      0.486401      0.260501      0.623054      0.197695      0.178089      0.123317      0.773564E-01  0.465964E-01   0.00000    
  0.575400E-01   1.79162      0.750138      0.581261      0.251056      0.315282      0.499082      0.265979      0.566337      0.182308      0.162539      0.111519      0.687483E-01  0.412233E-01   0.00000    
  0.630913E-01   1.60723      0.739060      0.555003      0.228264      0.284311      0.510797      0.270691      0.512575      0.167494      0.147659      0.100372      0.607698E-01  0.362802E-01   0.00000    
  0.691782E-01   1.43485      0.728019      0.529562      0.206609      0.255009      0.521410      0.274553      0.461618      0.153229      0.133430      0.898461E-01  0.533802E-01  0.317330E-01   0.00000    
  0.758523E-01   1.27422      0.716821      0.504817      0.186085      0.227375      0.530736      0.277443      0.413460      0.139517      0.119865      0.799409E-01  0.465687E-01  0.275690E-01   0.00000    
  0.831703E-01   1.12644      0.705188      0.480696      0.166818      0.201612      0.538370      0.279084      0.368430      0.126429      0.107063      0.707311E-01  0.403894E-01  0.238177E-01   0.00000    
  0.911943E-01  0.990284      0.692891      0.456999      0.148709      0.177588      0.544181      0.279411      0.326298      0.113928      0.949879E-01  0.621664E-01  0.347809E-01  0.204340E-01   0.00000    
  0.999925E-01  0.862777      0.679766      0.433442      0.131505      0.154946      0.548260      0.278496      0.286451      0.101893      0.835067E-01  0.541144E-01  0.296120E-01  0.173250E-01   0.00000    
  0.109639      0.746914      0.665537      0.410102      0.115481      0.134094      0.550056      0.276008      0.249575      0.904819E-01  0.728027E-01  0.467220E-01  0.249990E-01  0.145694E-01   0.00000    
  0.120217      0.643295      0.649754      0.386812      0.100729      0.115188      0.549025      0.271625      0.215917      0.797625E-01  0.629660E-01  0.400438E-01  0.209668E-01  0.121777E-01   0.00000    
  0.131815      0.549505      0.632284      0.363374      0.870409E-01  0.979193E-01  0.545243      0.265454      0.184960      0.696413E-01  0.538830E-01  0.339644E-01  0.173996E-01  0.100719E-01   0.00000    
  0.144533      0.465517      0.612774      0.339661      0.744437E-01  0.823342E-01  0.538330      0.257326      0.156778      0.601554E-01  0.455935E-01  0.284967E-01  0.142883E-01  0.824400E-02   0.00000    
  0.158477      0.390425      0.591066      0.315600      0.628704E-01  0.683234E-01  0.528196      0.247276      0.131194      0.512874E-01  0.380643E-01  0.235977E-01  0.115830E-01  0.666138E-02   0.00000    
  0.173766      0.324144      0.566816      0.291120      0.523515E-01  0.559197E-01  0.514464      0.235200      0.108271      0.430808E-01  0.313295E-01  0.192757E-01  0.927072E-02  0.531446E-02   0.00000    
  0.190530      0.265753      0.539949      0.266232      0.428196E-01  0.449978E-01  0.497130      0.221235      0.878174E-01  0.355183E-01  0.253437E-01  0.154823E-01  0.730133E-02  0.417183E-02   0.00000    
