!
! This datafile is a successor of the Dataset 8.
! H1 Collaboration, DESY
!
&Data
   Name  = 'H1 NC High Q2 e+p 99-00'
   NData =  147                        ! Number of data points
   NColumn =  24                       ! Number of all columns
   ColumnType = 3*'Bin','Sigma',20*'Error'
   ColumnName = 'x','Q2','y','reduced x-section','stat','uncor','ignore','ignore','h1_nc_high_beta_9','h1_nc_high_beta_15','h1_nc_high_beta_11','h1_nc_high_beta_5','B2','h1_nc_high_beta_16',8*'ignore','xlum_5','corlum'

   NInfo    = 4
   DataInfo =  318.,	+1.,	1.,	0.
   CInfo    = 'sqrt(S)','e charge','reduced','e polarity'

   IndexDataset = 8

   Reaction = 'NC e+-p'          

!x	Q2		y	sig_NC	stat	unc	cor	tot	c^E+	c^th+	c^h+	c^N+	c^B+	c^S+	sys	u^E	u^h	phi/Y+	F2	dF2	dF3	dFL	xlum	corlum

   Percent = 20*true

&END	
0.05000	250.		0.049	0.514	1.800	2.600	1.800	3.600	0.500	-0.600	-0.400	1.600	0.000	0.000	3.200	1.600	0.200	0.513	0.513	0.200	-0.100	0.000	1.414	0.500
0.08000	250.		0.031	0.420	1.900	2.500	2.400	4.000	1.000	-1.000	-0.500	1.900	0.000	0.000	3.500	1.500	0.200	0.420	0.420	0.200	-0.100	0.000	1.414	0.500
0.13000	250.		0.019	0.342	2.000	3.500	1.900	4.500	1.200	-0.800	-0.800	-1.100	0.000	0.000	4.000	2.700	1.000	0.342	0.342	0.200	-0.100	0.000	1.414	0.500
0.25000	250.		0.010	0.273	2.700	5.700	5.900	8.600	2.500	-1.100	-1.500	-5.000	0.000	0.000	8.200	4.600	2.300	0.273	0.273	0.100	0.000	0.000	1.414	0.500
0.40000	250.		0.006	0.137	3.700	5.500	11.000	12.800	2.000	-1.000	-1.500	-10.700	0.000	0.000	12.200	4.000	2.400	0.137	0.137	0.100	0.000	0.000	1.414	0.500
0.00394	300.		0.750	1.189	2.700	2.700	1.000	3.900	-0.200	-0.500	0.600	0.100	0.000	0.700	2.800	0.200	0.200	1.190	0.000	0.000	0.000	0.000	1.414	0.500
0.00500	300.		0.591	1.132	2.500	2.600	1.400	3.800	-0.900	-0.700	0.300	0.300	-0.700	0.000	2.900	0.900	0.200	1.133	1.186	0.400	-0.200	-4.700	1.414	0.500
0.00800	300.		0.369	0.995	1.700	2.200	1.200	3.100	0.500	0.400	0.800	0.800	-0.100	0.000	2.500	0.400	0.800	0.995	1.008	0.300	-0.200	-1.400	1.414	0.500
0.01300	300.		0.227	0.842	1.700	2.200	1.000	3.000	0.100	-0.100	0.700	0.800	0.000	0.000	2.400	0.200	0.800	0.842	0.845	0.300	-0.200	-0.400	1.414	0.500
0.02000	300.		0.148	0.708	1.800	2.300	1.000	3.100	0.800	-0.600	0.100	0.200	0.000	0.000	2.500	1.000	0.200	0.708	0.708	0.300	-0.100	-0.200	1.414	0.500
0.03200	300.		0.092	0.607	1.900	2.600	1.300	3.500	0.900	-0.200	-0.500	0.800	0.000	0.000	2.900	1.600	0.100	0.607	0.606	0.300	-0.100	-0.100	1.414	0.500
0.05000	300.		0.059	0.491	2.100	2.900	1.500	3.900	1.000	-0.800	0.000	0.900	0.000	0.000	3.300	2.000	0.000	0.491	0.490	0.300	-0.100	0.000	1.414	0.500
0.08000	300.		0.037	0.440	2.100	3.000	2.300	4.300	0.900	-0.800	-0.300	2.000	0.000	0.000	3.800	2.100	0.200	0.440	0.440	0.200	-0.100	0.000	1.414	0.500
0.13000	300.		0.023	0.355	2.200	3.700	1.800	4.700	1.600	-0.600	-0.600	-0.200	0.000	0.000	4.100	2.900	0.900	0.355	0.355	0.200	-0.100	0.000	1.414	0.500
0.25000	300.		0.012	0.260	3.000	6.400	7.500	10.200	3.400	-1.000	-2.200	-6.300	0.000	0.000	9.800	5.200	2.600	0.260	0.260	0.200	0.000	0.000	1.414	0.500
0.40000	300.		0.007	0.152	4.100	6.800	9.100	12.100	3.900	-1.600	-0.900	-8.000	0.000	0.000	11.300	5.800	1.600	0.152	0.152	0.100	0.000	0.000	1.414	0.500
0.00525	400.		0.750	1.162	2.900	2.900	1.100	4.200	0.000	-0.800	0.400	0.000	0.000	0.600	3.000	0.000	0.200	1.163	0.000	0.000	0.000	0.000	1.414	0.500
0.00800	400.		0.492	1.026	2.200	2.400	1.500	3.500	0.500	-1.000	0.800	0.600	-0.400	0.000	2.800	0.500	0.700	1.027	1.053	0.500	-0.300	-2.700	1.414	0.500
0.01300	400.		0.303	0.893	2.000	2.300	1.000	3.200	0.100	0.100	0.700	0.800	0.000	0.000	2.500	0.000	0.700	0.894	0.899	0.500	-0.300	-0.800	1.414	0.500
0.02000	400.		0.197	0.731	2.100	2.500	1.400	3.500	1.000	0.300	0.400	0.800	0.000	0.000	2.800	1.100	0.500	0.732	0.732	0.400	-0.200	-0.300	1.414	0.500
0.03200	400.		0.123	0.608	2.100	2.300	0.900	3.200	0.600	-0.400	0.200	0.500	0.000	0.000	2.400	0.600	0.400	0.608	0.608	0.400	-0.200	-0.100	1.414	0.500
0.05000	400.		0.079	0.513	2.300	2.700	1.600	3.900	1.400	-0.200	-0.700	0.500	0.000	0.000	3.100	1.500	0.600	0.513	0.512	0.400	-0.200	0.000	1.414	0.500
