!
! This datafile is a successor of the Dataset 8.
! H1 Collaboration, DESY
!
&Data
   Name  = 'H1 NC High Q2 e+p 99-00'
   NData =  147                        ! Number of data points
   NColumn =  24                       ! Number of all columns
   ColumnType = 3*'Bin','Sigma',20*'Error'
   ColumnName = 'x','Q2','y','reduced x-section','stat','uncor','ignore','ignore','h1_nc_high_beta_9','h1_nc_high_beta_15','h1_nc_high_beta_11','h1_nc_high_beta_5','B2','h1_nc_high_beta_16',8*'ignore','xlum_5','corlum'

   NInfo    = 4
   DataInfo =  318.,	+1.,	1.,	0.
   CInfo    = 'sqrt(S)','e charge','reduced','e polarity'

   IndexDataset = 8

   Reaction = 'NC e+-p'          

!x	Q2		y	sig_NC	stat	unc	cor	tot	c^E+	c^th+	c^h+	c^N+	c^B+	c^S+	sys	u^E	u^h	phi/Y+	F2	dF2	dF3	dFL	xlum	corlum

   Percent = 20*true

&END	
0.08000	1500.		0.185	0.427	5.500	2.700	1.000	6.200	0.300	-0.500	0.600	0.500	0.000	0.000	2.900	0.300	0.500	0.428	0.427	2.500	-2.200	-0.100	1.414	0.500
0.13000	1500.		0.114	0.344	6.700	3.100	1.100	7.400	0.600	-0.600	-0.300	0.600	0.000	0.000	3.200	0.500	0.300	0.345	0.343	2.200	-1.700	0.000	1.414	0.500
0.18000	1500.		0.082	0.329	7.100	3.600	2.700	8.400	1.800	-1.800	-0.300	0.900	0.000	0.000	4.500	1.800	0.100	0.330	0.327	2.200	-1.300	0.000	1.414	0.500
0.25000	1500.		0.059	0.226	8.000	4.200	2.700	9.400	2.300	-1.000	-0.700	0.700	0.000	0.000	4.900	2.300	1.100	0.226	0.224	2.100	-1.000	0.000	1.414	0.500
0.40000	1500.		0.037	0.104	12.100	6.700	7.300	15.700	3.200	1.300	-3.500	-5.400	0.000	0.000	9.900	3.200	3.900	0.104	0.103	1.800	-0.600	0.000	1.414	0.500
0.65000	1500.		0.023	0.0166	30.200	14.400	13.000	35.900	8.500	-2.700	-3.900	-8.700	0.000	0.000	19.400	8.400	5.600	0.017	0.016	4.400	-0.400	0.000	1.414	0.500
0.03200	2000.		0.615	0.642	6.400	3.900	1.600	7.700	0.600	-0.500	1.300	0.500	0.000	0.000	4.200	0.500	1.500	0.644	0.671	3.800	-5.300	-2.500	1.414	0.500
0.05000	2000.		0.394	0.472	7.400	3.700	1.700	8.400	1.200	-0.600	0.800	0.600	0.000	0.000	4.000	0.900	0.900	0.473	0.481	3.800	-4.700	-0.700	1.414	0.500
0.08000	2000.		0.246	0.405	6.700	3.200	1.500	7.600	-0.400	-1.000	0.800	0.700	0.000	0.000	3.500	0.400	0.900	0.406	0.408	3.500	-3.800	-0.200	1.414	0.500
0.13000	2000.		0.151	0.368	7.400	3.600	1.700	8.400	1.600	-0.800	0.100	0.000	0.000	0.000	4.000	1.500	0.400	0.369	0.367	3.300	-2.800	0.000	1.414	0.500
0.18000	2000.		0.109	0.342	8.300	3.700	1.000	9.200	0.300	0.200	-0.800	0.500	0.000	0.000	3.900	0.300	0.600	0.343	0.340	3.100	-2.200	0.000	1.414	0.500
0.25000	2000.		0.079	0.233	9.000	4.400	2.300	10.200	2.200	-0.300	-0.600	-0.300	0.000	0.000	4.900	2.100	1.000	0.233	0.230	3.000	-1.700	0.000	1.414	0.500
0.40000	2000.		0.049	0.108	12.400	7.500	6.800	16.000	5.300	-0.900	-2.400	-3.300	0.000	0.000	10.100	5.300	2.600	0.108	0.106	2.800	-1.100	0.000	1.414	0.500
0.65000	2000.		0.030	0.0294	23.600	14.700	14.200	31.300	7.400	-1.400	-3.900	-11.400	0.000	0.000	20.500	7.400	6.900	0.029	0.029	3.200	-0.700	0.000	1.414	0.500
0.05000	3000.		0.591	0.551	5.600	3.600	1.500	6.800	0.000	-0.700	1.200	0.600	-0.100	0.000	3.900	0.400	1.400	0.553	0.585	6.300	-9.900	-1.700	1.414	0.500
0.08000	3000.		0.369	0.439	6.200	3.600	1.800	7.400	1.200	-0.500	0.900	0.800	0.000	0.000	4.000	0.500	1.100	0.441	0.452	6.000	-8.200	-0.400	1.414	0.500
0.13000	3000.		0.227	0.340	7.300	3.700	0.900	8.200	0.800	-0.400	-0.400	0.100	0.000	0.000	3.800	1.000	0.500	0.341	0.343	5.700	-6.100	-0.100	1.414	0.500
0.18000	3000.		0.164	0.313	7.800	5.000	3.200	9.800	3.100	-0.300	-0.500	0.100	0.000	0.000	5.900	3.300	1.000	0.314	0.312	5.300	-4.700	0.000	1.414	0.500
0.25000	3000.		0.118	0.195	9.700	4.000	2.400	10.800	2.300	0.400	-0.700	0.000	0.000	0.000	4.700	1.100	0.700	0.195	0.192	5.100	-3.600	0.000	1.414	0.500
0.40000	3000.		0.074	0.108	11.500	5.500	3.300	13.100	2.900	0.300	-1.200	-1.100	0.000	0.000	6.400	2.800	1.400	0.108	0.106	4.600	-2.300	0.000	1.414	0.500
0.65000	3000.		0.045	0.0118	28.900	12.400	11.400	33.400	6.600	1.200	-3.500	-8.600	0.000	0.000	16.800	6.700	5.400	0.012	0.011	5.700	-1.400	0.000	1.414	0.500
0.08000	5000.		0.615	0.422	7.000	4.100	1.500	8.200	0.100	-0.600	1.300	0.500	-0.100	0.000	4.300	0.900	1.600	0.425	0.475	11.000	-20.100	-1.400	1.414	0.500
0.13000	5000.		0.379	0.339	8.300	4.300	0.900	9.300	0.600	-0.200	0.600	0.200	0.000	0.000	4.300	1.200	1.000	0.341	0.359	10.400	-15.200	-0.300	1.414	0.500
0.18000	5000.		0.273	0.263	9.400	4.700	0.500	10.500	-0.500	-0.100	-0.100	0.000	0.000	0.000	4.700	2.200	0.300	0.263	0.269	9.900	-11.800	-0.100	1.414	0.500
0.25000	5000.		0.197	0.301	9.600	9.000	2.900	13.400	2.800	-0.500	-0.600	0.300	0.000	0.000	9.400	7.500	1.300	0.302	0.300	9.400	-8.800	0.000	1.414	0.500
0.40000	5000.		0.123	0.130	12.300	5.900	1.200	13.700	1.100	0.200	0.300	0.500	0.000	0.000	6.100	2.500	0.300	0.130	0.127	8.300	-5.500	0.000	1.414	0.500
0.65000	5000.		0.076	0.0076	40.900	21.300	13.200	47.900	8.900	2.400	-6.300	-7.100	0.000	0.000	25.000	17.100	7.900	0.008	0.007	8.900	-3.400	0.000	1.414	0.500
0.13000	8000.		0.606	0.344	11.000	5.400	1.000	12.300	0.600	0.300	0.700	0.100	-0.100	0.000	5.500	1.800	1.200	0.347	0.419	17.000	-33.100	-0.900	1.414	0.500
0.18000	8000.		0.438	0.361	10.700	6.300	1.600	12.500	0.900	-1.000	0.900	0.100	0.000	0.000	6.500	3.100	1.700	0.364	0.406	15.800	-26.100	-0.300	1.414	0.500
0.25000	8000.		0.315	0.224	13.100	6.700	2.500	14.900	2.400	0.400	0.200	0.700	0.000	0.000	7.100	3.900	0.000	0.224	0.234	15.200	-19.400	-0.100	1.414	0.500
0.40000	8000.		0.197	0.0982	18.000	9.800	3.200	20.700	3.200	-0.300	-0.300	0.000	0.000	0.000	10.300	7.200	1.200	0.098	0.097	13.400	-12.000	0.000	1.414	0.500
0.65000	8000.		0.121	0.0228	28.900	26.600	11.000	40.700	8.200	4.100	-4.700	-4.000	0.000	0.000	28.700	22.700	6.300	0.023	0.021	14.500	-7.300	0.000	1.414	0.500
0.18000	12000.		0.656	0.233	19.500	4.600	2.000	20.100	-0.900	-1.800	0.400	0.200	-0.300	0.000	5.000	2.800	0.400	0.236	0.320	22.700	-48.100	-0.900	1.414	0.500
0.25000	12000.		0.473	0.117	23.600	7.100	1.500	24.700	1.000	0.600	0.900	0.300	0.000	0.000	7.300	6.100	1.500	0.117	0.139	21.100	-36.700	-0.300	1.414	0.500
0.40000	12000.		0.295	0.0424	35.400	11.600	2.000	37.300	1.800	0.700	-0.300	0.100	0.000	0.000	11.800	11.100	0.200	0.043	0.044	19.100	-22.600	-0.100	1.414	0.500
0.65000	12000.		0.182	0.0179	40.800	27.400	9.000	50.000	6.400	5.100	-3.600	-1.100	0.000	0.000	28.900	26.200	4.800	0.018	0.017	19.100	-13.500	0.000	1.414	0.500
0.25000	20000.		0.788	0.106	38.300	4.800	2.000	38.700	1.100	-1.500	0.900	0.100	-0.400	0.000	5.200	2.900	0.600	0.109	0.192	29.500	-71.800	-1.000	1.414	0.500
0.40000	20000.		0.492	0.0381	50.000	11.500	2.400	51.400	2.100	0.700	0.900	0.300	0.000	0.000	11.700	11.000	1.600	0.038	0.049	26.700	-48.000	-0.200	1.414	0.500
0.65000	20000.		0.303	0.011	70.700	38.000	7.700	80.600	5.900	4.900	-0.700	-0.300	0.000	0.000	38.700	37.500	1.000	0.011	0.011	26.200	-28.600	0.000	1.414	0.500
0.40000	30000.		0.738	0.164	46.100	13.400	2.400	48.100	-0.500	-2.200	-0.400	0.200	-0.900	0.000	13.700	12.500	0.900	0.168	0.319	32.400	-79.100	-0.500	1.414	0.500
