   8317.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.275413E-02   17.1133       1.82961       2.40620       1.71897       2.35753      0.110643      0.486685E-01   4.07650       1.03045       1.02079      0.841111      0.688519      0.495627       0.00000    
  0.301984E-02   16.2736       1.76738       2.31267       1.65036       2.26073      0.117027      0.519422E-01   3.91108      0.993394      0.983153      0.806740      0.656962      0.470834       0.00000    
  0.331118E-02   15.4547       1.70666       2.22113       1.58305       2.16578      0.123618      0.553461E-01   3.74883      0.956979      0.946139      0.773012      0.626066      0.446631       0.00000    
  0.363064E-02   14.6723       1.64862       2.13311       1.51804       2.07412      0.130585      0.589890E-01   3.59215      0.921701      0.910228      0.740422      0.596336      0.423469       0.00000    
  0.398091E-02   13.9228       1.59304       2.04829       1.45511       1.98541      0.137929      0.628761E-01   3.44053      0.887445      0.875307      0.708860      0.567666      0.401249       0.00000    
  0.436498E-02   13.1925       1.53890       1.96535       1.39340       1.89844      0.145497      0.669098E-01   3.29185      0.853788      0.840965      0.677899      0.539616      0.379579       0.00000    
  0.478610E-02   12.5043       1.48796       1.88656       1.33437       1.81526      0.153594      0.712960E-01   3.14963      0.821437      0.807885      0.648257      0.512933      0.359117       0.00000    
  0.524785E-02   11.8374       1.43868       1.80988       1.27670       1.73400      0.161986      0.758836E-01   3.01070      0.789748      0.775443      0.619287      0.486950      0.339271       0.00000    
  0.575415E-02   11.1928       1.39114       1.73544       1.22045       1.65476      0.170685      0.806822E-01   2.87521      0.758754      0.743670      0.591022      0.461700      0.320069       0.00000    
  0.630929E-02   10.5852       1.34652       1.66474       1.16658       1.57887      0.179940      0.858718E-01   2.74545      0.728906      0.713000      0.563928      0.437678      0.301941       0.00000    
  0.691799E-02   9.99372       1.30320       1.59568       1.11375       1.50444      0.189452      0.912454E-01   2.61819      0.699558      0.682809      0.537346      0.414195      0.284282       0.00000    
  0.758542E-02   9.43001       1.26213       1.52948       1.06272       1.43253      0.199414      0.969459E-01   2.49524      0.671070      0.653446      0.511649      0.391645      0.267435       0.00000    
  0.831724E-02   8.89235       1.22320       1.46598       1.01337       1.36300      0.209829      0.102984       2.37637      0.643388      0.624856      0.486788      0.369982      0.251353       0.00000    
  0.911966E-02   8.36794       1.18538       1.40388      0.964886       1.29467      0.220497      0.109212       2.25956      0.616114      0.596657      0.462352      0.348772      0.235662       0.00000    
  0.999950E-02   7.86088       1.14922       1.34375      0.917551       1.22793      0.231673      0.115825       2.14548      0.589368      0.568950      0.438480      0.328183      0.220496       0.00000    
  0.109642E-01   7.37522       1.11474       1.28582      0.871605       1.16315      0.243139      0.122670       2.03475      0.563283      0.541890      0.415298      0.308321      0.205957       0.00000    
  0.120220E-01   6.92216       1.08291       1.23129      0.827788       1.10137      0.255118      0.129926       1.92916      0.538206      0.515810      0.393175      0.289582      0.192382       0.00000    
  0.131819E-01   6.48997       1.05286       1.17905      0.785355       1.04153      0.267505      0.137520       1.82689      0.513770      0.490355      0.371742      0.271585      0.179434       0.00000    
  0.144536E-01   6.07767       1.02453       1.12900      0.744251      0.983560      0.280282      0.145444       1.72781      0.489947      0.465498      0.350973      0.254304      0.167089       0.00000    
  0.158481E-01   5.68320      0.997752       1.08095      0.704347      0.927277      0.293405      0.153669       1.63162      0.466674      0.441184      0.330806      0.237674      0.155287       0.00000    
  0.173770E-01   5.30600      0.972468       1.03483      0.665615      0.872645      0.306853      0.162184       1.53826      0.443934      0.417402      0.311229      0.221680      0.144014       0.00000    
  0.190535E-01   4.94709      0.948762      0.990787      0.628133      0.819785      0.320629      0.171002       1.44792      0.421762      0.394192      0.292287      0.206371      0.133306       0.00000    
  0.208917E-01   4.60539      0.926534      0.948712      0.591845      0.768620      0.334689      0.180092       1.36046      0.400128      0.371532      0.273954      0.191717      0.123134       0.00000    
  0.229073E-01   4.27924      0.905622      0.908422      0.556646      0.719012      0.348976      0.189411       1.27566      0.378983      0.349382      0.256181      0.177663      0.113449       0.00000    
  0.251174E-01   3.96813      0.885964      0.869867      0.522516      0.670941      0.363448      0.198926       1.19346      0.358316      0.327740      0.238962      0.164199      0.104239       0.00000    
  0.275406E-01   3.67306      0.867608      0.833159      0.489542      0.624548      0.378066      0.208611       1.11409      0.338167      0.306660      0.222349      0.151375      0.955397E-01   0.00000    
  0.301976E-01   3.39294      0.850426      0.798166      0.457668      0.579763      0.392758      0.218403       1.03743      0.318508      0.286126      0.206318      0.139159      0.873202E-01   0.00000    
  0.331110E-01   3.12640      0.834264      0.764720      0.426812      0.536484      0.407452      0.228237      0.963295      0.299306      0.266112      0.190831      0.127506      0.795401E-01   0.00000    
  0.363055E-01   2.87304      0.819040      0.732754      0.396964      0.494710      0.422076      0.238044      0.891674      0.280556      0.246629      0.175891      0.116409      0.721894E-01   0.00000    
  0.398081E-01   2.63384      0.804750      0.702341      0.368226      0.454613      0.436524      0.247728      0.822840      0.262307      0.227751      0.161560      0.105920      0.653029E-01   0.00000    
  0.436487E-01   2.40772      0.791239      0.673317      0.340542      0.416131      0.450697      0.257186      0.756673      0.244538      0.209469      0.147814      0.960040E-01  0.588482E-01   0.00000    
  0.478598E-01   2.19360      0.778358      0.645511      0.313852      0.379189      0.464507      0.266322      0.693041      0.227228      0.191771      0.134627      0.866241E-01  0.527914E-01   0.00000    
  0.524772E-01   1.99116      0.765999      0.618829      0.288156      0.343809      0.477843      0.275020      0.631965      0.210382      0.174679      0.122007      0.777744E-01  0.471236E-01   0.00000    
  0.575400E-01   1.80137      0.754080      0.593269      0.263575      0.310201      0.490505      0.283069      0.573776      0.194066      0.158294      0.110029      0.695094E-01  0.418782E-01   0.00000    
  0.630913E-01   1.62319      0.742428      0.568631      0.240052      0.278295      0.502375      0.290336      0.518348      0.178263      0.142607      0.986676E-01  0.617893E-01  0.370205E-01   0.00000    
  0.691782E-01   1.45576      0.730890      0.544734      0.217545      0.248040      0.513345      0.296694      0.465585      0.162964      0.127615      0.879030E-01  0.545808E-01  0.325214E-01   0.00000    
  0.758523E-01   1.29882      0.719324      0.521442      0.196064      0.219465      0.523260      0.301977      0.415529      0.148187      0.113349      0.777451E-01  0.478776E-01  0.283713E-01   0.00000    
  0.831703E-01   1.15335      0.707533      0.498645      0.175750      0.192814      0.531784      0.305831      0.368564      0.134018      0.999332E-01  0.682804E-01  0.417321E-01  0.246006E-01   0.00000    
  0.911943E-01   1.01830      0.695338      0.476126      0.156540      0.167990      0.538798      0.308136      0.324530      0.120443      0.873465E-01  0.594723E-01  0.360970E-01  0.211713E-01   0.00000    
  0.999925E-01  0.890977      0.682590      0.453607      0.138211      0.144653      0.544379      0.308954      0.282864      0.107355      0.754572E-01  0.511977E-01  0.308564E-01  0.179983E-01   0.00000    
  0.109639      0.774239      0.669090      0.431095      0.121066      0.123255      0.548024      0.307840      0.244321      0.949380E-01  0.644761E-01  0.436170E-01  0.261283E-01  0.151618E-01   0.00000    
  0.120217      0.668761      0.654465      0.408362      0.105240      0.104004      0.549225      0.304358      0.209245      0.832938E-01  0.545233E-01  0.368032E-01  0.219466E-01  0.126777E-01   0.00000    
  0.131815      0.572450      0.638544      0.385203      0.905558E-01  0.865972E-01  0.547988      0.298606      0.177153      0.723437E-01  0.454759E-01  0.306460E-01  0.182121E-01  0.104753E-01   0.00000    
  0.144533      0.485437      0.620966      0.361442      0.770776E-01  0.711038E-01  0.543889      0.290338      0.148181      0.621512E-01  0.373833E-01  0.251687E-01  0.149264E-01  0.855176E-02   0.00000    
  0.158477      0.407023      0.601495      0.336984      0.647609E-01  0.574095E-01  0.536734      0.279575      0.122170      0.527112E-01  0.302015E-01  0.203292E-01  0.120497E-01  0.687875E-02   0.00000    
  0.173766      0.337302      0.579682      0.311713      0.536660E-01  0.455511E-01  0.526016      0.266162      0.992171E-01  0.440879E-01  0.239608E-01  0.161395E-01  0.957815E-02  0.545076E-02   0.00000    
  0.190530      0.275532      0.555286      0.285642      0.437320E-01  0.353738E-01  0.511554      0.250269      0.791058E-01  0.362639E-01  0.185915E-01  0.125437E-01  0.746816E-02  0.423865E-02   0.00000    
  0.208912      0.221743      0.527793      0.258780      0.350066E-01  0.268706E-01  0.492786      0.231909      0.618772E-01  0.292965E-01  0.140979E-01  0.953847E-02  0.571006E-02  0.323421E-02   0.00000    
  0.229067      0.175142      0.497021      0.231294      0.274067E-01  0.198480E-01  0.469614      0.211446      0.472547E-01  0.231492E-01  0.103848E-01  0.705511E-02  0.425747E-02  0.240810E-02   0.00000    
  0.251167      0.135672      0.462491      0.203388      0.209576E-01  0.142502E-01  0.441533      0.189137      0.352079E-01  0.178628E-01  0.742695E-02  0.507373E-02  0.309485E-02  0.174955E-02   0.00000    
  0.275399      0.102489      0.424234      0.175409      0.155497E-01  0.985612E-02  0.408684      0.165553      0.254058E-01  0.133746E-01  0.510966E-02  0.351636E-02  0.217510E-02  0.123011E-02   0.00000    
  0.301969      0.754256E-01  0.382050      0.147812      0.111755E-01  0.656714E-02  0.370875      0.141245      0.177426E-01  0.969772E-02  0.338154E-02  0.234852E-02  0.147778E-02  0.837077E-03   0.00000    
  0.331102      0.536010E-01  0.336446      0.121093      0.769800E-02  0.415627E-02  0.328748      0.116937      0.118543E-01  0.674007E-02  0.212144E-02  0.149056E-02  0.957927E-03  0.544268E-03   0.00000    
  0.363046      0.367263E-01  0.287918      0.959371E-01  0.507149E-02  0.250067E-02  0.282847      0.934364E-01  0.757217E-02  0.447902E-02  0.126278E-02  0.899654E-03  0.592476E-03  0.338245E-03   0.00000    
  0.398071      0.239099E-01  0.237746      0.728670E-01  0.313869E-02  0.139716E-02  0.234607      0.714698E-01  0.453585E-02  0.279662E-02  0.695985E-03  0.504475E-03  0.342071E-03  0.196703E-03   0.00000    
  0.436476      0.145290E-01  0.187368      0.524606E-01  0.179454E-02  0.709358E-03  0.185573      0.517512E-01  0.250390E-02  0.161466E-02  0.347894E-03  0.257099E-03  0.179882E-03  0.104366E-03   0.00000    
  0.478586      0.827158E-02  0.139198      0.354519E-01  0.944096E-03  0.329344E-03  0.138254      0.351225E-01  0.127344E-02  0.857139E-03  0.158340E-03  0.119824E-03  0.869577E-04  0.511807E-04   0.00000    
  0.524759      0.427714E-02  0.956397E-01  0.220341E-01  0.441923E-03  0.134080E-03  0.951978E-01  0.219000E-01  0.576003E-03  0.404953E-03  0.629233E-04  0.489422E-04  0.369706E-04  0.222142E-04   0.00000    
  0.575386      0.194617E-02  0.591348E-01  0.122567E-01  0.177164E-03  0.458711E-04  0.589576E-01  0.122109E-01  0.223035E-03  0.163939E-03  0.209039E-04  0.167716E-04  0.132250E-04  0.819563E-05   0.00000    
  0.630897      0.741967E-03  0.315473E-01  0.585094E-02  0.573343E-04  0.123201E-04  0.314900E-01  0.583862E-02  0.696544E-04  0.536288E-04  0.541426E-05  0.449324E-05  0.370554E-05  0.241260E-05   0.00000    
  0.691764      0.218429E-03  0.135389E-01  0.223483E-02  0.135678E-04  0.230186E-05  0.135254E-01  0.223253E-02  0.158697E-04  0.128528E-04  0.964548E-06  0.828318E-06  0.715079E-06  0.508995E-06   0.00000    
  0.758504      0.411832E-04  0.405832E-02  0.591644E-03  0.189332E-05  0.214988E-06  0.405642E-02  0.591429E-03  0.210831E-05  0.182722E-05  0.832708E-07  0.731807E-07  0.661024E-07  0.585368E-07   0.00000    
  0.831682      0.369570E-05  0.641827E-03  0.822401E-04  0.106314E-06  0.399890E-08  0.641721E-03  0.822361E-04  0.110313E-06  0.105586E-06  0.928887E-09  0.697180E-09  0.728269E-09  0.237283E-08   0.00000    
  0.911920      0.529363E-07  0.211126E-04  0.235499E-05  0.607060E-09  -.949244E-10  0.211120E-04  0.235508E-05  0.512135E-09  0.651322E-09  -.479380E-10  -.482335E-10  -.442622E-10  0.124710E-11   0.00000    
  0.999900      0.157191E-14  0.222591E-11  0.210497E-12  -.194089E-17  -.282398E-17  0.222591E-11  0.210500E-12  -.476487E-17  -.753785E-18  -.124308E-17  -.124308E-17  -.118711E-17  -.337820E-18   0.00000    
