   6464.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   76.5661       5.88856       8.29500       5.87568       8.29066      0.128752E-01  0.433975E-02   14.1663       3.21319       3.21225       2.91478       2.66250       2.16364       0.00000    
  0.109648E-03   73.8290       5.71300       8.04035       5.69932       8.03571      0.136804E-01  0.463769E-02   13.7350       3.12176       3.12075       2.82689       2.57757       2.08807       0.00000    
  0.120226E-03   71.2132       5.54392       7.79531       5.52935       7.79035      0.145661E-01  0.496918E-02   13.3197       3.03357       3.03249       2.74219       2.49578       2.01566       0.00000    
  0.131825E-03   68.6461       5.37746       7.55417       5.36197       7.54885      0.154885E-01  0.531613E-02   12.9108       2.94669       2.94554       2.65877       2.41528       1.94454       0.00000    
  0.144543E-03   66.1486       5.21476       7.31859       5.19830       7.31291      0.164633E-01  0.568522E-02   12.5112       2.86170       2.86046       2.57720       2.33660       1.87524       0.00000    
  0.158489E-03   63.7443       5.05716       7.09053       5.03964       7.08444      0.175177E-01  0.608838E-02   12.1241       2.77924       2.77792       2.49813       2.26040       1.80839       0.00000    
  0.173779E-03   61.3854       4.90203       6.86612       4.88342       6.85962      0.186135E-01  0.650942E-02   11.7430       2.69802       2.69661       2.42027       2.18540       1.74274       0.00000    
  0.190545E-03   59.1129       4.75169       6.64876       4.73190       6.64179      0.197930E-01  0.696686E-02   11.3737       2.61919       2.61767       2.34474       2.11271       1.67937       0.00000    
  0.208928E-03   56.9067       4.60505       6.43681       4.58401       6.42936      0.210454E-01  0.745637E-02   11.0134       2.54219       2.54057       2.27102       2.04182       1.61776       0.00000    
  0.229085E-03   54.7435       4.46081       6.22839       4.43847       6.22042      0.223452E-01  0.796685E-02   10.6589       2.46639       2.46466       2.19848       1.97208       1.55729       0.00000    
  0.251186E-03   52.6808       4.32226       6.02827       4.29849       6.01974      0.237702E-01  0.853342E-02   10.3182       2.39340       2.39155       2.12870       1.90509       1.49949       0.00000    
  0.275420E-03   50.6605       4.18614       5.83168       4.16088       5.82256      0.252552E-01  0.912721E-02   9.98344       2.32161       2.31963       2.06009       1.83927       1.44283       0.00000    
  0.301992E-03   48.6972       4.05327       5.63983       4.02645       5.63008      0.268206E-01  0.975757E-02   9.65653       2.25144       2.24932       1.99307       1.77501       1.38768       0.00000    
  0.331127E-03   46.8134       3.92500       5.45465       3.89649       5.44420      0.285131E-01  0.104467E-01   9.34069       2.18352       2.18126       1.92827       1.71297       1.33467       0.00000    
  0.363073E-03   44.9673       3.79893       5.27264       3.76866       5.26148      0.302707E-01  0.111662E-01   9.03014       2.11669       2.11428       1.86454       1.65197       1.28266       0.00000    
  0.398101E-03   43.1919       3.67701       5.09662       3.64485       5.08467      0.321568E-01  0.119460E-01   8.72952       2.05189       2.04931       1.80280       1.59296       1.23256       0.00000    
  0.436509E-03   41.4730       3.55843       4.92540       3.52427       4.91262      0.341590E-01  0.127812E-01   8.43689       1.98873       1.98597       1.74267       1.53555       1.18398       0.00000    
  0.478622E-03   39.7898       3.44197       4.75722       3.40573       4.74357      0.362353E-01  0.136519E-01   8.14930       1.92659       1.92365       1.68355       1.47914       1.13636       0.00000    
  0.524798E-03   38.1886       3.33043       4.59608       3.29193       4.58146      0.385030E-01  0.146155E-01   7.87339       1.86685       1.86371       1.62678       1.42508       1.09097       0.00000    
  0.575429E-03   36.6236       3.22110       4.43808       3.18023       4.42245      0.408664E-01  0.156264E-01   7.60269       1.80818       1.80483       1.57107       1.37205       1.04655       0.00000    
  0.630945E-03   35.1045       3.11455       4.28404       3.07120       4.26734      0.433506E-01  0.166971E-01   7.33854       1.75085       1.74728       1.51667       1.32035       1.00338       0.00000    
  0.691816E-03   33.6520       3.01211       4.13580       2.96607       4.11794      0.460340E-01  0.178678E-01   7.08401       1.69550       1.69169       1.46422       1.27058      0.962024       0.00000    
  0.758561E-03   32.2305       2.91159       3.99028       2.86277       3.97119      0.488173E-01  0.190894E-01   6.83397       1.64106       1.63701       1.41267       1.22171      0.921513       0.00000    
  0.831745E-03   30.8659       2.81462       3.84976       2.76283       3.82935      0.517929E-01  0.204096E-01   6.59218       1.58832       1.58400       1.36279       1.17450      0.882557       0.00000    
  0.911989E-03   29.5486       2.72065       3.71343       2.66570       3.69160      0.549493E-01  0.218240E-01   6.35730       1.53700       1.53239       1.31431       1.12870      0.844896       0.00000    
  0.999975E-03   28.2604       2.62852       3.57967       2.57030       3.55637      0.582187E-01  0.232976E-01   6.12668       1.48655       1.48165       1.26669       1.08375      0.808034       0.00000    
  0.109645E-02   27.0381       2.54062       3.45179       2.47885       3.42687      0.617722E-01  0.249224E-01   5.90572       1.43809       1.43287       1.22102       1.04076      0.772982       0.00000    
  0.120223E-02   25.8464       2.45471       3.32666       2.38924       3.30003      0.654743E-01  0.266277E-01   5.68927       1.39055       1.38499       1.17627      0.998685      0.738771       0.00000    
  0.131822E-02   24.6908       2.37116       3.20479       2.30181       3.17636      0.693526E-01  0.284285E-01   5.47817       1.34411       1.33820       1.13260      0.957697      0.705559       0.00000    
  0.144540E-02   23.5902       2.29125       3.08790       2.21771       3.05750      0.735324E-01  0.303963E-01   5.27522       1.29934       1.29305       1.09058      0.918372      0.673868       0.00000    
  0.158485E-02   22.5147       2.21301       2.97330       2.13515       2.94085      0.778605E-01  0.324473E-01   5.07600       1.25534       1.24866       1.04932      0.879807      0.642871       0.00000    
  0.173775E-02   21.4842       2.13780       2.86281       2.05533       2.82816      0.824665E-01  0.346553E-01   4.88349       1.21272       1.20561       1.00942      0.842616      0.613124       0.00000    
  0.190540E-02   20.4927       2.06525       2.75593       1.97791       2.71891      0.873426E-01  0.370191E-01   4.69682       1.17129       1.16374      0.970710      0.806622      0.584463       0.00000    
  0.208923E-02   19.5247       1.99431       2.65121       1.90193       2.61173      0.923840E-01  0.394788E-01   4.51366       1.13058       1.12257      0.932708      0.771350      0.556453       0.00000    
  0.229079E-02   18.6086       1.92698       2.55133       1.82916       2.50915      0.978293E-01  0.421767E-01   4.33831       1.09147       1.08296      0.896296      0.737688      0.529897       0.00000    
  0.251180E-02   17.7178       1.86145       2.45383       1.75795       2.40882      0.103494      0.450068E-01   4.16677       1.05314       1.04412      0.860658      0.704816      0.504047       0.00000    
  0.275413E-02   16.8552       1.79790       2.35897       1.68850       2.31099      0.109403      0.479844E-01   3.99949       1.01568       1.00611      0.825885      0.672824      0.478987       0.00000    
  0.301984E-02   16.0372       1.73758       2.26835       1.62183       2.21713      0.115744      0.512289E-01   3.83896      0.979594      0.969455      0.792488      0.642238      0.455182       0.00000    
  0.331118E-02   15.2391       1.67870       2.17964       1.55641       2.12504      0.122292      0.546035E-01   3.68145      0.944127      0.933392      0.759707      0.612283      0.431938       0.00000    
  0.363064E-02   14.4761       1.62241       2.09429       1.49319       2.03607      0.129218      0.582167E-01   3.52926      0.909745      0.898380      0.728010      0.583443      0.409683       0.00000    
  0.398091E-02   13.7447       1.56848       2.01201       1.43196       1.94993      0.136520      0.620740E-01   3.38189      0.876341      0.864313      0.697296      0.555616      0.388324       0.00000    
  0.436498E-02   13.0318       1.51594       1.93152       1.37189       1.86544      0.144047      0.660779E-01   3.23734      0.843508      0.830798      0.667157      0.528383      0.367489       0.00000    
  0.478610E-02   12.3593       1.46649       1.85500       1.31438       1.78457      0.152105      0.704347E-01   3.09895      0.811924      0.798487      0.638278      0.502458      0.347803       0.00000    
  0.524785E-02   11.7073       1.41864       1.78052       1.25818       1.70553      0.160458      0.749933E-01   2.96371      0.780973      0.766784      0.610042      0.477204      0.328703       0.00000    
  0.575415E-02   11.0767       1.37246       1.70818       1.20334       1.62842      0.169121      0.797634E-01   2.83176      0.750686      0.735719      0.582479      0.452653      0.310218       0.00000    
  0.630929E-02   10.4818       1.32912       1.63943       1.15077       1.55450      0.178342      0.849259E-01   2.70527      0.721496      0.705707      0.556037      0.429279      0.292755       0.00000    
  0.691799E-02   9.90246       1.28703       1.57225       1.09920       1.48198      0.187821      0.902733E-01   2.58118      0.692783      0.676153      0.530086      0.406421      0.275740       0.00000    
  0.758542E-02   9.34988       1.24711       1.50782       1.04935       1.41187      0.197755      0.959494E-01   2.46122      0.664894      0.647387      0.504982      0.384460      0.259498       0.00000    
  0.831724E-02   8.82244       1.20927       1.44599       1.00112       1.34403      0.208145      0.101966       2.34515      0.637775      0.619360      0.480678      0.363350      0.243988       0.00000    
  0.911966E-02   8.30780       1.17251       1.38551      0.953723       1.27734      0.218791      0.108173       2.23106      0.611047      0.591706      0.456782      0.342676      0.228851       0.00000    
  0.999950E-02   7.81006       1.13738       1.32694      0.907430       1.21217      0.229951      0.114769       2.11960      0.584827      0.564523      0.433429      0.322603      0.214218       0.00000    
  0.109642E-01   7.33291       1.10387       1.27047      0.862465       1.14887      0.241405      0.121600       2.01134      0.559238      0.537956      0.410736      0.303226      0.200183       0.00000    
  0.120220E-01   6.88719       1.07291       1.21729      0.819537       1.08844      0.253377      0.128846       1.90798      0.534611      0.512322      0.389056      0.284927      0.187066       0.00000    
  0.131819E-01   6.46166       1.04370       1.16630      0.777939       1.02987      0.265765      0.136434       1.80781      0.510597      0.487284      0.368037      0.267342      0.174549       0.00000    
  0.144536E-01   6.05540       1.01617       1.11744      0.737616      0.973081      0.278550      0.144358       1.71070      0.487169      0.462817      0.347655      0.250447      0.162608       0.00000    
  0.158481E-01   5.66643      0.990135       1.07050      0.698446      0.917908      0.291689      0.152588       1.61635      0.464268      0.438868      0.327852      0.234179      0.151188       0.00000    
  0.173770E-01   5.29420      0.965563       1.02543      0.660402      0.864316      0.305161      0.161116       1.52472      0.441877      0.415426      0.308615      0.218525      0.140275       0.00000    
  0.190535E-01   4.93970      0.942532      0.982373      0.623560      0.812420      0.318972      0.169953       1.43598      0.420028      0.392530      0.289988      0.203532      0.129902       0.00000    
  0.208917E-01   4.60193      0.920943      0.941222      0.587866      0.762150      0.333077      0.179072       1.35002      0.398694      0.370161      0.271946      0.189172      0.120043       0.00000    
  0.229073E-01   4.27926      0.900639      0.901802      0.553220      0.713374      0.347420      0.188428       1.26659      0.377828      0.348278      0.254444      0.175391      0.110652       0.00000    
  0.251174E-01   3.97121      0.881562      0.864063      0.519602      0.666074      0.361960      0.197990       1.18568      0.357420      0.326882      0.237475      0.162182      0.101717       0.00000    
  0.275406E-01   3.67877      0.863758      0.828118      0.487099      0.620385      0.376659      0.207733       1.10748      0.337507      0.306023      0.221090      0.149592      0.932724E-01   0.00000    
  0.301976E-01   3.40088      0.847101      0.793840      0.455654      0.576243      0.391447      0.217596       1.03190      0.318064      0.285688      0.205266      0.137590      0.852888E-01   0.00000    
  0.331110E-01   3.13623      0.831443      0.761064      0.425193      0.533551      0.406250      0.227513      0.958744      0.299058      0.265854      0.189969      0.126135      0.777279E-01   0.00000    
  0.363055E-01   2.88444      0.816703      0.729727      0.395704      0.492311      0.420999      0.237416      0.888015      0.280486      0.246531      0.175200      0.115219      0.705801E-01   0.00000    
  0.398081E-01   2.64647      0.802876      0.699901      0.367288      0.452690      0.435588      0.247211      0.819978      0.262394      0.227790      0.161020      0.104893      0.638795E-01   0.00000    
  0.436487E-01   2.42128      0.789812      0.671426      0.339891      0.414631      0.449921      0.256795      0.754522      0.244765      0.209627      0.147409      0.951260E-01  0.575951E-01   0.00000    
  0.478598E-01   2.20783      0.777363      0.644136      0.313456      0.378064      0.463906      0.266071      0.691521      0.227576      0.192029      0.134341      0.858800E-01  0.516946E-01   0.00000    
  0.524772E-01   2.00581      0.765422      0.617937      0.287986      0.343013      0.477436      0.274924      0.630999      0.210836      0.175020      0.121824      0.771507E-01  0.461695E-01   0.00000    
  0.575400E-01   1.81621      0.753908      0.592828      0.263598      0.309685      0.490310      0.283143      0.573283      0.194607      0.158699      0.109933      0.689918E-01  0.410528E-01   0.00000    
  0.630913E-01   1.63800      0.742652      0.568612      0.240240      0.278016      0.502412      0.290596      0.518256      0.178875      0.143061      0.986442E-01  0.613652E-01  0.363109E-01   0.00000    
  0.691782E-01   1.47036      0.731501      0.545110      0.217870      0.247958      0.513631      0.297152      0.465829      0.163631      0.128103      0.879394E-01  0.542388E-01  0.319163E-01   0.00000    
  0.758523E-01   1.31305      0.720314      0.522189      0.196501      0.219545      0.523813      0.302644      0.416046      0.148894      0.113855      0.778293E-01  0.476071E-01  0.278599E-01   0.00000    
  0.831703E-01   1.16706      0.708897      0.499735      0.176273      0.193017      0.532624      0.306718      0.369290      0.134751      0.100446      0.683999E-01  0.415222E-01  0.241714E-01   0.00000    
  0.911943E-01   1.03136      0.697069      0.477533      0.157125      0.168284      0.539943      0.309250      0.325409      0.121187      0.878525E-01  0.596167E-01  0.359381E-01  0.208145E-01   0.00000    
  0.999925E-01  0.903325      0.684685      0.455312      0.138844      0.145018      0.545841      0.310295      0.283862      0.108101      0.759499E-01  0.513606E-01  0.307426E-01  0.177072E-01   0.00000    
  0.109639      0.785770      0.671543      0.433070      0.121724      0.123661      0.549819      0.309409      0.245385      0.956733E-01  0.649452E-01  0.437887E-01  0.260508E-01  0.149270E-01   0.00000    
  0.120217      0.679386      0.657272      0.410573      0.105901      0.104424      0.551370      0.306149      0.210325      0.840047E-01  0.549594E-01  0.369748E-01  0.218967E-01  0.124896E-01   0.00000    
  0.131815      0.582126      0.641699      0.387621      0.912043E-01  0.870121E-01  0.550494      0.300609      0.178216      0.730207E-01  0.458734E-01  0.308117E-01  0.181836E-01  0.103270E-01   0.00000    
  0.144533      0.494140      0.624462      0.364031      0.776996E-01  0.714987E-01  0.546762      0.292533      0.149198      0.627856E-01  0.377383E-01  0.253238E-01  0.149140E-01  0.843657E-02   0.00000    
  0.158477      0.414748      0.605321      0.339710      0.653449E-01  0.577731E-01  0.539976      0.281937      0.123118      0.532961E-01  0.305118E-01  0.204702E-01  0.120488E-01  0.679103E-02   0.00000    
  0.173766      0.344062      0.583823      0.314532      0.542026E-01  0.458752E-01  0.529621      0.268657      0.100078      0.446178E-01  0.242259E-01  0.162640E-01  0.958484E-02  0.538526E-02   0.00000    
