* info from hepdata:                     
*REACtion       = muon Pb --> muon X
*Plab           = 200 GeV                                   
*Experiment  = CHORUS-2006                   
*REFerence      = Phys.Lett. B632 (2006) 65-75
*Additional info: Measurement of nucleon structure functions in neutrino scattering.
*
*
*
&Data
	 Name = 'CHORUS nu Pb DIS'

	 Reaction = 'neutrino+p CC'

         NDATA = 405
         
         NColumn = 17
	 ColumnType = 2*'Dummy','Bin','Bin','Bin',7*'Dummy','Sigma',4*'Error'
	 ColumnName = 'sqrt(S)','E','x', 'Q2','y','ignore','ignore','ignore','ignore','ignore','ignore','ignore','reduced x-section','stat','ignore','uncor','ignore'
	 
	 Percent = 4*False
 
         NInfo 	  = 7
         DataInfo =  -1.0, 0.,        0.,	208, 82.0, 0.0, 0.0       
	 CInfo 	  = 'e charge',	'reduced', 'e polarity', 'A1', 'Z1', 'ratio', 'pernucleus'
	 IndexDataset = 401
&End
&PlotDesc
   PlotN = 10 
   PlotDefColumn = 'x'
   PlotVarColumn = 'Q2'
   PlotDefValue = 0.045, 0.08, 0.125, 0.175, 0.225, 0.275, 0.35, 0.45, 0.55, 0.65
   PlotOptions(1)  = 'Experiment:CHORUS p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: x @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 0.75  @Ymin:0.1@Ymax:200.@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:CHORUS p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: x @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 1.25  @Ymin:0.1@Ymax:200.@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:CHORUS p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: x @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 1.75  @Ymin:0.1@Ymax:200.@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:CHORUS p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: x @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 2.5  @Ymin:0.1@Ymax:200.@Xlog@Ylog'
   PlotOptions(5)  = 'Experiment:CHORUS p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: x @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 3.5 @Ymin:0.05@Ymax:200.@Xlog@Ylog'
   PlotOptions(6)  = 'Experiment:CHORUS p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: x @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 4.5 @Ymin:0.05@Ymax:200.@Xlog@Ylog'
   PlotOptions(7)  = 'Experiment:CHORUS p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: x @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 5.5  @Ymin:0.05@Ymax:200.@Xlog@Ylog'
   PlotOptions(8)  = 'Experiment:CHORUS p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: x @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 7  @Ymin:0.05@Ymax:200.@Xlog@Ylog'
   PlotOptions(9)  = 'Experiment:CHORUS p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: x @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 9 @Ymin:0.01@Ymax:200.@Xlog@Ylog'
   PlotOptions(10)  = 'Experiment:CHORUS p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: x @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 11.5 @Ymin:0.01@Ymax:200.@Xlog@Ylog'
&End
*sqrt(S) in GeV	E (GeV)	x	Q2 (GeV^2)	Y	Ylow	Yhigh	y ((1/E(P=1))*D(SIG)/DX/DY IN FB/GEV)	dy+	dy-	dy+	dy-	sigma in PB, multiplied with E	dy+ (calc)	dy- (calc)	dy+ (calc)	dy- (calc)
15.645	130	0.65	31.820	0.2	0.2	0.2	1.638	0.147	-0.147	0.302	-0.302	0.213	0.019	-0.019	0.039	-0.039
13.028	90	0.45	30.551	0.4	0.4	0.4	6.548	0.268	-0.268	0.526	-0.526	0.589	0.024	-0.024	0.047	-0.047
13.028	90	0.225	30.551	0.8	0.8	0.8	15.726	0.552	-0.552	0.594	-0.594	1.415	0.050	-0.050	0.053	-0.053
11.498	70	0.45	29.746	0.5	0.5	0.5	6.599	0.230	-0.230	0.486	-0.486	0.462	0.016	-0.016	0.034	-0.034
13.028	90	0.35	29.703	0.5	0.5	0.5	10.011	0.326	-0.326	0.366	-0.366	0.901	0.029	-0.029	0.033	-0.033
10.201	55	0.35	29.137	0.8	0.8	0.8	10.356	0.325	-0.325	0.521	-0.521	0.570	0.018	-0.018	0.029	-0.029
11.498	70	0.55	29.085	0.4	0.4	0.4	3.732	0.172	-0.172	0.470	-0.470	0.261	0.012	-0.012	0.033	-0.033
11.498	70	0.275	29.085	0.8	0.8	0.8	12.851	0.424	-0.424	0.652	-0.652	0.900	0.030	-0.030	0.046	-0.046
14.396	110	0.35	29.014	0.4	0.4	0.4	11.247	0.422	-0.422	0.555	-0.555	1.237	0.046	-0.046	0.061	-0.061
17.883	170	0.45	28.782	0.2	0.2	0.2	6.767	0.319	-0.319	0.573	-0.573	1.150	0.054	-0.054	0.097	-0.097
17.883	170	0.225	28.782	0.4	0.4	0.4	17.327	0.778	-0.778	0.908	-0.908	2.946	0.132	-0.132	0.154	-0.154
10.201	55	0.55	28.617	0.5	0.5	0.5	3.766	0.203	-0.203	0.336	-0.336	0.207	0.011	-0.011	0.018	-0.018
14.396	110	0.275	28.496	0.5	0.5	0.5	13.045	0.615	-0.615	0.385	-0.385	1.435	0.068	-0.068	0.042	-0.042
9.236	45	0.55	28.150	0.6	0.6	0.6	3.690	0.162	-0.162	0.261	-0.261	0.166	0.007	-0.007	0.012	-0.012
10.201	55	0.45	28.096	0.6	0.6	0.6	6.269	0.262	-0.262	0.339	-0.339	0.345	0.014	-0.014	0.019	-0.019
13.028	90	0.55	28.005	0.3	0.3	0.3	3.382	0.186	-0.186	0.454	-0.454	0.304	0.017	-0.017	0.041	-0.041
13.028	90	0.275	28.005	0.6	0.6	0.6	13.212	0.517	-0.517	0.354	-0.354	1.189	0.047	-0.047	0.032	-0.032
14.396	110	0.45	27.978	0.3	0.3	0.3	6.782	0.320	-0.320	0.702	-0.702	0.746	0.035	-0.035	0.077	-0.077
14.396	110	0.225	27.978	0.6	0.6	0.6	15.205	0.659	-0.659	0.665	-0.665	1.673	0.072	-0.072	0.073	-0.073
11.498	70	0.35	27.763	0.6	0.6	0.6	10.354	0.281	-0.281	0.314	-0.314	0.725	0.020	-0.020	0.022	-0.022
9.236	45	0.65	27.724	0.5	0.5	0.5	1.620	0.101	-0.101	0.236	-0.236	0.073	0.005	-0.005	0.011	-0.011
15.645	130	0.225	27.536	0.5	0.5	0.5	16.432	0.853	-0.853	0.695	-0.695	2.136	0.111	-0.111	0.090	-0.090
10.201	55	0.65	27.056	0.4	0.4	0.4	1.734	0.126	-0.126	0.268	-0.268	0.095	0.007	-0.007	0.015	-0.015
14.396	110	0.65	26.942	0.2	0.2	0.2	1.443	0.119	-0.119	0.284	-0.284	0.159	0.013	-0.013	0.031	-0.031
15.645	130	0.55	26.924	0.2	0.2	0.2	3.657	0.262	-0.262	0.494	-0.494	0.475	0.034	-0.034	0.064	-0.064
15.645	130	0.275	26.924	0.4	0.4	0.4	13.099	0.762	-0.762	0.343	-0.343	1.703	0.099	-0.099	0.045	-0.045
9.236	45	0.45	26.871	0.7	0.7	0.7	6.436	0.217	-0.217	0.330	-0.330	0.290	0.010	-0.010	0.015	-0.015
13.028	90	0.225	26.732	0.7	0.7	0.7	15.382	0.542	-0.542	0.643	-0.643	1.384	0.049	-0.049	0.058	-0.058
17.883	170	0.275	26.384	0.3	0.3	0.3	13.867	0.678	-0.678	0.386	-0.386	2.357	0.115	-0.115	0.066	-0.066
8.157	35	0.65	25.949	0.6	0.6	0.6	1.603	0.081	-0.081	0.188	-0.188	0.056	0.003	-0.003	0.007	-0.007
11.498	70	0.65	25.780	0.3	0.3	0.3	1.580	0.099	-0.099	0.234	-0.234	0.111	0.007	-0.007	0.016	-0.016
15.645	130	0.35	25.700	0.3	0.3	0.3	10.246	0.480	-0.480	0.655	-0.655	1.332	0.062	-0.062	0.085	-0.085
15.645	130	0.175	25.700	0.6	0.6	0.6	16.151	0.823	-0.823	1.040	-1.040	2.100	0.107	-0.107	0.135	-0.135
10.201	55	0.35	25.495	0.7	0.7	0.7	10.780	0.341	-0.341	0.413	-0.413	0.593	0.019	-0.019	0.023	-0.023
11.498	70	0.275	25.449	0.7	0.7	0.7	13.746	0.449	-0.449	0.458	-0.458	0.962	0.031	-0.031	0.032	-0.032
14.396	110	0.175	25.387	0.7	0.7	0.7	16.400	0.666	-0.666	0.923	-0.923	1.804	0.073	-0.073	0.102	-0.102
11.498	70	0.45	23.797	0.4	0.4	0.4	6.352	0.227	-0.227	0.506	-0.506	0.445	0.016	-0.016	0.035	-0.035
11.498	70	0.225	23.797	0.8	0.8	0.8	15.419	0.462	-0.462	0.852	-0.852	1.079	0.032	-0.032	0.060	-0.060
13.028	90	0.35	23.762	0.4	0.4	0.4	10.328	0.335	-0.335	0.600	-0.600	0.930	0.030	-0.030	0.054	-0.054
13.028	90	0.175	23.762	0.8	0.8	0.8	16.661	0.550	-0.550	1.014	-1.014	1.499	0.050	-0.050	0.091	-0.091
9.236	45	0.55	23.459	0.5	0.5	0.5	3.626	0.164	-0.164	0.360	-0.360	0.163	0.007	-0.007	0.016	-0.016
10.201	55	0.45	23.414	0.5	0.5	0.5	7.206	0.288	-0.288	0.474	-0.474	0.396	0.016	-0.016	0.026	-0.026
13.028	90	0.275	23.338	0.5	0.5	0.5	14.315	0.548	-0.548	0.408	-0.408	1.288	0.049	-0.049	0.037	-0.037
14.396	110	0.225	23.315	0.5	0.5	0.5	15.780	0.672	-0.672	0.470	-0.470	1.736	0.074	-0.074	0.052	-0.052
11.498	70	0.35	23.136	0.5	0.5	0.5	10.073	0.282	-0.282	0.361	-0.361	0.705	0.020	-0.020	0.025	-0.025
9.236	45	0.45	23.032	0.6	0.6	0.6	6.370	0.216	-0.216	0.340	-0.340	0.287	0.010	-0.010	0.015	-0.015
13.028	90	0.45	22.913	0.3	0.3	0.3	6.958	0.284	-0.284	0.691	-0.691	0.626	0.026	-0.026	0.062	-0.062
13.028	90	0.225	22.913	0.6	0.6	0.6	14.869	0.536	-0.536	0.479	-0.479	1.338	0.048	-0.048	0.043	-0.043
10.201	55	0.55	22.893	0.4	0.4	0.4	3.424	0.192	-0.192	0.409	-0.409	0.188	0.011	-0.011	0.022	-0.022
10.201	55	0.275	22.893	0.8	0.8	0.8	13.440	0.520	-0.520	0.657	-0.657	0.739	0.029	-0.029	0.036	-0.036
14.396	110	0.55	22.797	0.2	0.2	0.2	3.564	0.221	-0.221	0.485	-0.485	0.392	0.024	-0.024	0.053	-0.053
14.396	110	0.275	22.797	0.4	0.4	0.4	14.398	0.660	-0.660	0.457	-0.457	1.584	0.073	-0.073	0.050	-0.050
17.883	170	0.35	22.386	0.2	0.2	0.2	10.260	0.409	-0.409	0.576	-0.576	1.744	0.070	-0.070	0.098	-0.098
17.883	170	0.175	22.386	0.4	0.4	0.4	17.999	0.770	-0.770	0.993	-0.993	3.060	0.131	-0.131	0.169	-0.169
15.645	130	0.45	22.029	0.2	0.2	0.2	6.725	0.384	-0.384	0.705	-0.705	0.874	0.050	-0.050	0.092	-0.092
15.645	130	0.225	22.029	0.4	0.4	0.4	17.129	0.868	-0.868	0.653	-0.653	2.227	0.113	-0.113	0.085	-0.085
8.157	35	0.55	21.957	0.6	0.6	0.6	3.748	0.132	-0.132	0.371	-0.371	0.131	0.005	-0.005	0.013	-0.013
10.201	55	0.35	21.853	0.6	0.6	0.6	10.824	0.344	-0.344	0.337	-0.337	0.595	0.019	-0.019	0.019	-0.019
11.498	70	0.55	21.814	0.3	0.3	0.3	3.696	0.170	-0.170	0.567	-0.567	0.259	0.012	-0.012	0.040	-0.040
11.498	70	0.275	21.814	0.6	0.6	0.6	13.746	0.451	-0.451	0.348	-0.348	0.962	0.032	-0.032	0.024	-0.024
14.396	110	0.35	21.761	0.3	0.3	0.3	10.610	0.404	-0.404	0.624	-0.624	1.167	0.044	-0.044	0.069	-0.069
14.396	110	0.175	21.761	0.6	0.6	0.6	17.241	0.693	-0.693	0.661	-0.661	1.897	0.076	-0.076	0.073	-0.073
17.883	170	0.225	21.587	0.3	0.3	0.3	15.928	0.724	-0.724	0.497	-0.497	2.708	0.123	-0.123	0.084	-0.084
15.645	130	0.175	21.417	0.5	0.5	0.5	17.516	0.852	-0.852	0.901	-0.901	2.277	0.111	-0.111	0.117	-0.117
9.236	45	0.35	20.899	0.7	0.7	0.7	9.982	0.262	-0.262	0.400	-0.400	0.449	0.012	-0.012	0.018	-0.018
11.498	70	0.225	20.822	0.7	0.7	0.7	16.204	0.476	-0.476	0.629	-0.629	1.134	0.033	-0.033	0.044	-0.044
13.028	90	0.175	20.792	0.7	0.7	0.7	17.322	0.570	-0.570	0.998	-0.998	1.559	0.051	-0.051	0.090	-0.090
15.645	130	0.275	20.193	0.3	0.3	0.3	14.222	0.799	-0.799	0.537	-0.537	1.849	0.104	-0.104	0.070	-0.070
10.201	55	0.275	20.032	0.7	0.7	0.7	13.310	0.523	-0.523	0.476	-0.476	0.732	0.029	-0.029	0.026	-0.026
9.236	45	0.45	19.193	0.5	0.5	0.5	6.787	0.232	-0.232	0.477	-0.477	0.305	0.010	-0.010	0.021	-0.021
13.028	90	0.225	19.094	0.5	0.5	0.5	14.807	0.542	-0.542	0.401	-0.401	1.333	0.049	-0.049	0.036	-0.036
9.236	45	0.55	18.767	0.4	0.4	0.4	4.038	0.173	-0.173	0.495	-0.495	0.182	0.008	-0.008	0.022	-0.022
9.236	45	0.275	18.767	0.8	0.8	0.8	12.941	0.422	-0.422	0.874	-0.874	0.582	0.019	-0.019	0.039	-0.039
10.201	55	0.45	18.731	0.4	0.4	0.4	7.202	0.291	-0.291	0.627	-0.627	0.396	0.016	-0.016	0.034	-0.034
10.201	55	0.225	18.731	0.8	0.8	0.8	14.596	0.531	-0.531	0.854	-0.854	0.803	0.029	-0.029	0.047	-0.047
13.028	90	0.55	18.670	0.2	0.2	0.2	4.429	0.219	-0.219	0.616	-0.616	0.399	0.020	-0.020	0.055	-0.055
13.028	90	0.275	18.670	0.4	0.4	0.4	13.732	0.546	-0.546	0.388	-0.388	1.236	0.049	-0.049	0.035	-0.035
14.396	110	0.45	18.652	0.2	0.2	0.2	6.950	0.328	-0.328	0.823	-0.823	0.765	0.036	-0.036	0.091	-0.091
14.396	110	0.225	18.652	0.4	0.4	0.4	15.377	0.664	-0.664	0.466	-0.466	1.691	0.073	-0.073	0.051	-0.051
11.498	70	0.35	18.509	0.4	0.4	0.4	10.461	0.294	-0.294	0.518	-0.518	0.732	0.021	-0.021	0.036	-0.036
11.498	70	0.175	18.509	0.8	0.8	0.8	16.830	0.469	-0.469	0.943	-0.943	1.178	0.033	-0.033	0.066	-0.066
15.645	130	0.125	18.357	0.6	0.6	0.6	18.880	0.883	-0.883	1.245	-1.245	2.454	0.115	-0.115	0.162	-0.162
8.157	35	0.55	18.298	0.5	0.5	0.5	3.829	0.133	-0.133	0.399	-0.399	0.134	0.005	-0.005	0.014	-0.014
10.201	55	0.35	18.211	0.5	0.5	0.5	11.252	0.359	-0.359	0.344	-0.344	0.619	0.020	-0.020	0.019	-0.019
11.498	70	0.275	18.178	0.5	0.5	0.5	14.049	0.470	-0.470	0.366	-0.366	0.983	0.033	-0.033	0.026	-0.026
14.396	110	0.175	18.134	0.5	0.5	0.5	18.042	0.706	-0.706	0.770	-0.770	1.985	0.078	-0.078	0.085	-0.085
14.396	110	0.125	18.134	0.7	0.7	0.7	18.977	0.707	-0.707	1.204	-1.204	2.087	0.078	-0.078	0.132	-0.132
8.157	35	0.45	17.965	0.6	0.6	0.6	7.051	0.184	-0.184	0.359	-0.359	0.247	0.006	-0.006	0.013	-0.013
9.236	45	0.35	17.914	0.6	0.6	0.6	10.054	0.269	-0.269	0.250	-0.250	0.452	0.012	-0.012	0.011	-0.011
11.498	70	0.45	17.848	0.3	0.3	0.3	7.553	0.256	-0.256	0.622	-0.622	0.529	0.018	-0.018	0.044	-0.044
11.498	70	0.225	17.848	0.6	0.6	0.6	15.902	0.482	-0.482	0.495	-0.495	1.113	0.034	-0.034	0.035	-0.035
13.028	90	0.35	17.822	0.3	0.3	0.3	11.254	0.362	-0.362	0.696	-0.696	1.013	0.033	-0.033	0.063	-0.063
13.028	90	0.175	17.822	0.6	0.6	0.6	17.657	0.578	-0.578	0.684	-0.684	1.589	0.052	-0.052	0.062	-0.062
17.883	170	0.55	17.589	0.1	0.1	0.1	3.607	0.203	-0.203	0.529	-0.529	0.613	0.035	-0.035	0.090	-0.090
17.883	170	0.275	17.589	0.2	0.2	0.2	14.219	0.693	-0.693	0.590	-0.590	2.417	0.118	-0.118	0.100	-0.100
10.201	55	0.55	17.170	0.3	0.3	0.3	4.090	0.211	-0.211	0.520	-0.520	0.225	0.012	-0.012	0.029	-0.029
10.201	55	0.275	17.170	0.6	0.6	0.6	14.000	0.546	-0.546	0.479	-0.479	0.770	0.030	-0.030	0.026	-0.026
15.645	130	0.35	17.134	0.2	0.2	0.2	11.140	0.521	-0.521	0.799	-0.799	1.448	0.068	-0.068	0.104	-0.104
15.645	130	0.175	17.134	0.4	0.4	0.4	17.987	0.868	-0.868	0.746	-0.746	2.338	0.113	-0.113	0.097	-0.097
14.396	110	0.275	17.098	0.3	0.3	0.3	14.869	0.675	-0.675	0.635	-0.635	1.636	0.074	-0.074	0.070	-0.070
13.028	90	0.125	16.973	0.8	0.8	0.8	17.855	0.559	-0.559	1.078	-1.078	1.607	0.050	-0.050	0.097	-0.097
17.883	170	0.175	16.790	0.3	0.3	0.3	20.497	0.830	-0.830	0.607	-0.607	3.484	0.141	-0.141	0.103	-0.103
15.645	130	0.225	16.522	0.3	0.3	0.3	16.752	0.863	-0.863	0.621	-0.621	2.178	0.112	-0.112	0.081	-0.081
9.236	45	0.275	16.421	0.7	0.7	0.7	13.594	0.433	-0.433	0.481	-0.481	0.612	0.019	-0.019	0.022	-0.022
10.201	55	0.225	16.390	0.7	0.7	0.7	15.696	0.563	-0.563	0.676	-0.676	0.863	0.031	-0.031	0.037	-0.037
8.157	35	0.35	16.301	0.7	0.7	0.7	10.781	0.219	-0.219	0.299	-0.299	0.377	0.008	-0.008	0.010	-0.010
11.498	70	0.175	16.195	0.7	0.7	0.7	17.281	0.485	-0.485	0.780	-0.780	1.210	0.034	-0.034	0.055	-0.055
17.883	170	0.125	15.990	0.4	0.4	0.4	20.744	0.825	-0.825	1.447	-1.447	3.526	0.140	-0.140	0.246	-0.246
14.396	110	0.125	15.543	0.6	0.6	0.6	18.049	0.682	-0.682	0.969	-0.969	1.985	0.075	-0.075	0.107	-0.107
9.236	45	0.45	15.355	0.4	0.4	0.4	7.066	0.238	-0.238	0.525	-0.525	0.318	0.011	-0.011	0.024	-0.024
9.236	45	0.225	15.355	0.8	0.8	0.8	15.134	0.448	-0.448	1.109	-1.109	0.681	0.020	-0.020	0.050	-0.050
15.645	130	0.125	15.298	0.5	0.5	0.5	18.255	0.859	-0.859	1.003	-1.003	2.373	0.112	-0.112	0.130	-0.130
13.028	90	0.45	15.276	0.2	0.2	0.2	7.294	0.292	-0.292	0.745	-0.745	0.656	0.026	-0.026	0.067	-0.067
13.028	90	0.225	15.276	0.4	0.4	0.4	15.543	0.569	-0.569	0.411	-0.411	1.399	0.051	-0.051	0.037	-0.037
8.157	35	0.45	14.971	0.5	0.5	0.5	7.179	0.186	-0.186	0.401	-0.401	0.251	0.007	-0.007	0.014	-0.014
9.236	45	0.35	14.928	0.5	0.5	0.5	10.877	0.287	-0.287	0.298	-0.298	0.489	0.013	-0.013	0.013	-0.013
11.498	70	0.225	14.873	0.5	0.5	0.5	15.417	0.481	-0.481	0.468	-0.468	1.079	0.034	-0.034	0.033	-0.033
13.028	90	0.175	14.851	0.5	0.5	0.5	17.481	0.579	-0.579	0.521	-0.521	1.573	0.052	-0.052	0.047	-0.047
13.028	90	0.125	14.851	0.7	0.7	0.7	18.504	0.576	-0.576	1.176	-1.176	1.665	0.052	-0.052	0.106	-0.106
10.201	55	0.35	14.568	0.4	0.4	0.4	10.370	0.347	-0.347	0.436	-0.436	0.570	0.019	-0.019	0.024	-0.024
10.201	55	0.175	14.568	0.8	0.8	0.8	16.267	0.549	-0.549	1.011	-1.011	0.895	0.030	-0.030	0.056	-0.056
11.498	70	0.275	14.542	0.4	0.4	0.4	13.267	0.460	-0.460	0.392	-0.392	0.929	0.032	-0.032	0.027	-0.027
14.396	110	0.35	14.507	0.2	0.2	0.2	10.325	0.407	-0.407	0.748	-0.748	1.136	0.045	-0.045	0.082	-0.082
14.396	110	0.175	14.507	0.4	0.4	0.4	18.829	0.729	-0.729	0.461	-0.461	2.071	0.080	-0.080	0.051	-0.051
17.883	170	0.45	14.391	0.1	0.1	0.1	6.750	0.314	-0.314	0.667	-0.667	1.148	0.053	-0.053	0.113	-0.113
17.883	170	0.225	14.391	0.2	0.2	0.2	17.235	0.768	-0.768	0.517	-0.517	2.930	0.131	-0.131	0.088	-0.088
10.201	55	0.275	14.308	0.5	0.5	0.5	14.184	0.566	-0.566	0.340	-0.340	0.780	0.031	-0.031	0.019	-0.019
9.236	45	0.275	14.075	0.6	0.6	0.6	14.257	0.452	-0.452	0.407	-0.407	0.642	0.020	-0.020	0.018	-0.018
10.201	55	0.45	14.048	0.3	0.3	0.3	6.953	0.287	-0.287	0.631	-0.631	0.382	0.016	-0.016	0.035	-0.035
10.201	55	0.225	14.048	0.6	0.6	0.6	16.471	0.588	-0.588	0.622	-0.622	0.906	0.032	-0.032	0.034	-0.034
13.028	90	0.275	14.003	0.3	0.3	0.3	15.234	0.591	-0.591	0.721	-0.721	1.371	0.053	-0.053	0.065	-0.065
14.396	110	0.225	13.989	0.3	0.3	0.3	16.511	0.704	-0.704	0.364	-0.364	1.816	0.077	-0.077	0.040	-0.040
8.157	35	0.35	13.973	0.6	0.6	0.6	11.106	0.227	-0.227	0.407	-0.407	0.389	0.008	-0.008	0.014	-0.014
11.498	70	0.35	13.881	0.3	0.3	0.3	10.472	0.298	-0.298	0.567	-0.567	0.733	0.021	-0.021	0.040	-0.040
11.498	70	0.175	13.881	0.6	0.6	0.6	18.066	0.506	-0.506	0.709	-0.709	1.265	0.035	-0.035	0.050	-0.050
15.645	130	0.275	13.462	0.2	0.2	0.2	13.923	0.817	-0.817	0.684	-0.684	1.810	0.106	-0.106	0.089	-0.089
9.236	45	0.225	13.435	0.7	0.7	0.7	15.032	0.445	-0.445	0.652	-0.652	0.676	0.020	-0.020	0.029	-0.029
11.498	70	0.125	13.220	0.8	0.8	0.8	17.373	0.467	-0.467	1.058	-1.058	1.216	0.033	-0.033	0.074	-0.074
14.396	110	0.125	12.953	0.5	0.5	0.5	19.666	0.717	-0.717	0.917	-0.917	2.163	0.079	-0.079	0.101	-0.101
6.912	25	0.45	12.899	0.6	0.6	0.6	7.614	0.159	-0.159	0.434	-0.434	0.190	0.004	-0.004	0.011	-0.011
15.645	130	0.175	12.850	0.3	0.3	0.3	19.711	0.932	-0.932	0.620	-0.620	2.562	0.121	-0.121	0.081	-0.081
8.157	35	0.275	12.808	0.7	0.7	0.7	14.660	0.364	-0.364	0.589	-0.589	0.513	0.013	-0.013	0.021	-0.021
10.201	55	0.175	12.747	0.7	0.7	0.7	17.641	0.583	-0.583	1.035	-1.035	0.970	0.032	-0.032	0.057	-0.057
13.028	90	0.125	12.730	0.6	0.6	0.6	19.623	0.604	-0.604	0.944	-0.944	1.766	0.054	-0.054	0.085	-0.085
15.645	130	0.125	12.238	0.4	0.4	0.4	19.776	0.903	-0.903	0.698	-0.698	2.571	0.117	-0.117	0.091	-0.091
17.883	170	0.125	11.993	0.3	0.3	0.3	20.629	0.813	-0.813	0.704	-0.704	3.507	0.138	-0.138	0.120	-0.120
8.157	35	0.45	11.977	0.4	0.4	0.4	7.100	0.184	-0.184	0.473	-0.473	0.249	0.006	-0.006	0.017	-0.017
9.236	45	0.35	11.943	0.4	0.4	0.4	11.377	0.300	-0.300	0.490	-0.490	0.512	0.014	-0.014	0.022	-0.022
9.236	45	0.175	11.943	0.8	0.8	0.8	17.645	0.482	-0.482	1.121	-1.121	0.794	0.022	-0.022	0.050	-0.050
11.498	70	0.45	11.898	0.2	0.2	0.2	7.427	0.251	-0.251	0.685	-0.685	0.520	0.018	-0.018	0.048	-0.048
11.498	70	0.225	11.898	0.4	0.4	0.4	16.420	0.508	-0.508	0.375	-0.375	1.149	0.036	-0.036	0.026	-0.026
13.028	90	0.35	11.881	0.2	0.2	0.2	11.021	0.364	-0.364	0.615	-0.615	0.992	0.033	-0.033	0.055	-0.055
13.028	90	0.175	11.881	0.4	0.4	0.4	18.825	0.618	-0.618	0.452	-0.452	1.694	0.056	-0.056	0.041	-0.041
15.645	130	0.08	11.749	0.6	0.6	0.6	18.275	0.944	-0.944	1.498	-1.498	2.376	0.123	-0.123	0.195	-0.195
9.236	45	0.275	11.729	0.5	0.5	0.5	13.884	0.457	-0.457	0.328	-0.328	0.625	0.021	-0.021	0.015	-0.015
10.201	55	0.225	11.707	0.5	0.5	0.5	17.877	0.622	-0.622	0.524	-0.524	0.983	0.034	-0.034	0.029	-0.029
8.157	35	0.35	11.644	0.5	0.5	0.5	10.492	0.221	-0.221	0.300	-0.300	0.367	0.008	-0.008	0.011	-0.011
14.396	110	0.08	11.606	0.7	0.7	0.7	19.097	0.779	-0.779	1.297	-1.297	2.101	0.086	-0.086	0.143	-0.143
11.498	70	0.175	11.568	0.5	0.5	0.5	18.030	0.509	-0.509	0.638	-0.638	1.262	0.036	-0.036	0.045	-0.045
11.498	70	0.125	11.568	0.7	0.7	0.7	19.328	0.502	-0.502	1.040	-1.040	1.353	0.035	-0.035	0.073	-0.073
9.236	45	0.45	11.516	0.3	0.3	0.3	6.997	0.234	-0.234	0.603	-0.603	0.315	0.011	-0.011	0.027	-0.027
9.236	45	0.225	11.516	0.6	0.6	0.6	15.701	0.468	-0.468	0.546	-0.546	0.707	0.021	-0.021	0.025	-0.025
13.028	90	0.225	11.457	0.3	0.3	0.3	17.233	0.611	-0.611	0.444	-0.444	1.551	0.055	-0.055	0.040	-0.040
10.201	55	0.275	11.447	0.4	0.4	0.4	14.398	0.577	-0.577	0.405	-0.405	0.792	0.032	-0.032	0.022	-0.022
14.396	110	0.275	11.398	0.2	0.2	0.2	15.508	0.712	-0.712	0.716	-0.716	1.706	0.078	-0.078	0.079	-0.079
17.883	170	0.35	11.193	0.1	0.1	0.1	10.480	0.414	-0.414	0.815	-0.815	1.782	0.070	-0.070	0.139	-0.139
17.883	170	0.175	11.193	0.2	0.2	0.2	19.172	0.797	-0.797	0.678	-0.678	3.259	0.135	-0.135	0.115	-0.115
15.645	130	0.45	11.014	0.1	0.1	0.1	7.739	0.412	-0.412	0.897	-0.897	1.006	0.054	-0.054	0.117	-0.117
15.645	130	0.225	11.014	0.2	0.2	0.2	16.062	0.869	-0.869	0.612	-0.612	2.088	0.113	-0.113	0.080	-0.080
8.157	35	0.275	10.979	0.6	0.6	0.6	14.187	0.360	-0.360	0.427	-0.427	0.497	0.013	-0.013	0.015	-0.015
