   1.900000             101          13  9.9999997E-05  0.9999000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.100000E-03  0.944163      0.521370      0.748659      0.513277      0.743892      0.809347E-02  0.476703E-02   1.25717      0.513277      0.513286      0.230607       0.00000       0.00000    
  0.109648E-03  0.962753      0.514079      0.737662      0.505484      0.732599      0.859522E-02  0.506257E-02   1.23808      0.505484      0.505493      0.227106       0.00000       0.00000    
  0.120226E-03  0.981916      0.507022      0.726961      0.497874      0.721573      0.914801E-02  0.538819E-02   1.21945      0.497874      0.497885      0.223687       0.00000       0.00000    
  0.131825E-03   1.00132      0.500064      0.716381      0.490340      0.710654      0.972413E-02  0.572755E-02   1.20099      0.490340      0.490351      0.220303       0.00000       0.00000    
  0.144543E-03   1.02108      0.493245      0.705976      0.482911      0.699889      0.103336E-01  0.608658E-02   1.18280      0.482911      0.482924      0.216966       0.00000       0.00000    
  0.158489E-03   1.04133      0.486620      0.695809      0.475626      0.689333      0.109941E-01  0.647560E-02   1.16496      0.475626      0.475640      0.213693       0.00000       0.00000    
  0.173779E-03   1.06183      0.480093      0.685759      0.468412      0.678878      0.116811E-01  0.688029E-02   1.14729      0.468412      0.468426      0.210452       0.00000       0.00000    
  0.190545E-03   1.08282      0.473753      0.675935      0.461331      0.668618      0.124220E-01  0.731675E-02   1.12995      0.461331      0.461347      0.207272       0.00000       0.00000    
  0.208928E-03   1.10420      0.467564      0.666290      0.454354      0.658509      0.132100E-01  0.778097E-02   1.11286      0.454354      0.454371      0.204138       0.00000       0.00000    
  0.229085E-03   1.12585      0.461474      0.656761      0.447445      0.648497      0.140289E-01  0.826333E-02   1.09594      0.447445      0.447463      0.201034       0.00000       0.00000    
  0.251186E-03   1.14812      0.455624      0.647510      0.440695      0.638716      0.149294E-01  0.879382E-02   1.07941      0.440695      0.440714      0.198002       0.00000       0.00000    
  0.275420E-03   1.17069      0.449881      0.638381      0.434012      0.629034      0.158692E-01  0.934749E-02   1.06305      0.434012      0.434033      0.195000       0.00000       0.00000    
  0.301992E-03   1.19363      0.444282      0.629415      0.427420      0.619483      0.168619E-01  0.993230E-02   1.04690      0.427420      0.427443      0.192040       0.00000       0.00000    
  0.331127E-03   1.21714      0.438895      0.620685      0.420957      0.610118      0.179388E-01  0.105668E-01   1.03107      0.420957      0.420981      0.189137       0.00000       0.00000    
  0.363073E-03   1.24092      0.433613      0.612069      0.414554      0.600842      0.190590E-01  0.112267E-01   1.01540      0.414554      0.414581      0.186261       0.00000       0.00000    
  0.398101E-03   1.26523      0.428532      0.603670      0.408267      0.591733      0.202650E-01  0.119373E-01   1.00000      0.408267      0.408296      0.183437       0.00000       0.00000    
  0.436509E-03   1.28999      0.423622      0.595453      0.402073      0.582759      0.215492E-01  0.126940E-01  0.984832      0.402073      0.402104      0.180655       0.00000       0.00000    
  0.478622E-03   1.31502      0.418821      0.587351      0.395937      0.573871      0.228836E-01  0.134802E-01  0.969808      0.395937      0.395971      0.177900       0.00000       0.00000    
  0.524798E-03   1.34074      0.414286      0.579523      0.389938      0.565180      0.243482E-01  0.143432E-01  0.955118      0.389938      0.389974      0.175206       0.00000       0.00000    
  0.575429E-03   1.36676      0.409878      0.571823      0.383999      0.556578      0.258786E-01  0.152450E-01  0.940577      0.383999      0.384039      0.172539       0.00000       0.00000    
  0.630945E-03   1.39319      0.405630      0.564283      0.378138      0.548087      0.274923E-01  0.161959E-01  0.926225      0.378138      0.378180      0.169907       0.00000       0.00000    
  0.691816E-03   1.42021      0.401634      0.556990      0.372389      0.539761      0.292446E-01  0.172286E-01  0.912150      0.372389      0.372435      0.167326       0.00000       0.00000    
  0.758561E-03   1.44751      0.397761      0.549814      0.366694      0.531512      0.310670E-01  0.183026E-01  0.898205      0.366694      0.366743      0.164769       0.00000       0.00000    
  0.831745E-03   1.47535      0.394120      0.542861      0.361095      0.523404      0.330250E-01  0.194567E-01  0.884499      0.361095      0.361149      0.162255       0.00000       0.00000    
  0.911989E-03   1.50365      0.390691      0.536102      0.355579      0.515415      0.351121E-01  0.206869E-01  0.870994      0.355579      0.355636      0.159779       0.00000       0.00000    
  0.999975E-03   1.53222      0.387393      0.529464      0.350112      0.507499      0.372801E-01  0.219648E-01  0.857612      0.350112      0.350174      0.157325       0.00000       0.00000    
  0.109645E-02   1.56144      0.384415      0.523115      0.344761      0.499751      0.396541E-01  0.233643E-01  0.844511      0.344761      0.344828      0.154923       0.00000       0.00000    
  0.120223E-02   1.59096      0.381600      0.516908      0.339463      0.492080      0.421373E-01  0.248283E-01  0.831542      0.339463      0.339535      0.152545       0.00000       0.00000    
  0.131822E-02   1.62084      0.378978      0.510871      0.334228      0.484502      0.447502E-01  0.263689E-01  0.818730      0.334228      0.334306      0.150196       0.00000       0.00000    
  0.144540E-02   1.65127      0.376679      0.505108      0.329090      0.477065      0.475886E-01  0.280427E-01  0.806155      0.329090      0.329175      0.147890       0.00000       0.00000    
  0.158485E-02   1.68193      0.374536      0.499476      0.323997      0.469693      0.505394E-01  0.297828E-01  0.793690      0.323997      0.324088      0.145605       0.00000       0.00000    
  0.173775E-02   1.71303      0.372685      0.494086      0.318983      0.462438      0.537017E-01  0.316480E-01  0.781421      0.318983      0.319082      0.143356       0.00000       0.00000    
  0.190540E-02   1.74448      0.371113      0.488920      0.314039      0.455283      0.570737E-01  0.336371E-01  0.769323      0.314039      0.314146      0.141138       0.00000       0.00000    
  0.208923E-02   1.77615      0.369711      0.483892      0.309136      0.448190      0.605745E-01  0.357023E-01  0.757326      0.309136      0.309251      0.138939       0.00000       0.00000    
  0.229079E-02   1.80824      0.368721      0.479189      0.304326      0.441232      0.643953E-01  0.379569E-01  0.745558      0.304326      0.304450      0.136782       0.00000       0.00000    
  0.251180E-02   1.84051      0.367954      0.474656      0.299560      0.434339      0.683937E-01  0.403165E-01  0.733900      0.299560      0.299694      0.134645       0.00000       0.00000    
  0.275413E-02   1.87297      0.367435      0.470313      0.294844      0.427520      0.725902E-01  0.427933E-01  0.722364      0.294844      0.294989      0.132531       0.00000       0.00000    
  0.301984E-02   1.90567      0.367352      0.466298      0.290207      0.420816      0.771453E-01  0.454825E-01  0.711023      0.290207      0.290363      0.130453       0.00000       0.00000    
  0.331119E-02   1.93843      0.367480      0.462438      0.285604      0.414163      0.818757E-01  0.482755E-01  0.699767      0.285604      0.285772      0.128390       0.00000       0.00000    
  0.363064E-02   1.97128      0.367989      0.458858      0.281062      0.407599      0.869274E-01  0.512590E-01  0.688661      0.281062      0.281243      0.126356       0.00000       0.00000    
  0.398091E-02   2.00409      0.368883      0.455554      0.276574      0.401115      0.923092E-01  0.544382E-01  0.677689      0.276574      0.276770      0.124346       0.00000       0.00000    
  0.436498E-02   2.03688      0.370006      0.452413      0.272117      0.394678      0.978896E-01  0.577351E-01  0.666795      0.272117      0.272328      0.122350       0.00000       0.00000    
  0.478610E-02   2.06943      0.371676      0.449657      0.267727      0.388340      0.103950      0.613166E-01  0.656067      0.267727      0.267955      0.120385       0.00000       0.00000    
  0.524785E-02   2.10175      0.373655      0.447114      0.263369      0.382051      0.110286      0.650622E-01  0.645421      0.263369      0.263615      0.118436       0.00000       0.00000    
  0.575415E-02   2.13381      0.375959      0.444794      0.259046      0.375814      0.116912      0.689800E-01  0.634860      0.259046      0.259312      0.116502       0.00000       0.00000    
  0.630929E-02   2.16517      0.378859      0.442878      0.254777      0.369658      0.124081      0.732203E-01  0.624435      0.254777      0.255064      0.114594       0.00000       0.00000    
  0.691799E-02   2.19612      0.382040      0.441149      0.250531      0.363535      0.131509      0.776143E-01  0.614066      0.250531      0.250839      0.112696       0.00000       0.00000    
  0.758542E-02   2.22625      0.385719      0.439753      0.246322      0.357470      0.139398      0.822822E-01  0.603792      0.246322      0.246655      0.110816       0.00000       0.00000    
  0.831724E-02   2.25531      0.389917      0.438694      0.242145      0.351455      0.147772      0.872388E-01  0.593600      0.242145      0.242504      0.108951       0.00000       0.00000    
  0.911966E-02   2.28370      0.394417      0.437833      0.237986      0.345468      0.156431      0.923648E-01  0.583454      0.237986      0.238373      0.107095       0.00000       0.00000    
  0.999950E-02   2.31025      0.399616      0.437420      0.233861      0.339535      0.165754      0.978855E-01  0.573396      0.233861      0.234279      0.105256       0.00000       0.00000    
  0.109642E-01   2.33587      0.405117      0.437199      0.229748      0.333620      0.175369      0.103579      0.563369      0.229748      0.230198      0.103422       0.00000       0.00000    
  0.120220E-01   2.35953      0.411207      0.437349      0.225656      0.327739      0.185552      0.109610      0.553395      0.225656      0.226140      0.101599       0.00000       0.00000    
  0.131819E-01   2.38109      0.417842      0.437837      0.221577      0.321883      0.196264      0.115954      0.543460      0.221577      0.222099      0.997836E-01   0.00000       0.00000    
  0.144536E-01   2.40028      0.425022      0.438659      0.217508      0.316043      0.207514      0.122616      0.533551      0.217508      0.218070      0.979734E-01   0.00000       0.00000    
  0.158481E-01   2.41696      0.432714      0.439792      0.213443      0.310215      0.219271      0.129576      0.523658      0.213443      0.214048      0.961667E-01   0.00000       0.00000    
  0.173770E-01   2.43085      0.440921      0.441230      0.209379      0.304393      0.231542      0.136837      0.513772      0.209379      0.210031      0.943617E-01   0.00000       0.00000    
  0.190535E-01   2.44129      0.449692      0.442998      0.205312      0.298570      0.244380      0.144428      0.503882      0.205312      0.206013      0.925567E-01   0.00000       0.00000    
  0.208917E-01   2.44794      0.459010      0.445078      0.201236      0.292740      0.257774      0.152338      0.493975      0.201236      0.201990      0.907493E-01   0.00000       0.00000    
  0.229073E-01   2.45067      0.468829      0.447436      0.197147      0.286896      0.271682      0.160540      0.484043      0.197147      0.197958      0.889378E-01   0.00000       0.00000    
  0.251174E-01   2.44911      0.479138      0.450056      0.193040      0.281032      0.286098      0.169024      0.474072      0.193040      0.193912      0.871200E-01   0.00000       0.00000    
  0.275406E-01   2.44232      0.489966      0.452941      0.188908      0.275138      0.301058      0.177803      0.464047      0.188908      0.189846      0.852929E-01   0.00000       0.00000    
  0.301976E-01   2.42999      0.501269      0.456051      0.184746      0.269207      0.316524      0.186843      0.453953      0.184746      0.185753      0.834542E-01   0.00000       0.00000    
  0.331110E-01   2.41202      0.512988      0.459336      0.180549      0.263232      0.332438      0.196103      0.443782      0.180549      0.181630      0.816020E-01   0.00000       0.00000    
  0.363055E-01   2.38798      0.525086      0.462757      0.176313      0.257207      0.348773      0.205550      0.433520      0.176313      0.177473      0.797341E-01   0.00000       0.00000    
  0.398081E-01   2.35668      0.537554      0.466271      0.172026      0.251115      0.365528      0.215156      0.423141      0.172026      0.173269      0.778456E-01   0.00000       0.00000    
  0.436487E-01   2.31800      0.550315      0.469805      0.167683      0.244949      0.382632      0.224856      0.412633      0.167683      0.169015      0.759343E-01   0.00000       0.00000    
  0.478598E-01   2.27193      0.563291      0.473287      0.163281      0.238706      0.400009      0.234581      0.401987      0.163281      0.164707      0.739988E-01   0.00000       0.00000    
  0.524772E-01   2.21814      0.576415      0.476637      0.158814      0.232375      0.417601      0.244262      0.391189      0.158814      0.160339      0.720361E-01   0.00000       0.00000    
  0.575400E-01   2.15540      0.589614      0.479727      0.154266      0.225935      0.435348      0.253792      0.380201      0.154266      0.155895      0.700398E-01   0.00000       0.00000    
  0.630913E-01   2.08398      0.602784      0.482447      0.149635      0.219382      0.453150      0.263066      0.369016      0.149635      0.151373      0.680083E-01   0.00000       0.00000    
  0.691782E-01   2.00420      0.615831      0.484688      0.144917      0.212710      0.470914      0.271978      0.357627      0.144917      0.146770      0.659402E-01   0.00000       0.00000    
  0.758523E-01   1.91610      0.628655      0.486314      0.140107      0.205912      0.488548      0.280402      0.346019      0.140107      0.142079      0.638327E-01   0.00000       0.00000    
  0.831703E-01   1.81885      0.641093      0.487059      0.135185      0.198959      0.505908      0.288100      0.334144      0.135185      0.137282      0.616774E-01   0.00000       0.00000    
  0.911943E-01   1.71349      0.653033      0.486786      0.130153      0.191852      0.522880      0.294934      0.322005      0.130153      0.132378      0.594741E-01   0.00000       0.00000    
