 First iteration    5403.1459515603365             2455   2.2008741146885282     
After minimisation    5403.15  2455     2.201

  Partial chi2s 
   60  sysHZComb1060                          0.2452   +/-   0.9786        :N:M:D
   61  sysHZComb1061                          0.0237   +/-   0.9828        :N:M:D
   62  sysHZComb1062                         -1.1156   +/-   0.8934        :N:M:D
   63  sysHZComb1063                         -0.6824   +/-   0.8357        :N:M:D
   64  sysHZComb1064                          0.4333   +/-   0.9285        :N:M:D
   65  sysHZComb1065                         -2.0471   +/-   0.9464        :N:M:D
   66  sysHZComb1066                         -1.4151   +/-   0.9314        :N:M:D
   67  sysHZComb1067                         -0.1518   +/-   0.9634        :N:M:D
   68  sysHZComb1068                         -0.2247   +/-   0.9190        :N:M:D
   69  sysHZComb1069                          0.2412   +/-   0.9115        :N:M:D
   70  sysHZComb1070                          0.5887   +/-   0.9064        :N:M:D
   71  sysHZComb1071                         -1.6446   +/-   0.8563        :N:M:D
   72  sysHZComb1072                         -0.1940   +/-   0.9699        :N:M:D
   73  sysHZComb1073                          0.7423   +/-   0.9030        :N:M:D
   74  sysHZComb1074                         -0.3733   +/-   0.9345        :N:M:D
   75  sysHZComb1075                         -0.6397   +/-   0.8640        :N:M:D
   76  sysHZComb1076                          0.4783   +/-   0.9599        :N:M:D
   77  sysHZComb1077                         -0.9056   +/-   0.9609        :N:M:D
   78  sysHZComb1078                          0.1631   +/-   0.9755        :N:M:D
   79  sysHZComb1079                         -0.7913   +/-   0.8827        :N:M:D
   80  sysHZComb1080                         -0.9445   +/-   0.9240        :N:M:D
   81  sysHZComb1081                         -0.4789   +/-   0.8860        :N:M:D
   82  sysHZComb1082                         -1.2978   +/-   0.8367        :N:M:D
   83  sysHZComb1083                         -2.1232   +/-   0.8892        :N:M:D
   84  sysHZComb1084                          0.0633   +/-   0.9676        :N:M:D
   85  sysHZComb1085                         -1.0866   +/-   0.8674        :N:M:D
   86  sysHZComb1086                          0.4598   +/-   0.7899        :N:M:D
   87  sysHZComb1087                          0.2467   +/-   0.8584        :N:M:D
   88  sysHZComb1088                          0.1226   +/-   0.9911        :N:M:D
   89  sysHZComb1089                          0.5199   +/-   0.9605        :N:M:D
   90  sysHZComb1090                         -0.1189   +/-   0.9422        :N:M:D
   91  sysHZComb1091                          0.2044   +/-   0.8861        :N:M:D
   92  sysHZComb1092                          0.5516   +/-   0.8077        :N:M:D
   93  sysHZComb1093                          1.4196   +/-   0.7892        :N:M:D
   94  sysHZComb1094                          0.0769   +/-   0.9992        :N:M:D
   95  sysHZComb1095                         -0.9851   +/-   0.8438        :N:M:D
   96  sysHZComb1096                          1.2326   +/-   0.8934        :N:M:D
   97  sysHZComb1097                          0.0155   +/-   0.9878        :N:M:D
   98  sysHZComb1098                         -0.9633   +/-   0.7331        :N:M:D
   99  sysHZComb1099                          3.5733   +/-   0.6809        :N:M:D
  100  sysHZComb1100                          0.4017   +/-   0.6861        :N:M:D
  101  sysHZComb1101                          0.0959   +/-   0.7701        :N:M:D
  102  sysHZComb1102                         -1.2519   +/-   0.9012        :N:M:D
  103  sysHZComb1103                          2.4212   +/-   0.7893        :N:M:D
  104  sysHZComb1104                         -2.4419   +/-   0.7926        :N:M:D
  105  sysHZComb1105                          0.8482   +/-   0.6924        :N:M:D
  106  sysHZComb1106                         -1.4234   +/-   0.7701        :N:M:D
  107  sysHZComb1107                          0.9704   +/-   0.7397        :N:M:D
  108  sysHZComb1108                          2.0624   +/-   0.6779        :N:M:D
  109  sysHZComb1109                          0.3723   +/-   0.9899        :N:M:D
  110  sysHZComb1110                          1.7489   +/-   0.7018        :N:M:D
  111  sysHZComb1111                         -1.5591   +/-   0.5479        :N:M:D
  112  sysHZComb1112                          0.0531   +/-   0.9903        :N:M:D
  113  sysHZComb1113                          0.9318   +/-   0.8379        :N:M:D
  114  sysHZComb1114                         -0.5105   +/-   0.8044        :N:M:D
  115  sysHZComb1115                         -1.6011   +/-   0.7548        :N:M:D
