*#--> Parameters
*#$Columns 'MX,Q2,xpom,F2D3,stat,unc_sys,Escale,MCrwgt,Ezufo,systot'
*#$Name 'ZEUS-LRG 2009'
*#$Reference 'ZEUS Collaboration, Nucl. Phys. B 816 (2009) 1'
*#$Version 6.0
*#$Value_Name 'F2D3'
*#$Vars_Names 'xpom,Q2,MX'
*#$Error_Name 'stat'
*#$TotSys_Name 'systot'
*#$NormError 0.04
*#$AsymmErrors 0
*#$RelativeErrors 0.01
*#$Nuncorr 1
*#$Ncorr 3
*#$ECM^2 101200.0
*#--- end-of-header
*# MX             Q2             xpom           F2D3           stat           unc_sys        Escale         MCrwgt         Ezufo          systot
*# :1             :2             :3             :4             :5             :6             :7             :8             :9             :10
&Data
   Name = 'ZEUS-LRG 2009'
   Reaction  = 'DDIS'

   NDATA = 277
   NColumn = 10

   ColumnType = 3*'Bin','Sigma',6*'Error'
  ! ColumnName = 'MX', 'Q2', 'xpom', 'F2D3', 'stat', 'uncor', 'Escale', 'MCrwgt', 'Ezufo', 'systot'
  ! ColumnName = 'MX', 'Q2', 'xpom', 'F2D3', 'stat', 'uncor', 4*'ignore'
   ColumnName = 'MX', 'Q2', 'xpom', 'F2D3', 'stat', 'uncor', 'ZEUS-DIFF_2009_Escale', 'ZEUS-LRG_2009_MCrwgt', 'ZEUS-LRG_2009_Ezufo', 'ignore'

   NInfo   = 1
   DataInfo = 318.1195,  
   CInfo    = 'sqrt(S)'

	

   
   IndexDataset = 56

   ! TheoryInfoFile = ' '

   Percent   = True, True, True, True, True
&End
  3              2.5            0.00028        0.0448425      1.1216         2.56205        1.53355        10.911         0.033          11.3315        
  3              2.5            0.00054        0.03084        1.0584         1.48955        1.9076         8.9113         0.10035        9.2412         
  3              2.5            0.001          0.02427        1.1805         0.796305       2.08035        6.9294         0.10565        7.29295        
  3              2.5            0.002          0.0195375      1.3268         1.80688        1.37373        5.0014         0.12255        5.6622         
  3              2.5            0.0038         0.0181725      1.4481         1.03483        1.27465        3.1513         0.21215        3.63185        
  5              2.5            0.00054        0.031995       1.872          1.80215        3.0839         8.8965         0.29695        9.5992         
  5              2.5            0.001          0.0219525      1.5963         0.851695       2.29725        6.89745        0.3252         7.3283         
  5              2.5            0.002          0.01746        1.7428         0.696655       1.90375        4.887          0.09439        5.305          
  5              2.5            0.0038         0.0158475      1.9296         1.11565        2.1059         3.1091         0.24275        4.02275        
  5              2.5            0.0073         0.014415       2.2045         1.63           3.6126         1.3941         -0.17604       4.34445        
  5              2.5            0.014          0.0159         3.0952         4.60422        4.85005        -0.1457        -0.14052       7.5708         
  8              2.5            0.002          0.0186225      1.5818         1.4127         1.6319         4.63515        0.20445        5.15505        
  8              2.5            0.0038         0.0160725      1.6439         1.52765        1.2337         2.92095        0.215          3.56975        
  8              2.5            0.0073         0.0146025      1.8862         1.93505        2.13055        1.3454         -0.173875      3.3385         
  13             2.5            0.0038         0.0225675      1.9226         1.9118         1.26375        2.5827         0.20245        3.47295        
  20             2.5            0.014          0.02508        12.529         5.1299         6.9539         -0.6149        -3.05145       10.4065        
