* info from hepdata:                     
*REACtion       = muon Pb --> muon X
*Plab           = 200 GeV                                   
*Experiment  = CDHSW antineutrino-1991                   
*Additional info: Measurement of nucleon structure functions in neutrino scattering.
*
&Data
	 Name = 'CDHSW antineutrino nubar Fe DIS'
     Reaction = 'antineutrino+p CC'

         NDATA = 462

         NColumn = 25
         
         ColumnType = 4*'Dummy', 2*'Bin', 'Dummy', 'Bin', 2*'Dummy', 10*'Dummy', 'Sigma', 4*'Error'
         ColumnName = 'E', 'sqrt(S)', 'ylow', 'yhigh', 'y', 'Q2', 'W2', 'x', 'ignore', 'ignore', 'sigma 1/E', 'stat', 'ignore', 'uncor', 'ignore', 'x-section', 'stat', 'ignore', 'uncor', 'ignore', 'x-section', 'stat', 'ignore', 'uncor', 'ignore'
	 
	 Percent = 4*False
 
         NInfo 	  = 6
         DataInfo =  -1., 0.,        0.,	56, 26.0, 0.
	 CInfo 	  = 'e charge',	'reduced', 'e polarity', 'A1', 'Z1', 'ratio'
	 IndexDataset = 2001
&End
&PlotDesc
   PlotN = 10 
   PlotDefColumn = 'x'
   PlotVarColumn = 'Q2'
   PlotDefValue = 0.045, 0.08, 0.125, 0.175, 0.225, 0.275, 0.35, 0.45, 0.55, 0.65
   PlotOptions(1)  = 'Experiment:CDHSW antineutrino p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: Q^{2} @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 0.75  @Ymin:0.1@Ymax:10.0.@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:CDHSW antineutrino p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: Q^{2} @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 1.25  @Ymin:0.1@Ymax:10.0.@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:CDHSW antineutrino p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: Q^{2} @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 1.75  @Ymin:0.1@Ymax:10.0.@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:CDHSW antineutrino p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: Q^{2} @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 2.5  @Ymin:0.1@Ymax:10.0.@Xlog@Ylog'
   PlotOptions(5)  = 'Experiment:CDHSW antineutrino p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: Q^{2} @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 3.5 @Ymin:0.05@Ymax:10.0.@Xlog@Ylog'
   PlotOptions(6)  = 'Experiment:CDHSW antineutrino p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: Q^{2} @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 4.5 @Ymin:0.05@Ymax:10.0.@Xlog@Ylog'
   PlotOptions(7)  = 'Experiment:CDHSW antineutrino p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: Q^{2} @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 5.5  @Ymin:0.05@Ymax:10.0.@Xlog@Ylog'
   PlotOptions(8)  = 'Experiment:CDHSW antineutrino p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: Q^{2} @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 7  @Ymin:0.05@Ymax:10.0.@Xlog@Ylog'
   PlotOptions(9)  = 'Experiment:CDHSW antineutrino p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: Q^{2} @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 9 @Ymin:0.01@Ymax:10.0.@Xlog@Ylog'
   PlotOptions(10)  = 'Experiment:CDHSW antineutrino p->muon@ExtraLabel:#cm energy \sqrt{s} =  21.677 GeV @XTitle: Q^{2} @YTitle: F_{2}(x, Q^{2}) @Title:Q^{2} = 11.5 @Ymin:0.01@Ymax:10.0.@Xlog@Ylog'
&End
*E(P=1)	squrt(S) in GeV	y low	y high	Y	Q2	W2	x	xlow	xhigh	sigma : (1/E(P=1)) dy+	dy-	dy+	dy-	sigma in pb	dy+ in pb	dy- in pb	dy+ in pb 	dy- in pb
23	6.635	0.441	0.573	0.507	10.044	12.276	0.45	0.4	0.5	0.192	0.007	-0.007	0.013	-0.013	4.416	0.161	-0.161	0.299	-0.299	0.044	0.002	-0.002	0.003	-0.003
23	6.635	0.339	0.441	0.39	4.721	12.448	0.275	0.25	0.3	0.606	0.02	-0.02	0.04	-0.04	13.938	0.460	-0.460	0.920	-0.920	0.139	0.005	-0.005	0.009	-0.009
23	6.635	0.573	0.745	0.659	15.956	13.055	0.55	0.5	0.6	0.039	0.003	-0.003	0.005	-0.005	0.897	0.069	-0.069	0.115	-0.115	0.009	0.001	-0.001	0.001	-0.001
23	6.635	0.441	0.573	0.507	7.812	14.508	0.35	0.3	0.4	0.296	0.009	-0.009	0.022	-0.022	6.808	0.207	-0.207	0.506	-0.506	0.068	0.002	-0.002	0.005	-0.005
23	6.635	0.573	0.745	0.659	13.055	15.956	0.45	0.4	0.5	0.094	0.004	-0.004	0.009	-0.009	2.162	0.092	-0.092	0.207	-0.207	0.022	0.001	-0.001	0.002	-0.002
23	6.635	0.441	0.573	0.507	6.138	16.182	0.275	0.25	0.3	0.393	0.014	-0.014	0.028	-0.028	9.039	0.322	-0.322	0.644	-0.644	0.090	0.003	-0.003	0.006	-0.006
23	6.635	0.441	0.573	0.507	5.022	17.298	0.225	0.2	0.25	0.511	0.016	-0.016	0.042	-0.042	11.753	0.368	-0.368	0.966	-0.966	0.118	0.004	-0.004	0.010	-0.010
23	6.635	0.573	0.745	0.659	10.154	18.857	0.35	0.3	0.4	0.159	0.005	-0.005	0.017	-0.017	3.657	0.115	-0.115	0.391	-0.391	0.037	0.001	-0.001	0.004	-0.004
23	6.635	0.573	0.745	0.659	7.978	21.033	0.275	0.25	0.3	0.235	0.009	-0.009	0.021	-0.021	5.405	0.207	-0.207	0.483	-0.483	0.054	0.002	-0.002	0.005	-0.005
23	6.635	0.573	0.745	0.659	6.528	22.484	0.225	0.2	0.25	0.315	0.01	-0.01	0.032	-0.032	7.245	0.230	-0.230	0.736	-0.736	0.072	0.002	-0.002	0.007	-0.007
23	6.635	0.573	0.745	0.659	5.077	23.934	0.175	0.15	0.2	0.412	0.012	-0.012	0.028	-0.028	9.476	0.276	-0.276	0.644	-0.644	0.095	0.003	-0.003	0.006	-0.006
29.9	7.548	0.339	0.441	0.39	9.999	12.221	0.45	0.4	0.5	0.245	0.009	-0.009	0.019	-0.019	7.326	0.269	-0.269	0.568	-0.568	0.073	0.003	-0.003	0.006	-0.006
29.9	7.548	0.261	0.339	0.3	4.700	12.391	0.275	0.25	0.3	0.741	0.026	-0.026	0.056	-0.056	22.156	0.777	-0.777	1.674	-1.674	0.222	0.008	-0.008	0.017	-0.017
29.9	7.548	0.441	0.573	0.507	15.887	12.998	0.55	0.5	0.6	0.089	0.005	-0.005	0.008	-0.008	2.661	0.150	-0.150	0.239	-0.239	0.027	0.001	-0.001	0.002	-0.002
29.9	7.548	0.573	0.745	0.659	24.404	13.141	0.65	0.6	0.7	0.023	0.002	-0.002	0.003	-0.003	0.688	0.060	-0.060	0.090	-0.090	0.007	0.001	-0.001	0.001	-0.001
29.9	7.548	0.339	0.441	0.39	7.777	14.442	0.35	0.3	0.4	0.418	0.012	-0.012	0.031	-0.031	12.498	0.359	-0.359	0.927	-0.927	0.125	0.004	-0.004	0.009	-0.009
29.9	7.548	0.441	0.573	0.507	12.998	15.887	0.45	0.4	0.5	0.179	0.007	-0.007	0.013	-0.013	5.352	0.209	-0.209	0.389	-0.389	0.054	0.002	-0.002	0.004	-0.004
29.9	7.548	0.339	0.441	0.39	6.110	16.109	0.275	0.25	0.3	0.559	0.02	-0.02	0.04	-0.04	16.714	0.598	-0.598	1.196	-1.196	0.167	0.006	-0.006	0.012	-0.012
29.9	7.548	0.573	0.745	0.659	20.650	16.895	0.55	0.5	0.6	0.047	0.003	-0.003	0.005	-0.005	1.405	0.090	-0.090	0.150	-0.150	0.014	0.001	-0.001	0.001	-0.001
29.9	7.548	0.339	0.441	0.39	4.999	17.220	0.225	0.2	0.25	0.659	0.022	-0.022	0.061	-0.061	19.704	0.658	-0.658	1.824	-1.824	0.197	0.007	-0.007	0.018	-0.018
29.9	7.548	0.441	0.573	0.507	10.110	18.775	0.35	0.3	0.4	0.287	0.009	-0.009	0.022	-0.022	8.581	0.269	-0.269	0.658	-0.658	0.086	0.003	-0.003	0.007	-0.007
29.9	7.548	0.573	0.745	0.659	16.895	20.650	0.45	0.4	0.5	0.08	0.004	-0.004	0.009	-0.009	2.392	0.120	-0.120	0.269	-0.269	0.024	0.001	-0.001	0.003	-0.003
29.9	7.548	0.441	0.573	0.507	7.943	20.942	0.275	0.25	0.3	0.429	0.015	-0.015	0.028	-0.028	12.827	0.449	-0.449	0.837	-0.837	0.128	0.004	-0.004	0.008	-0.008
29.9	7.548	0.441	0.573	0.507	6.499	22.386	0.225	0.2	0.25	0.533	0.018	-0.018	0.042	-0.042	15.937	0.538	-0.538	1.256	-1.256	0.159	0.005	-0.005	0.013	-0.013
29.9	7.548	0.441	0.573	0.507	5.055	23.830	0.175	0.15	0.2	0.625	0.019	-0.019	0.04	-0.04	18.688	0.568	-0.568	1.196	-1.196	0.187	0.006	-0.006	0.012	-0.012
29.9	7.548	0.573	0.745	0.659	13.141	24.404	0.35	0.3	0.4	0.169	0.006	-0.006	0.017	-0.017	5.053	0.179	-0.179	0.508	-0.508	0.051	0.002	-0.002	0.005	-0.005
29.9	7.548	0.573	0.745	0.659	10.325	27.220	0.275	0.25	0.3	0.259	0.01	-0.01	0.021	-0.021	7.744	0.299	-0.299	0.628	-0.628	0.077	0.003	-0.003	0.006	-0.006
29.9	7.548	0.573	0.745	0.659	8.448	29.097	0.225	0.2	0.25	0.36	0.012	-0.012	0.032	-0.032	10.764	0.359	-0.359	0.957	-0.957	0.108	0.004	-0.004	0.010	-0.010
29.9	7.548	0.573	0.745	0.659	6.570	30.974	0.175	0.15	0.2	0.429	0.014	-0.014	0.028	-0.028	12.827	0.419	-0.419	0.837	-0.837	0.128	0.004	-0.004	0.008	-0.008
29.9	7.548	0.573	0.745	0.659	4.693	32.852	0.125	0.1	0.15	0.576	0.016	-0.016	0.049	-0.049	17.222	0.478	-0.478	1.465	-1.465	0.172	0.005	-0.005	0.015	-0.015
38.9	8.594	0.261	0.339	0.3	9.971	12.186	0.45	0.4	0.5	0.325	0.013	-0.013	0.02	-0.02	12.643	0.506	-0.506	0.778	-0.778	0.126	0.005	-0.005	0.008	-0.008
38.9	8.594	0.201	0.261	0.231	4.692	12.369	0.275	0.25	0.3	0.863	0.034	-0.034	0.051	-0.051	33.571	1.323	-1.323	1.984	-1.984	0.336	0.013	-0.013	0.020	-0.020
38.9	8.594	0.339	0.441	0.39	15.842	12.962	0.55	0.5	0.6	0.129	0.007	-0.007	0.014	-0.014	5.018	0.272	-0.272	0.545	-0.545	0.050	0.003	-0.003	0.005	-0.005
38.9	8.594	0.441	0.573	0.507	24.340	13.106	0.65	0.6	0.7	0.044	0.004	-0.004	0.004	-0.004	1.712	0.156	-0.156	0.156	-0.156	0.017	0.002	-0.002	0.002	-0.002
38.9	8.594	0.261	0.339	0.3	7.755	14.402	0.35	0.3	0.4	0.562	0.018	-0.018	0.032	-0.032	21.862	0.700	-0.700	1.245	-1.245	0.219	0.007	-0.007	0.012	-0.012
38.9	8.594	0.339	0.441	0.39	12.962	15.842	0.45	0.4	0.5	0.249	0.01	-0.01	0.014	-0.014	9.686	0.389	-0.389	0.545	-0.545	0.097	0.004	-0.004	0.005	-0.005
38.9	8.594	0.261	0.339	0.3	6.093	16.064	0.275	0.25	0.3	0.75	0.028	-0.028	0.039	-0.039	29.175	1.089	-1.089	1.517	-1.517	0.292	0.011	-0.011	0.015	-0.015
38.9	8.594	0.441	0.573	0.507	20.595	16.850	0.55	0.5	0.6	0.088	0.005	-0.005	0.007	-0.007	3.423	0.195	-0.195	0.272	-0.272	0.034	0.002	-0.002	0.003	-0.003
38.9	8.594	0.573	0.745	0.659	31.637	17.035	0.65	0.6	0.7	0.022	0.002	-0.002	0.002	-0.002	0.856	0.078	-0.078	0.078	-0.078	0.009	0.001	-0.001	0.001	-0.001
38.9	8.594	0.261	0.339	0.3	4.985	17.172	0.225	0.2	0.25	0.845	0.03	-0.03	0.062	-0.062	32.871	1.167	-1.167	2.412	-2.412	0.329	0.012	-0.012	0.024	-0.024
38.9	8.594	0.339	0.441	0.39	10.081	18.723	0.35	0.3	0.4	0.436	0.014	-0.014	0.021	-0.021	16.960	0.545	-0.545	0.817	-0.817	0.170	0.005	-0.005	0.008	-0.008
